date,a,b
2025-03-01,731.0,13.5
2025-03-02,645.0,14.5
2025-03-03,921.0,2.8
2025-03-04,1446.0,2.8
2025-03-05,1243.0,7.8
2025-03-06,1062.0,7.1
2025-03-07,1465.0,4.5
2025-03-08,1528.0,3.3
2025-03-09,1419.0,6.4
2025-03-10,1616.0,9.1
2025-03-11,1257.0,10.0
2025-03-12,2050.0,12.3
2025-03-13,1797.0,12.6
2025-03-14,2113.0,10.2
2025-03-15,1055.0,7.5
2025-03-16,1299.0,6.6
2025-03-17,1851.0,8.2
2025-03-18,1561.0,7.5
2025-03-19,1295.0,5.1
2025-03-20,1728.0,7.6
2025-03-21,1371.0,11.1
2025-03-22,878.0,15.0
2025-03-23,655.0,14.7
2025-03-24,1217.0,13.8
2025-03-25,1207.0,18.1
2025-03-26,1213.0,17.2
2025-03-27,1015.0,18.6
2025-03-28,1223.0,16.0
2025-03-29,813.0,5.9
2025-03-30,1205.0,8.6
2025-03-31,1599.0,6.1
2025-04-01,1726.0,6.2
2025-04-02,1282.0,10.3
2025-04-03,961.0,7.7
2025-04-04,1022.0,10.1
2025-04-05,807.0,12.8
2025-04-06,1256.0,13.6
2025-04-07,1783.0,11.8
2025-04-08,2972.0,14.2
2025-04-09,2133.0,15.3
2025-04-10,1810.0,16.1
2025-04-11,2385.0,14.9
2025-04-12,2339.0,14.3
2025-04-13,1934.0,14.3
2025-04-14,2048.0,15.7
2025-04-15,2225.0,13.3
2025-04-16,1982.0,14.0
2025-04-17,2983.0,17.5
2025-04-18,2335.0,18.7
2025-04-19,2387.0,20.0
2025-04-20,1485.0,19.3
2025-04-21,1499.0,17.3
2025-04-22,1763.0,18.9
2025-04-23,1727.0,18.2
2025-04-24,1851.0,18.2
2025-04-25,1999.0,16.9
2025-04-26,2314.0,13.5
2025-04-27,2072.0,18.0
2025-04-28,2337.0,16.5
2025-04-29,1618.0,15.5
2025-04-30,2048.0,16.5
2025-05-01,1860.0,18.5
2025-05-02,1455.0,15.8
2025-05-03,829.0,16.9
2025-05-04,1119.0,17.0
2025-05-05,2324.0,17.8
2025-05-06,2018.0,14.4
2025-05-07,1672.0,17.3
2025-05-08,1878.0,17.1
2025-05-09,1922.0,18.7
2025-05-10,1047.0,19.5
2025-05-11,1542.0,19.4
2025-05-12,1738.0,16.9
2025-05-13,1664.0,18.9
2025-05-14,2139.0,19.2
2025-05-15,1907.0,20.8
2025-05-16,1673.0,21.5
2025-05-17,1477.0,22.1
2025-05-18,1505.0,22.4
2025-05-19,1722.0,18.8
2025-05-20,1711.0,22.9
2025-05-21,1769.0,23.1
2025-05-22,1655.0,20.4
2025-05-23,1869.0,18.7
2025-05-24,1046.0,17.8
2025-05-25,849.0,19.6
2025-05-26,1805.0,17.7
2025-05-27,1953.0,17.5
2025-05-28,2035.0,18.8
2025-05-29,1703.0,18.4
2025-05-30,1366.0,16.1
2025-05-31,938.0,16.2
2025-06-01,847.0,18.2
2025-06-02,1463.0,20.9
2025-06-03,1841.0,18.5
2025-06-04,2100.0,21.3
2025-06-05,1824.0,21.5
2025-06-06,1354.0,22.7
2025-06-07,1018.0,22.4
2025-06-08,1110.0,22.7
2025-06-09,1360.0,21.0
2025-06-10,1802.0,22.2
2025-06-11,1882.0,21.2
2025-06-12,3369.0,22.4
2025-06-13,14178.0,21.9
2025-06-14,613.0,23.0
2025-06-15,81.0,25.3
2025-06-16,91.0,25.6
2025-06-17,74.0,26.9
2025-06-18,91.0,26.7
2025-06-19,48.0,26.2
2025-06-20,50.0,25.4
2025-06-21,48.0,26.4
2025-06-22,81.0,27.8
2025-06-23,75.0,27.4
2025-06-24,71.0,25.5
2025-06-25,191.0,25.8
2025-06-26,170.0,26.6
2025-06-27,122.0,26.6
2025-06-28,81.0,26.9
2025-06-29,54.0,27.4
2025-06-30,62.0,28.4
2025-07-01,125.0,27.8
2025-07-02,4109.0,26.9
2025-07-03,3839.0,27.1
2025-07-04,2981.0,27.9
2025-07-05,1651.0,28.8
2025-07-06,2378.0,29.7
2025-07-07,2902.0,29.9
2025-07-08,2893.0,29.9
2025-07-09,2388.0,29.8
2025-07-10,2357.0,26.6
2025-07-11,2203.0,22.9
2025-07-12,1601.0,24.0
2025-07-13,1319.0,26.0
2025-07-14,1706.0,26.8
2025-07-15,2098.0,26.5
2025-07-16,2133.0,25.9
2025-07-17,1667.0,26.8
2025-07-18,1546.0,26.8
2025-07-19,1008.0,27.4
2025-07-20,1187.0,27.9
2025-07-21,2297.0,28.7
2025-07-22,2144.0,28.9
2025-07-23,1682.0,29.2
2025-07-24,1480.0,29.7
2025-07-25,1734.0,30.0
2025-07-26,1357.0,29.9
2025-07-27,1061.0,29.4
2025-07-28,1410.0,29.1
2025-07-29,1210.0,29.1
2025-07-30,1204.0,28.9
2025-07-31,1693.0,27.7
2025-08-01,1732.0,27.7
2025-08-02,1539.0,28.8
2025-08-03,1455.0,29.7
2025-08-04,1443.0,30.5
2025-08-05,1101.0,32.2
2025-08-06,1270.0,31.2
2025-08-07,1333.0,29.8
2025-08-08,969.0,28.6
2025-08-09,809.0,28.6
2025-08-10,986.0,27.3
2025-08-11,1682.0,27.7
2025-08-12,1484.0,27.3
2025-08-13,1612.0,27.0
2025-08-14,1161.0,27.2
2025-08-15,1243.0,28.6
2025-08-16,831.0,28.9
2025-08-17,518.0,30.6
2025-08-18,1249.0,30.4
2025-08-19,1055.0,30.3
2025-08-20,1666.0,30.6
2025-08-21,1203.0,30.5
2025-08-22,1347.0,30.2
2025-08-23,1024.0,30.5
2025-08-24,770.0,30.6
2025-08-25,1289.0,30.3
2025-08-26,2397.0,30.1
2025-08-27,2484.0,30.8
2025-08-28,2140.0,28.7
2025-08-29,1679.0,29.2
2025-08-30,1052.0,31.0
2025-08-31,764.0,30.4
