date,a,b
2025-03-01,4.2,122.0
2025-03-02,2.1,128.0
2025-03-03,4.1,135.0
2025-03-04,7.3,151.0
2025-03-05,9.2,131.0
2025-03-06,11.3,145.0
2025-03-07,13.3,119.0
2025-03-08,11.1,206.0
2025-03-09,10.5,117.0
2025-03-10,10.8,161.0
2025-03-11,11.6,185.0
2025-03-12,12.0,216.0
2025-03-13,14.0,204.0
2025-03-14,15.4,217.0
2025-03-15,16.1,130.0
2025-03-16,16.6,120.0
2025-03-17,17.7,216.0
2025-03-18,18.5,214.0
2025-03-19,19.6,189.0
2025-03-20,18.4,293.0
2025-03-21,13.6,204.0
2025-03-22,11.9,166.0
2025-03-23,9.9,78.0
2025-03-24,8.5,220.0
2025-03-25,7.5,185.0
2025-03-26,8.9,167.0
2025-03-27,12.0,147.0
2025-03-28,15.2,157.0
2025-03-29,17.9,77.0
2025-03-30,20.4,144.0
2025-03-31,19.6,189.0
2025-04-01,19.8,279.0
2025-04-02,22.2,159.0
2025-04-03,23.4,153.0
2025-04-04,19.1,138.0
2025-04-05,15.0,113.0
2025-04-06,17.6,189.0
2025-04-07,20.8,178.0
2025-04-08,20.2,270.0
2025-04-09,22.3,216.0
2025-04-10,23.9,261.0
2025-04-11,21.9,228.0
2025-04-12,16.5,238.0
2025-04-13,17.0,232.0
2025-04-14,20.2,245.0
2025-04-15,21.6,144.0
2025-04-16,14.5,161.0
2025-04-17,12.0,268.0
2025-04-18,12.7,229.0
2025-04-19,14.6,135.0
2025-04-20,17.3,135.0
2025-04-21,19.7,121.0
2025-04-22,22.4,213.0
2025-04-23,23.8,164.0
2025-04-24,24.7,134.0
2025-04-25,26.9,161.0
2025-04-26,25.2,258.0
2025-04-27,25.6,293.0
2025-04-28,25.6,252.0
2025-04-29,21.1,197.0
2025-04-30,21.8,249.0
2025-05-01,25.1,195.0
2025-05-02,26.9,148.0
2025-05-03,28.1,94.0
2025-05-04,27.5,277.0
2025-05-05,26.9,374.0
2025-05-06,23.6,295.0
2025-05-07,20.7,289.0
2025-05-08,22.2,273.0
2025-05-09,25.0,236.0
2025-05-10,27.0,105.0
2025-05-11,27.9,131.0
2025-05-12,29.2,142.0
2025-05-13,29.5,188.0
2025-05-14,27.1,139.0
2025-05-15,25.6,147.0
2025-05-16,24.0,96.0
2025-05-17,24.1,153.0
2025-05-18,27.3,150.0
2025-05-19,30.7,183.0
2025-05-20,31.5,209.0
2025-05-21,31.0,246.0
2025-05-22,29.8,227.0
2025-05-23,29.0,218.0
2025-05-24,27.2,176.0
2025-05-25,25.0,116.0
2025-05-26,24.5,153.0
2025-05-27,25.5,149.0
2025-05-28,27.5,216.0
2025-05-29,29.3,180.0
2025-05-30,29.4,103.0
2025-05-31,29.0,79.0
2025-06-01,30.7,64.0
2025-06-02,31.7,155.0
2025-06-03,30.5,239.0
2025-06-04,24.4,190.0
2025-06-05,22.0,419.0
2025-06-06,23.2,190.0
2025-06-07,23.7,232.0
2025-06-08,23.4,200.0
2025-06-09,23.6,209.0
2025-06-10,24.0,258.0
2025-06-11,26.4,265.0
2025-06-12,28.5,459.0
2025-06-13,30.2,3798.0
2025-06-14,31.1,211.0
2025-06-15,32.8,33.0
2025-06-16,33.7,33.0
2025-06-17,31.4,22.0
2025-06-18,28.3,26.0
2025-06-19,27.8,24.0
2025-06-20,28.8,8.0
2025-06-21,32.1,11.0
2025-06-22,32.4,32.0
2025-06-23,31.5,29.0
2025-06-24,29.9,16.0
2025-06-25,28.7,41.0
2025-06-26,29.7,27.0
2025-06-27,31.7,6.0
2025-06-28,31.4,23.0
2025-06-29,32.6,13.0
2025-06-30,34.2,10.0
2025-07-01,33.9,12.0
2025-07-02,33.2,883.0
2025-07-03,32.6,724.0
2025-07-04,31.0,537.0
2025-07-05,32.6,313.0
2025-07-06,29.9,431.0
2025-07-07,29.0,475.0
2025-07-08,29.5,437.0
2025-07-09,30.1,451.0
2025-07-10,31.4,426.0
2025-07-11,32.0,443.0
