date,a,b
2026-02-28,14.6,1.9604166666666671
2026-03-01,9.3,0.5562500000000057
2026-03-02,14.3,-24.38511904761905
2026-03-03,15.3,-30.501785714285717
2026-03-04,8.1,-11.105952380952381
2026-03-05,13.9,-19.555952380952384
2026-03-06,8.9,-16.030952380952385
2026-03-07,13.6,-16.410119047619048
2026-03-08,13.0,-3.5226190476190524
2026-03-09,12.4,-26.48392857142857
2026-03-10,8.5,-13.48392857142857
2026-03-11,8.0,-12.32142857142857
2026-03-12,8.2,-19.142261904761902
2026-03-13,8.5,16.907738095238095
2026-03-14,9.4,-9.067261904761907
2026-03-15,7.8,-11.729761904761908
2026-03-16,11.6,11.732142857142854
2026-03-17,13.9,8.986309523809531
2026-03-18,6.0,20.119642857142864
2026-03-19,11.7,-5.780357142857142
2026-03-20,19.6,0.7279761904761912
2026-03-21,13.5,5.677976190476194
2026-03-22,13.9,-0.07619047619046881
2026-03-23,16.8,-3.5928571428571416
2026-03-24,18.5,-1.2178571428571416
2026-03-25,12.1,1.4529761904761855
2026-03-26,23.1,-12.922023809523814
2026-03-27,12.2,-9.88869047619048
2026-03-28,13.2,9.544642857142854
2026-03-29,13.9,2.2154761904761884
2026-03-30,15.5,-4.139880952380949
2026-03-31,11.3,-1.6648809523809476
2026-04-01,9.0,-0.27321428571427475
2026-04-02,11.5,9.19345238095238
2026-04-03,13.7,5.593452380952385
2026-04-04,16.3,-3.9940476190476133
2026-04-05,17.1,-19.68988095238095
2026-04-06,14.5,-15.292857142857144
2026-04-07,15.4,-8.413690476190478
2026-04-08,16.6,-2.8470238095238116
2026-04-09,14.5,0.8654761904761941
2026-04-10,9.5,-2.4053571428571487
2026-04-11,15.4,-2.00119047619048
2026-04-12,21.1,-2.1011904761904745
2026-04-13,15.1,7.186904761904767
2026-04-14,18.3,-3.004761904761903
2026-04-15,21.1,-7.571428571428569
2026-04-16,6.4,2.120238095238097
2026-04-17,8.5,8.049404761904764
2026-04-18,10.8,7.278571428571436
2026-04-19,14.8,7.774404761904766
2026-04-20,12.3,10.350000000000001
2026-04-21,11.4,-3.6416666666666693
2026-04-22,18.0,-5.054166666666667
2026-04-23,11.7,-1.5208333333333357
2026-04-24,17.0,-3.0874999999999986
2026-04-25,13.9,9.424999999999997
2026-04-26,24.1,-0.9541666666666657
2026-04-27,17.4,1.4136904761904816
2026-04-28,17.4,-0.07797619047618909
2026-04-29,16.5,-0.5113095238095227
2026-04-30,17.9,-13.669642857142858
2026-05-01,10.9,-5.640476190476189
2026-05-02,16.2,-2.2613095238095227
2026-05-03,12.5,3.313690476190473
2026-05-04,19.1,17.100595238095238
2026-05-05,16.9,15.733928571428564
2026-05-06,21.1,14.079761904761902
2026-05-07,15.2,7.883928571428566
2026-05-08,21.1,14.300595238095234
2026-05-09,17.0,-6.06607142857143
2026-05-10,6.9,0.8005952380952337
2026-05-11,9.6,-1.5065476190476161
2026-05-12,21.4,-1.6690476190476211
2026-05-13,15.2,7.26011904761905
2026-05-14,14.8,8.618452380952384
2026-05-15,21.5,-1.9732142857142847
2026-05-16,14.7,10.210119047619045
2026-05-17,21.8,-1.706547619047619
2026-05-18,19.1,7.883928571428569
2026-05-19,21.8,26.554761904761904
2026-05-20,17.7,1.5922619047619015
2026-05-21,18.2,-2.9744047619047684
2026-05-22,12.6,12.013095238095232
2026-05-23,14.6,-4.741071428571434
2026-05-24,13.0,-8.403571428571432
2026-05-25,18.6,3.0321428571428584
2026-05-26,17.1,-6.713690476190475
2026-05-27,14.1,-6.526190476190475
2026-05-28,12.4,12.061309523809523
2026-05-29,23.3,11.123809523809523
2026-05-30,13.1,5.198809523809523
2026-05-31,16.7,4.382142857142856
2026-06-01,10.0,9.3125
2026-06-02,18.3,-2.216666666666665
2026-06-03,15.7,9.662499999999998
2026-06-04,10.1,13.287500000000001
2026-06-05,9.0,16.44166666666667
2026-06-06,10.7,7.679166666666664
2026-06-07,17.3,5.537499999999998
2026-06-08,13.9,-8.725000000000001
2026-06-09,10.9,3.8583333333333307
2026-06-10,10.6,-2.0375000000000014
2026-06-11,9.3,-2.4541666666666693
2026-06-12,10.3,-2.4666666666666686
2026-06-13,15.6,-1.4166666666666714
2026-06-14,15.3,3.8166666666666664
2026-06-15,13.4,9.510714285714286
2026-06-16,9.8,2.198214285714286
2026-06-17,7.5,9.714880952380952
2026-06-18,9.6,-2.689285714285713
2026-06-19,9.6,2.3940476190476225
2026-06-20,10.1,4.74821428571429
2026-06-21,11.0,-7.601785714285713
2026-06-22,13.0,-14.89345238095238
2026-06-23,10.7,-4.522619047619049
2026-06-24,10.7,3.894047619047619
2026-06-25,14.4,-0.24761904761904674
2026-06-26,13.9,-4.268452380952379
2026-06-27,10.8,3.4648809523809554
2026-06-28,14.4,-4.185119047619047
2026-06-29,11.9,-0.2178571428571381
2026-06-30,5.9,4.315476190476193
2026-07-01,15.1,-0.6553571428571381
2026-07-02,5.9,-1.342857142857138
2026-07-03,7.5,1.1279761904761934
2026-07-04,7.1,5.811309523809523
2026-07-05,7.8,2.8113095238095234
2026-07-06,12.8,-1.707738095238092
2026-07-07,13.6,-8.341071428571428
2026-07-08,15.5,-14.745238095238097
2026-07-09,15.2,-8.24107142857143
2026-07-10,11.7,-7.31190476190476
2026-07-11,8.1,0.7964285714285708
2026-07-12,10.0,-10.62440476190476
2026-07-13,8.8,-0.9154761904761948
2026-07-14,11.0,-2.4238095238095276
2026-07-15,10.5,-5.136309523809524
2026-07-16,9.5,-6.465476190476194
2026-07-17,9.9,-2.6488095238095255
2026-07-18,8.3,1.3678571428571438
2026-07-19,8.1,6.334523809523805
2026-07-20,15.9,8.752976190476186
2026-07-21,8.9,14.161309523809525
2026-07-22,7.6,16.748809523809516
2026-07-23,9.1,20.682142857142853
2026-07-24,9.5,8.973809523809521
2026-07-25,9.5,9.257142857142853
2026-07-26,9.2,6.532142857142855
2026-07-27,11.8,3.6803571428571438
2026-07-28,8.7,-0.11964285714285694
2026-07-29,8.4,-8.773809523809526
2026-07-30,10.0,-10.432142857142857
2026-07-31,12.4,-9.50297619047619
2026-08-01,11.2,-8.786309523809521
2026-08-02,11.8,-7.87797619047619
2026-08-03,8.9,12.596428571428568
2026-08-04,9.0,0.4922619047619001
2026-08-05,8.3,-1.595238095238095
2026-08-06,11.5,-6.024404761904766
2026-08-07,12.1,-7.649404761904766
2026-08-08,9.8,1.0255952380952387
2026-08-09,9.2,-0.7910714285714313
2026-08-10,10.0,9.030357142857149
2026-08-11,9.8,5.759523809523813
2026-08-12,8.9,13.00119047619048
2026-08-13,7.8,10.726190476190474
2026-08-14,11.8,9.538690476190474
2026-08-15,11.1,7.7261904761904745
2026-08-16,13.2,1.4928571428571438
2026-08-17,13.8,-9.402380952380955
2026-08-18,13.3,0.889285714285716
2026-08-19,11.9,-0.8857142857142861
2026-08-20,12.4,1.1226190476190432
2026-08-21,8.1,6.88095238095238
2026-08-22,6.9,3.9517857142857125
2026-08-23,8.7,-0.8315476190476225
2026-08-24,8.5,2.144642857142852
2026-08-25,9.9,-4.722023809523812
2026-08-26,11.8,-4.651190476190479
2026-08-27,7.5,-8.217857142857142
2026-08-28,9.4,-5.647023809523812
2026-08-29,8.5,0.4196428571428541
2026-08-30,10.7,-8.088690476190479
2026-08-31,15.6,-14.6672619047619
2026-09-01,13.2,4.574404761904766
2026-09-02,12.4,-2.417261904761901
2026-09-03,8.8,2.1869047619047635
2026-09-04,8.1,3.6744047619047606
2026-09-05,6.9,9.257738095238103
2026-09-06,9.0,-2.417261904761901
2026-09-07,12.6,7.921428571428578
2026-09-08,15.7,12.50892857142857
2026-09-09,8.4,7.721428571428575
2026-09-10,14.1,-2.3285714285714256
2026-09-11,6.1,-6.332738095238092
2026-09-12,8.3,2.108928571428578
2026-09-13,11.0,5.446428571428569
2026-09-14,13.5,-1.0
2026-09-15,10.4,6.641666666666666
