date,a,b
2025-03-01,17.1,455587.0012084274
2025-03-02,17.6,458052.99795482564
2025-03-03,18.9,502087.0003869799
2025-03-04,21.3,496475.99933476886
2025-03-05,15.2,476598.49601888517
2025-03-06,12.4,497975.9978448501
2025-03-07,17.7,499479.0019317907
2025-03-08,20.9,470319.9438402737
2025-03-09,14.0,454795.5703998808
2025-03-10,12.5,480226.0010339643
2025-03-11,15.3,471416.0012425553
2025-03-12,19.2,456060.9984396666
2025-03-13,22.2,464357.0008815492
2025-03-14,22.8,466488.0003629216
2025-03-15,22.2,462298.0012645413
2025-03-16,17.2,431474.99890462746
2025-03-17,17.6,465913.0005376862
2025-03-18,20.3,468599.8518956828
2025-03-19,22.2,455214.00033910543
2025-03-20,15.1,457226.00128859386
2025-03-21,15.1,480678.0107461388
2025-03-22,19.3,441121.8179568692
2025-03-23,22.5,437383.001269743
2025-03-24,22.5,463893.3583465163
2025-03-25,22.3,473823.8448144759
2025-03-26,21.4,475920.0012003811
2025-03-27,19.6,475023.0002776139
2025-03-28,20.3,461607.6388434656
2025-03-29,21.4,449844.99929464987
2025-03-30,23.4,451241.99948103295
2025-03-31,23.5,477507.00046559185
2025-04-01,22.6,477589.0001505461
2025-04-02,25.3,487370.99976173864
2025-04-03,26.1,485683.9992401944
2025-04-04,26.1,486755.9995673441
2025-04-05,23.7,479411.9997143418
2025-04-06,13.7,454470.0007876296
2025-04-07,11.7,463955.9994967142
2025-04-08,14.3,469317.99932522647
2025-04-09,17.3,467476.0031094304
2025-04-10,20.6,475034.5582857644
2025-04-11,22.8,479457.01631390216
2025-04-12,22.4,469855.3362958903
2025-04-13,23.5,444608.00058469706
2025-04-14,24.6,486251.7775336385
2025-04-15,23.3,485106.5098404344
2025-04-16,23.8,468300.19380889705
2025-04-17,24.2,471847.0008033566
2025-04-18,25.8,473338.9999923923
2025-04-19,25.0,463914.96489241807
2025-04-20,24.8,449350.0000426991
2025-04-21,22.6,489289.0014599247
2025-04-22,23.3,492925.27175957494
2025-04-23,22.4,495987.9999983936
2025-04-24,22.9,493113.33585201984
2025-04-25,22.9,498041.8126047591
2025-04-26,24.1,488531.3819206052
2025-04-27,24.5,466345.9999362931
2025-04-28,24.9,509104.9997574459
2025-04-29,24.5,505184.00065149274
2025-04-30,24.8,508044.0004180142
2025-05-01,24.0,506756.82503015676
2025-05-02,23.5,502611.88108164375
2025-05-03,21.0,482749.999544733
2025-05-04,19.9,453195.99972332723
2025-05-05,20.8,473204.00074818474
2025-05-06,21.0,486682.9998897366
2025-05-07,23.2,486517.99952596094
2025-05-08,22.9,508326.9998398924
2025-05-09,22.3,502390.99965429126
2025-05-10,21.7,489131.0001078454
2025-05-11,20.6,465987.0001980452
2025-05-12,20.8,517468.99881861854
2025-05-13,25.7,535723.9986177885
2025-05-14,28.0,557640.0004639915
2025-05-15,28.4,579320.9999006599
2025-05-16,29.5,579335.9997253284
2025-05-17,29.1,557831.9998486689
2025-05-18,29.0,522862.9995487813
2025-05-19,28.6,548002.448828299
2025-05-20,28.5,551396.479757627
2025-05-21,26.7,545710.9012257745
2025-05-22,27.4,541002.4365586587
2025-05-23,28.2,531847.3553973085
2025-05-24,27.8,517671.4438328976
2025-05-25,28.3,486755.99994224677
2025-05-26,26.3,483545.00050101127
2025-05-27,24.9,521282.9825864707
2025-05-28,24.5,526849.5642853836
2025-05-29,25.5,532721.0006770394
2025-05-30,26.0,536284.0031960375
2025-05-31,26.3,530942.0030957368
2025-06-01,26.3,521405.9862269289
2025-06-02,27.8,566693.0008681723
2025-06-03,27.9,577542.0006235559
2025-06-04,27.9,576577.5955216545
2025-06-05,28.0,601004.999759907
2025-06-06,28.7,613457.35310862
2025-06-07,29.5,597372.9873246968
2025-06-08,30.1,576332.9991419249
2025-06-09,28.0,599269.0002850866
2025-06-10,27.3,599933.9987661181
2025-06-11,26.3,615692.9999412583
2025-06-12,23.5,619085.9986904671
2025-06-13,25.7,606248.9993946232
2025-06-14,26.1,590125.0000042915
2025-06-15,26.9,568964.0008891713
2025-06-16,24.8,631264.9192543336
2025-06-17,27.1,646307.2603022549
2025-06-18,27.7,651562.0637202071
2025-06-19,28.3,656142.999512842
2025-06-20,28.2,655573.9981994538
2025-06-21,28.8,666002.9997849123
2025-06-22,28.1,681224.999247465
2025-06-23,28.4,730395.0011047875
2025-06-24,28.0,729379.0008329173
2025-06-25,25.7,716957.9997807156
2025-06-26,27.0,695110.0003737763
2025-06-27,27.2,659996.9995341637
2025-06-28,28.3,650096.9998638312
2025-06-29,27.6,658900.2424115337
2025-06-30,27.4,695116.9996649951
2025-07-01,28.0,688898.9995961536
2025-07-02,29.1,680855.9978652487
2025-07-03,28.5,671490.000479434
2025-07-04,27.0,648867.000228543
2025-07-05,28.5,641535.291224673
2025-07-06,28.8,661107.999097866
2025-07-07,27.6,704118.9979849271
2025-07-08,26.4,711197.3501315288
2025-07-09,25.3,703615.9998545046
2025-07-10,27.1,691807.8540685629
2025-07-11,27.5,706115.1320715445
2025-07-12,27.0,689477.5853355839
2025-07-13,27.5,662785.9997327412
2025-07-14,27.6,710865.4930039009
2025-07-15,28.2,722256.0011446676
2025-07-16,28.9,717236.999897456
