date,a,b
2026-03-02,14.80008835873647,1613.0
2026-03-09,6.558028616852146,2227.0
2026-03-16,2.8061735818801363,1392.0
2026-03-23,9.49893137022085,1807.0
2026-03-30,3.0939226519337018,1685.0
2026-04-06,2.374043787918755,1700.0
2026-04-13,3.2837127845884413,1268.0
2026-04-20,2.313208420078649,1509.0
2026-04-27,3.5998971457958344,1637.0
2026-05-04,3.4280117531831538,1474.0
2026-05-11,5.277044854881266,1662.0
2026-05-18,1.875293014533521,1955.0
2026-05-25,4.473503097040606,1807.0
2026-06-01,4.039383993940924,1742.0
2026-06-08,1.4627011214041932,1514.0
2026-06-15,3.200393894633186,1363.0
2026-06-22,1.7645576002016636,1698.0
2026-06-29,1.337255950788981,1639.0
2026-07-06,1.7108639863130881,1551.0
2026-07-13,3.575685339690107,1239.0
2026-07-20,1.3185654008438819,1438.0
2026-07-27,1.2997140629061605,1550.0
2026-08-03,1.5408320493066257,1289.0
2026-08-10,1.0526315789473684,1188.0
2026-08-17,2.596053997923157,1169.0
2026-08-24,1.3623978201634876,1505.0
2026-08-31,5.3307487278895085,1564.0
2026-09-07,1.0344827586206897,1430.0
2026-09-14,1.0400416016640666,1475.0
