date,value
2025-03-03,1402.0
2025-03-10,1842.0
2025-03-17,1665.0
2025-03-24,1586.0
2025-03-31,1278.0
2025-04-07,1828.0
2025-04-14,1442.0
2025-04-21,1839.0
2025-04-28,1660.0
2025-05-05,1835.0
2025-05-12,1327.0
2025-05-19,1375.0
2025-05-26,1272.0
2025-06-02,1448.0
2025-06-09,1348.0
2025-06-16,1201.0
2025-06-23,1721.0
2025-06-30,1604.0
2025-07-07,1313.0
2025-07-14,1592.0
2025-07-21,1355.0
2025-07-28,1657.0
2025-08-04,1209.0
2025-08-11,1244.0
2025-08-18,1505.0
2025-08-25,2426.0
2025-09-01,1158.0
2025-09-08,1119.0
2025-09-15,1198.0
2025-09-22,1573.0
2025-09-29,1673.0
2025-10-06,1463.0
2025-10-13,1585.0
2025-10-20,1689.0
2025-10-27,1503.0
2025-11-03,1528.0
2025-11-10,1765.0
2025-11-17,1876.0
2025-11-24,2601.0
2025-12-01,2112.0
2025-12-08,2330.0
2025-12-15,1805.0
2025-12-22,1291.0
2025-12-29,1445.0
2026-01-05,1364.0
2026-01-12,1692.0
2026-01-19,1480.0
2026-01-26,1675.0
2026-02-02,1405.0
2026-02-09,1578.0
2026-02-16,1568.0
2026-02-23,1662.0
2026-03-02,1613.0
2026-03-09,2227.0
2026-03-16,1392.0
2026-03-23,1807.0
2026-03-30,1685.0
2026-04-06,1700.0
2026-04-13,1268.0
2026-04-20,1509.0
2026-04-27,1637.0
2026-05-04,1474.0
2026-05-11,1662.0
2026-05-18,1955.0
2026-05-25,1807.0
2026-06-01,1742.0
2026-06-08,1514.0
2026-06-15,1363.0
2026-06-22,1698.0
2026-06-29,1639.0
2026-07-06,1551.0
2026-07-13,1239.0
2026-07-20,1438.0
2026-07-27,1550.0
2026-08-03,1289.0
2026-08-10,1188.0
2026-08-17,1169.0
2026-08-24,1505.0
2026-08-31,1564.0
2026-09-07,1430.0
2026-09-14,1475.0
