date,a,b
2025-03-10,-0.009288905782457335,68.0
2025-03-17,0.013142961445080426,66.0
2025-03-24,-0.00461915778421762,52.0
2025-03-31,-0.01809294989875665,49.0
2025-04-07,-0.04915038809835337,53.0
2025-04-14,0.02285073394836079,85.0
2025-04-21,-0.0022191596520091394,51.0
2025-04-28,0.0005170214750780389,51.0
2025-05-05,0.005942766558150847,41.0
2025-05-12,-0.007048420429105917,40.0
2025-05-19,0.017122174984529392,43.0
2025-06-02,0.03911868402172791,52.0
2025-06-09,0.016459668658391546,58.0
2025-06-16,0.004892768227852562,46.0
2025-06-23,0.0035225281339839043,39.0
2025-06-30,-0.007595902502630647,49.0
2025-07-07,-0.00677491698700472,35.0
2025-07-14,-0.008450185732452153,62.0
2025-07-21,0.005826423411900539,57.0
2025-07-28,-0.0292357798535543,58.0
2025-08-04,0.0005665852180154474,51.0
2025-08-11,-0.007182148792667209,39.0
2025-08-18,-0.0046896794361693805,54.0
2025-08-25,0.0042719675302591575,65.0
2025-09-08,0.0017846953412186117,42.0
2025-09-15,0.014601702501418012,43.0
2025-09-22,0.0008755060459384456,53.0
2025-09-29,0.02661440047243846,60.0
2025-10-06,-0.014037188206906581,51.0
2025-10-13,0.05197490844106545,63.0
2025-10-20,0.013484778969078404,63.0
2025-10-27,0.009227433016246955,53.0
2025-11-03,-0.0036521275334946424,52.0
2025-11-10,0.03017409576933061,53.0
2025-11-17,-0.009802948543042644,72.0
2025-11-24,-0.009284257776344229,51.0
2025-12-01,0.0064602674334068855,48.0
2025-12-08,-0.0032515651812122792,44.0
2025-12-15,0.010409733380034814,35.0
2025-12-22,-0.0003676542135855332,47.0
2025-12-29,-0.047862658990854956,46.0
2026-01-05,0.05044328524915209,47.0
2026-01-12,0.02211594353492563,35.0
2026-01-26,0.012349929595729003,53.0
2026-02-02,-0.016194674415304422,45.0
2026-02-09,0.01389955687934874,59.0
2026-02-23,-0.009946851177818905,44.0
2026-03-02,-0.018319616141515782,54.0
2026-03-09,0.00755600952315949,56.0
2026-03-16,0.01329953876674872,53.0
2026-03-23,0.018156226752237048,58.0
2026-03-30,0.0016462089832387505,66.0
2026-04-06,0.0036850090820204073,68.0
2026-04-13,0.017971168186445396,48.0
2026-04-20,-0.011059247262121819,68.0
2026-04-27,-0.0009130638024508198,61.0
2026-05-04,-0.023095091069303297,47.0
2026-05-11,0.026324173110276128,34.0
2026-05-18,0.003279165935056172,46.0
2026-06-01,0.025866850898241367,50.0
2026-06-08,0.010537236767017566,51.0
2026-06-15,0.008086470030260084,52.0
2026-06-22,-0.002823695916345348,59.0
2026-06-29,-0.007164397753077201,54.0
2026-07-06,0.010385138121736581,66.0
2026-07-13,-8.024419325403098e-05,49.0
2026-07-20,0.012700964445349072,47.0
2026-07-27,0.003006337482545751,56.0
2026-08-03,0.012119339688692499,63.0
2026-08-10,0.0036527156567838226,52.0
2026-08-17,0.0006818565254507192,62.0
2026-08-24,0.00296371732801326,50.0
2026-08-31,0.004800417628558318,79.0
2026-09-14,-0.021562738966760753,41.0
