date,value
2025-03-03,12.0
2025-03-10,5.0
2025-03-17,12.0
2025-03-24,6.0
2025-03-31,14.0
2025-04-07,7.0
2025-04-14,7.0
2025-04-21,6.0
2025-04-28,5.0
2025-05-05,18.0
2025-05-12,6.0
2025-05-19,42.0
2025-05-26,12.0
2025-06-02,6.0
2025-06-09,6.0
2025-06-16,11.0
2025-06-23,10.0
2025-06-30,11.0
2025-07-07,5.0
2025-07-14,8.0
2025-07-21,6.0
2025-07-28,10.0
2025-08-04,14.0
2025-08-11,8.0
2025-08-18,11.0
2025-08-25,58.0
2025-09-01,4.0
2025-09-08,10.0
2025-09-15,5.0
2025-09-22,8.0
2025-09-29,7.0
2025-10-06,11.0
2025-10-13,6.0
2025-10-20,5.0
2025-10-27,12.0
2025-11-03,3.0
2025-11-10,9.0
2025-11-17,21.0
2025-11-24,11.0
2025-12-01,13.0
2025-12-08,8.0
2025-12-15,28.0
2025-12-22,10.0
2025-12-29,10.0
2026-01-05,4.0
2026-01-12,18.0
2026-01-19,21.0
2026-01-26,15.0
2026-02-02,16.0
2026-02-09,8.0
2026-02-16,14.0
2026-02-23,18.0
2026-03-02,6.0
2026-03-09,8.0
2026-03-16,4.0
2026-03-23,10.0
2026-03-30,10.0
2026-04-06,5.0
2026-04-13,12.0
2026-04-20,5.0
2026-04-27,14.0
2026-05-04,9.0
2026-05-11,5.0
2026-05-18,13.0
2026-05-25,22.0
2026-06-01,23.0
2026-06-08,8.0
2026-06-15,4.0
2026-06-22,10.0
2026-06-29,13.0
2026-07-06,9.0
2026-07-13,16.0
2026-07-20,5.0
2026-07-27,23.0
2026-08-03,13.0
2026-08-10,11.0
2026-08-17,11.0
2026-08-24,6.0
2026-08-31,73.0
2026-09-07,7.0
2026-09-14,9.0
