date,a,b
2025-03-03,60.0,70.0
2025-03-10,68.0,75.0
2025-03-17,66.0,64.0
2025-03-24,52.0,74.0
2025-03-31,49.0,77.0
2025-04-07,53.0,86.0
2025-04-14,85.0,84.0
2025-04-21,51.0,82.0
2025-04-28,51.0,86.0
2025-05-05,41.0,55.0
2025-05-12,40.0,50.0
2025-05-19,43.0,69.0
2025-05-26,64.0,66.0
2025-06-02,52.0,65.0
2025-06-09,58.0,67.0
2025-06-16,46.0,71.0
2025-06-23,39.0,58.0
2025-06-30,49.0,84.0
2025-07-07,35.0,56.0
2025-07-14,62.0,86.0
2025-07-21,57.0,111.0
2025-07-28,58.0,59.0
2025-08-04,51.0,85.0
2025-08-11,39.0,70.0
2025-08-18,54.0,100.0
2025-08-25,65.0,63.0
2025-09-01,53.0,64.0
2025-09-08,42.0,104.0
2025-09-15,43.0,54.0
2025-09-22,53.0,74.0
2025-09-29,60.0,92.0
2025-10-06,51.0,70.0
2025-10-13,63.0,62.0
2025-10-20,63.0,68.0
2025-10-27,53.0,80.0
2025-11-03,52.0,59.0
2025-11-10,53.0,76.0
2025-11-17,72.0,84.0
2025-11-24,51.0,108.0
2025-12-01,48.0,80.0
2025-12-08,44.0,84.0
2025-12-15,35.0,67.0
2025-12-22,47.0,61.0
2025-12-29,46.0,57.0
2026-01-05,47.0,93.0
2026-01-12,35.0,76.0
2026-01-19,56.0,67.0
2026-01-26,53.0,74.0
2026-02-02,45.0,62.0
2026-02-09,59.0,79.0
2026-02-16,44.0,60.0
2026-02-23,44.0,63.0
