date,value
2025-03-03,319.0
2025-03-10,467.0
2025-03-17,381.0
2025-03-24,295.0
2025-03-31,400.0
2025-04-07,317.0
2025-04-14,371.0
2025-04-21,434.0
2025-04-28,330.0
2025-05-05,325.0
2025-05-12,364.0
2025-05-19,372.0
2025-05-26,358.0
2025-06-02,293.0
2025-06-09,333.0
2025-06-16,350.0
2025-06-23,352.0
2025-06-30,361.0
2025-07-07,335.0
2025-07-14,408.0
2025-07-21,532.0
2025-07-28,296.0
2025-08-04,367.0
2025-08-11,367.0
2025-08-18,408.0
2025-08-25,429.0
2025-09-01,359.0
2025-09-08,350.0
2025-09-15,337.0
2025-09-22,397.0
2025-09-29,375.0
2025-10-06,348.0
2025-10-13,386.0
2025-10-20,371.0
2025-10-27,385.0
2025-11-03,405.0
2025-11-10,326.0
2025-11-17,445.0
2025-11-24,608.0
2025-12-01,504.0
2025-12-08,317.0
2025-12-15,402.0
2025-12-22,327.0
2025-12-29,431.0
2026-01-05,329.0
2026-01-12,379.0
2026-01-19,463.0
2026-01-26,360.0
2026-02-02,430.0
2026-02-09,421.0
2026-02-16,449.0
2026-02-23,408.0
2026-03-02,457.0
2026-03-09,387.0
2026-03-16,351.0
2026-03-23,428.0
2026-03-30,408.0
2026-04-06,511.0
2026-04-13,461.0
2026-04-20,374.0
2026-04-27,336.0
2026-05-04,437.0
2026-05-11,463.0
2026-05-18,438.0
2026-05-25,346.0
2026-06-01,389.0
2026-06-08,396.0
2026-06-15,420.0
2026-06-22,361.0
2026-06-29,441.0
2026-07-06,427.0
2026-07-13,600.0
2026-07-20,444.0
2026-07-27,422.0
2026-08-03,398.0
2026-08-10,454.0
2026-08-17,397.0
2026-08-24,371.0
2026-08-31,438.0
2026-09-07,417.0
2026-09-14,411.0
