date,a,b
2025-03-01,195.0,5405.0
2025-03-02,173.0,3801.0
2025-03-03,224.0,6587.0
2025-03-04,461.0,9105.0
2025-03-05,385.0,6368.0
2025-03-06,295.0,6743.0
2025-03-07,442.0,15837.0
2025-03-08,358.0,17272.0
2025-03-09,347.0,17433.0
2025-03-10,384.0,12500.0
2025-03-11,269.0,6461.0
2025-03-12,610.0,17843.0
2025-03-13,511.0,13375.0
2025-03-14,720.0,33720.0
2025-03-15,289.0,10300.0
2025-03-16,249.0,20179.0
2025-03-17,435.0,21075.0
2025-03-18,347.0,13336.0
2025-03-19,230.0,10443.0
2025-03-20,288.0,27180.0
2025-03-21,295.0,8712.0
2025-03-22,214.0,5782.0
2025-03-23,179.0,8785.0
2025-03-24,290.0,8717.0
2025-03-25,303.0,6724.0
2025-03-26,311.0,7547.0
2025-03-27,169.0,5925.0
2025-03-28,293.0,7053.0
2025-03-29,184.0,3433.0
2025-03-30,237.0,36590.0
2025-03-31,373.0,17580.0
2025-04-01,371.0,11000.0
2025-04-02,298.0,7412.0
2025-04-03,228.0,9297.0
2025-04-04,227.0,5517.0
2025-04-05,214.0,4513.0
2025-04-06,324.0,10295.0
2025-04-07,631.0,19238.0
2025-04-08,1074.0,58898.0
2025-04-09,695.0,23481.0
2025-04-10,494.0,14216.0
2025-04-11,759.0,25036.0
2025-04-12,887.0,75241.0
2025-04-13,737.0,23892.0
2025-04-14,799.0,19846.0
2025-04-15,925.0,26535.0
2025-04-16,744.0,20693.0
2025-04-17,1194.0,35214.0
2025-04-18,875.0,18448.0
2025-04-19,1065.0,51243.0
2025-04-20,653.0,13768.0
2025-04-21,494.0,9881.0
2025-04-22,596.0,16412.0
2025-04-23,569.0,12870.0
2025-04-24,695.0,14874.0
2025-04-25,701.0,20493.0
2025-04-26,876.0,64246.0
2025-04-27,601.0,59583.0
2025-04-28,727.0,27442.0
2025-04-29,484.0,9045.0
2025-04-30,646.0,13818.0
2025-05-01,565.0,19156.0
2025-05-02,427.0,13658.0
2025-05-03,287.0,6632.0
