date,a,b
2026-02-28,17715.0,109605.0
2026-03-01,23819.0,98428.0
2026-03-02,23121.0,137595.0
2026-03-03,20324.0,147914.0
2026-03-04,18075.0,144361.0
2026-03-05,18311.0,149448.0
2026-03-06,15392.0,135958.0
2026-03-07,12268.0,91570.0
2026-03-08,10565.0,78055.0
2026-03-09,12631.0,115845.0
2026-03-10,11510.0,125276.0
2026-03-11,11246.0,130255.0
2026-03-12,11370.0,133831.0
2026-03-13,11392.0,129125.0
2026-03-14,8723.0,83229.0
2026-03-15,7950.0,68398.0
2026-03-16,10366.0,118063.0
2026-03-17,11971.0,132234.0
2026-03-18,12477.0,134295.0
2026-03-19,12423.0,130558.0
2026-03-20,10206.0,115465.0
2026-03-21,7866.0,70938.0
2026-03-22,6766.0,58418.0
2026-03-23,10011.0,100408.0
2026-03-24,10773.0,118235.0
2026-03-25,11385.0,122757.0
2026-03-26,10857.0,120872.0
2026-03-27,8395.0,112358.0
2026-03-28,6808.0,76952.0
2026-03-29,7447.0,68465.0
2026-03-30,9606.0,111776.0
2026-03-31,8129.0,119585.0
2026-04-01,8519.0,122243.0
2026-04-02,7736.0,112097.0
2026-04-03,7600.0,93904.0
2026-04-04,6575.0,62135.0
2026-04-05,7481.0,56456.0
2026-04-06,9597.0,88402.0
2026-04-07,11720.0,111840.0
2026-04-08,17246.0,127059.0
2026-04-09,12248.0,125681.0
2026-04-10,9815.0,117208.0
2026-04-11,7687.0,75359.0
2026-04-12,6693.0,62288.0
2026-04-13,7866.0,103388.0
2026-04-14,7763.0,120301.0
2026-04-15,8113.0,121479.0
2026-04-16,7933.0,124509.0
2026-04-17,6891.0,114824.0
2026-04-18,5393.0,71789.0
2026-04-19,5821.0,61630.0
2026-04-20,7738.0,104802.0
2026-04-21,7519.0,119821.0
2026-04-22,6402.0,118109.0
2026-04-23,5781.0,119822.0
2026-04-24,6526.0,117041.0
2026-04-25,6097.0,73501.0
2026-04-26,4622.0,64489.0
2026-04-27,6469.0,106080.0
2026-04-28,5601.0,120277.0
2026-04-29,4746.0,122097.0
2026-04-30,4579.0,119544.0
2026-05-01,4520.0,108722.0
2026-05-02,3938.0,73374.0
2026-05-03,3292.0,62141.0
2026-05-04,5236.0,99630.0
2026-05-05,5776.0,116460.0
2026-05-06,6050.0,124652.0
2026-05-07,5584.0,127586.0
2026-05-08,5677.0,121015.0
2026-05-09,2888.0,73052.0
2026-05-10,3935.0,64152.0
2026-05-11,5748.0,109039.0
2026-05-12,5485.0,121852.0
2026-05-13,5036.0,124004.0
2026-05-14,5120.0,126430.0
2026-05-15,4642.0,116947.0
2026-05-16,2636.0,72806.0
2026-05-17,2864.0,61795.0
2026-05-18,4084.0,105021.0
2026-05-19,3902.0,117963.0
2026-05-20,3929.0,124958.0
2026-05-21,3951.0,120971.0
2026-05-22,3948.0,113770.0
2026-05-23,4072.0,71474.0
2026-05-24,4886.0,61358.0
2026-05-25,4771.0,86501.0
2026-05-26,5181.0,108917.0
2026-05-27,4224.0,112236.0
2026-05-28,3863.0,112330.0
2026-05-29,3826.0,111724.0
2026-05-30,2297.0,66030.0
2026-05-31,1932.0,56317.0
2026-06-01,4398.0,101257.0
2026-06-02,4407.0,115389.0
2026-06-03,4957.0,116785.0
2026-06-04,4722.0,114924.0
2026-06-05,3560.0,104710.0
2026-06-06,3017.0,68656.0
2026-06-07,3759.0,61939.0
2026-06-08,7746.0,100849.0
2026-06-09,4673.0,107437.0
2026-06-10,5340.0,113451.0
2026-06-11,6002.0,110619.0
2026-06-12,4609.0,101588.0
2026-06-13,3585.0,65675.0
2026-06-14,3832.0,56736.0
2026-06-15,8253.0,106244.0
2026-06-16,6603.0,112387.0
2026-06-17,6285.0,114483.0
2026-06-18,7386.0,112715.0
2026-06-19,6150.0,100564.0
2026-06-20,4655.0,64614.0
2026-06-21,6465.0,60458.0
2026-06-22,6336.0,100890.0
2026-06-23,6183.0,110347.0
2026-06-24,5717.0,111111.0
2026-06-25,4613.0,111052.0
2026-06-26,3464.0,100170.0
2026-06-27,3092.0,64264.0
2026-06-28,3399.0,57537.0
2026-06-29,3997.0,96159.0
2026-06-30,3601.0,105233.0
2026-07-01,3424.0,106020.0
2026-07-02,3678.0,106736.0
2026-07-03,4077.0,95675.0
2026-07-04,3097.0,62375.0
2026-07-05,2544.0,53806.0
2026-07-06,2830.0,95352.0
2026-07-07,3322.0,110517.0
2026-07-08,6037.0,118930.0
2026-07-09,5560.0,111747.0
2026-07-10,4778.0,104485.0
2026-07-11,3559.0,68732.0
2026-07-12,4006.0,59741.0
2026-07-13,5322.0,103574.0
2026-07-14,5362.0,112644.0
2026-07-15,4337.0,113027.0
2026-07-16,4644.0,111814.0
2026-07-17,4016.0,102782.0
2026-07-18,3149.0,63975.0
2026-07-19,3525.0,55512.0
2026-07-20,4265.0,94466.0
2026-07-21,5078.0,111441.0
2026-07-22,5696.0,119532.0
2026-07-23,4558.0,113564.0
2026-07-24,4755.0,112221.0
2026-07-25,2917.0,69946.0
2026-07-26,3406.0,60552.0
2026-07-27,4324.0,98345.0
2026-07-28,5102.0,113648.0
2026-07-29,4761.0,111523.0
2026-07-30,4578.0,112596.0
2026-07-31,3009.0,106591.0
2026-08-01,2460.0,68652.0
2026-08-02,3292.0,58514.0
2026-08-03,3578.0,91071.0
2026-08-04,3396.0,101640.0
2026-08-05,2961.0,104776.0
2026-08-06,2970.0,105709.0
2026-08-07,2743.0,101016.0
2026-08-08,2025.0,64759.0
2026-08-09,2025.0,54578.0
2026-08-10,2527.0,91774.0
2026-08-11,3111.0,106955.0
2026-08-12,3390.0,107708.0
2026-08-13,2202.0,105475.0
2026-08-14,2444.0,101825.0
2026-08-15,1968.0,64316.0
2026-08-16,2163.0,56949.0
2026-08-17,4035.0,98347.0
2026-08-18,3584.0,107743.0
2026-08-19,3217.0,109689.0
2026-08-20,2988.0,112739.0
2026-08-21,2279.0,102476.0
2026-08-22,1548.0,63491.0
2026-08-23,2188.0,55748.0
2026-08-24,3097.0,96665.0
2026-08-25,3374.0,106856.0
2026-08-26,3318.0,109011.0
2026-08-27,2798.0,112147.0
2026-08-28,2438.0,103870.0
2026-08-29,1397.0,66375.0
2026-08-30,1379.0,57971.0
2026-08-31,3802.0,97161.0
2026-09-01,4174.0,115735.0
2026-09-02,4276.0,118700.0
2026-09-03,3626.0,115359.0
2026-09-04,2185.0,105533.0
2026-09-05,2136.0,66166.0
2026-09-06,1810.0,59949.0
2026-09-07,2034.0,85510.0
2026-09-08,2372.0,113935.0
2026-09-09,3126.0,118118.0
2026-09-10,2763.0,116892.0
2026-09-11,3676.0,114868.0
2026-09-12,3347.0,75235.0
2026-09-13,2397.0,59748.0
2026-09-14,3060.0,98960.0
2026-09-15,2651.0,111171.0
2026-09-16,2566.0,114530.0
2026-09-17,2845.0,113860.0
2026-09-18,2341.0,107880.0
2026-09-19,57.0,3774.0
