date,value
2025-03-01,30374858.142829325
2025-03-02,31593938.057656776
2025-03-03,33640934.9505329
2025-03-04,32946132.320771188
2025-03-05,32255752.1236825
2025-03-06,33558084.920065016
2025-03-07,33614975.78316458
2025-03-08,30989093.373401746
2025-03-09,30451441.1743039
2025-03-10,31560256.132470567
2025-03-11,31140044.160242848
2025-03-12,30788392.269498166
2025-03-13,31017113.2121917
2025-03-14,31315523.192612145
2025-03-15,29848121.19023732
2025-03-16,29101715.39932002
2025-03-17,30936078.00254921
2025-03-18,31431070.73275212
2025-03-19,30775887.73196016
2025-03-20,30923757.1755075
2025-03-21,31519604.238041997
2025-03-22,29603618.03330588
2025-03-23,29130431.426743433
2025-03-24,30902170.629007746
2025-03-25,31189130.420544945
2025-03-26,31360693.62258867
2025-03-27,31273520.922752824
2025-03-28,30633487.98602248
2025-03-29,29374752.85921688
2025-03-30,29259773.664549023
2025-03-31,30935196.00100856
2025-04-01,31443504.243118253
2025-04-02,32353359.242211714
2025-04-03,32424861.161194064
2025-04-04,32347846.100918654
2025-04-05,31049146.89472107
2025-04-06,29934060.648341592
2025-04-07,31312729.592399087
2025-04-08,31545862.129375234
2025-04-09,31512728.995918676
2025-04-10,31249798.541532747
2025-04-11,31586594.39714795
2025-04-12,30304946.81477395
2025-04-13,29386176.87074546
2025-04-14,30724248.377361037
2025-04-15,30939625.00423038
2025-04-16,31003987.522863023
2025-04-17,31192196.217759594
2025-04-18,30837819.443023838
2025-04-19,29802583.22436478
2025-04-20,29114432.858399685
2025-04-21,30588990.626449548
2025-04-22,31541545.597857334
2025-04-23,31655955.91724794
2025-04-24,31684786.00796738
2025-04-25,31789393.74216737
2025-04-26,30558296.853045817
2025-04-27,29476232.060020853
2025-04-28,31438883.270702813
2025-04-29,32337658.67160802
2025-04-30,32227176.000125684
2025-05-01,32238724.198155545
2025-05-02,32300517.22677264
2025-05-03,30109081.86978023
2025-05-04,29056730.872702137
2025-05-05,30657177.970161777
2025-05-06,31215848.47687509
2025-05-07,31316014.827445585
2025-05-08,31981983.97987217
2025-05-09,32100670.2392926
2025-05-10,30078037.47789054
2025-05-11,29224141.864040036
2025-05-12,31602383.998741634
2025-05-13,33142548.99191221
2025-05-14,34127139.68249948
2025-05-15,35315218.25171091
2025-05-16,35908673.10479785
2025-05-17,33702898.8449846
2025-05-18,32091259.308233377
2025-05-19,33701512.1572947
2025-05-20,34628473.43467196
2025-05-21,34394132.24110841
2025-05-22,34152880.40408338
2025-05-23,33668049.1588551
2025-05-24,32103204.05568226
2025-05-25,31076038.83492512
2025-05-26,30863573.57205891
2025-05-27,32286489.93487226
2025-05-28,33347202.508167733
2025-05-29,33739547.276149414
2025-05-30,33886913.90198318
2025-05-31,32433039.003692366
2025-06-01,31748375.045367848
2025-06-02,33802563.29674116
2025-06-03,35304606.044086345
2025-06-04,35684214.047523245
2025-06-05,36478248.76899137
2025-06-06,37618284.39574607
2025-06-07,36350266.52251937
2025-06-08,35127467.99912446
2025-06-09,36503761.45009755
2025-06-10,36781392.73041122
2025-06-11,37004539.29912479
2025-06-12,37735189.69694434
2025-06-13,37650849.33881971
2025-06-14,36091493.23468635
2025-06-15,35091920.999662556
2025-06-16,37290768.0420862
2025-06-17,39298045.930614
