date,a,b
2026-02-28,4.549999999999997,17715.0
2026-03-01,10.149999999999999,23819.0
2026-03-02,3.1571428571428584,23121.0
2026-03-03,2.857142857142861,20324.0
2026-03-04,0.05714285714286049,18075.0
2026-03-05,-3.74285714285714,18311.0
2026-03-06,-4.642857142857139,15392.0
2026-03-07,-3.9428571428571395,12268.0
2026-03-08,-3.542857142857141,10565.0
2026-03-09,-0.24285714285714377,12631.0
2026-03-10,-1.442857142857143,11510.0
2026-03-11,-0.7428571428571438,11246.0
2026-03-12,-1.542857142857141,11370.0
2026-03-13,-0.14285714285714235,11392.0
2026-03-14,0.5571428571428569,8723.0
2026-03-15,2.7571428571428562,7950.0
2026-03-16,3.8428571428571416,10366.0
2026-03-17,3.24285714285714,11971.0
2026-03-18,-2.6571428571428584,12477.0
2026-03-19,-0.9571428571428555,12423.0
2026-03-20,1.2428571428571402,10206.0
2026-03-21,-2.9571428571428555,7866.0
2026-03-22,-0.5571428571428569,6766.0
2026-03-23,-3.085714285714289,10011.0
2026-03-24,-3.585714285714289,10773.0
2026-03-25,-3.085714285714289,11385.0
2026-03-26,1.3142857142857096,10857.0
2026-03-27,-2.585714285714289,8395.0
2026-03-28,-4.785714285714288,6808.0
2026-03-29,-4.18571428571429,7447.0
2026-03-30,-11.17142857142857,9606.0
2026-03-31,-12.471428571428572,8129.0
2026-04-01,-10.87142857142857,8519.0
2026-04-02,-10.57142857142857,7736.0
2026-04-03,-11.17142857142857,7600.0
2026-04-04,-9.87142857142857,6575.0
2026-04-05,-7.671428571428571,7481.0
2026-04-06,-9.157142857142858,9597.0
2026-04-07,-9.257142857142856,11720.0
2026-04-08,-8.957142857142856,17246.0
2026-04-09,-6.057142857142857,12248.0
2026-04-10,-6.757142857142856,9815.0
2026-04-11,-9.257142857142856,7687.0
2026-04-12,-8.957142857142856,6693.0
2026-04-13,-2.1571428571428584,7866.0
2026-04-14,-3.057142857142857,7763.0
2026-04-15,-4.75714285714286,8113.0
2026-04-16,-5.157142857142858,7933.0
2026-04-17,-4.857142857142858,6891.0
2026-04-18,-4.157142857142858,5393.0
2026-04-19,-1.457142857142859,5821.0
2026-04-20,-5.042857142857141,7738.0
2026-04-21,-3.8428571428571416,7519.0
2026-04-22,-1.442857142857143,6402.0
2026-04-23,-0.1428571428571388,5781.0
2026-04-24,-0.7428571428571402,6526.0
2026-04-25,-3.142857142857139,6097.0
2026-04-26,-2.942857142857143,4622.0
2026-04-27,-5.057142857142857,6469.0
2026-04-28,-2.9571428571428626,5601.0
