date,a,b
2025-03-03,6587.0,273.0
2025-03-10,12500.0,334.0
2025-03-17,21075.0,308.0
2025-03-24,8717.0,219.0
2025-03-31,17580.0,313.0
2025-04-07,19238.0,248.0
2025-04-14,19846.0,251.0
2025-04-21,9881.0,354.0
2025-04-28,27442.0,250.0
2025-05-05,16786.0,284.0
2025-05-12,16906.0,235.0
2025-05-19,10364.0,430.0
2025-05-26,15584.0,334.0
2025-06-02,12417.0,194.0
2025-06-09,10669.0,220.0
2025-06-16,441.0,196.0
2025-06-23,369.0,236.0
2025-06-30,246.0,319.0
2025-07-07,18740.0,222.0
2025-07-14,9875.0,282.0
2025-07-21,20758.0,264.0
2025-07-28,11672.0,269.0
2025-08-04,9093.0,272.0
2025-08-11,13996.0,331.0
2025-08-18,5883.0,191.0
2025-08-25,7908.0,637.0
2025-09-01,17765.0,283.0
2025-09-08,4928.0,249.0
2025-09-15,5214.0,237.0
2025-09-22,9956.0,294.0
2025-09-29,12809.0,343.0
2025-10-06,4654.0,254.0
2025-10-13,13488.0,259.0
2025-10-20,5432.0,252.0
2025-10-27,7014.0,283.0
2025-11-03,6242.0,297.0
2025-11-10,4956.0,224.0
2025-11-17,4928.0,312.0
2025-11-24,4969.0,272.0
2025-12-01,3622.0,323.0
2025-12-08,10783.0,336.0
2025-12-15,9400.0,297.0
2025-12-22,6066.0,309.0
2025-12-29,12343.0,251.0
2026-01-05,12637.0,267.0
2026-01-12,82468.0,162.0
2026-01-19,23695.0,163.0
2026-01-26,16439.0,307.0
2026-02-02,30232.0,351.0
2026-02-09,25099.0,290.0
2026-02-16,34532.0,261.0
2026-02-23,41973.0,353.0
2026-03-02,343465.0,221.0
2026-03-09,155544.0,221.0
2026-03-16,109499.0,186.0
2026-03-23,132255.0,198.0
2026-03-30,137033.0,279.0
2026-04-06,171874.0,279.0
2026-04-13,114029.0,208.0
2026-04-20,125466.0,340.0
2026-04-27,104245.0,283.0
2026-05-04,92845.0,289.0
2026-05-11,81575.0,372.0
2026-05-18,45977.0,320.0
2026-05-25,61428.0,335.0
2026-06-01,61046.0,389.0
2026-06-08,137265.0,314.0
2026-06-15,107584.0,363.0
2026-06-22,96379.0,422.0
2026-06-29,45609.0,310.0
2026-07-06,32079.0,344.0
2026-07-13,122457.0,446.0
2026-07-20,81967.0,302.0
2026-07-27,56237.0,313.0
2026-08-03,47789.0,319.0
2026-08-10,39650.0,244.0
2026-08-17,43243.0,282.0
2026-08-24,37126.0,345.0
2026-08-31,78732.0,390.0
2026-09-07,18584.0,313.0
2026-09-14,33898.0,288.0
