date,a,b
2025-03-03,921.0,273.0
2025-03-10,1616.0,334.0
2025-03-17,1851.0,308.0
2025-03-24,1217.0,219.0
2025-03-31,1599.0,313.0
2025-04-07,1783.0,248.0
2025-04-14,2048.0,251.0
2025-04-21,1499.0,354.0
2025-04-28,2337.0,250.0
2025-05-05,2324.0,284.0
2025-05-12,1738.0,235.0
2025-05-19,1722.0,430.0
2025-05-26,1805.0,334.0
2025-06-02,1463.0,194.0
2025-06-09,1360.0,220.0
2025-06-16,91.0,196.0
2025-06-23,75.0,236.0
2025-06-30,62.0,319.0
2025-07-07,2902.0,222.0
2025-07-14,1706.0,282.0
2025-07-21,2297.0,264.0
2025-07-28,1410.0,269.0
2025-08-04,1443.0,272.0
2025-08-11,1682.0,331.0
2025-08-18,1249.0,191.0
2025-08-25,1289.0,637.0
2025-09-01,1425.0,283.0
2025-09-08,970.0,249.0
2025-09-15,975.0,237.0
2025-09-22,1113.0,294.0
2025-09-29,1287.0,343.0
2025-10-06,798.0,254.0
2025-10-13,1403.0,259.0
2025-10-20,1043.0,252.0
2025-10-27,647.0,283.0
2025-11-03,1043.0,297.0
2025-11-10,950.0,224.0
2025-11-17,960.0,312.0
2025-11-24,946.0,272.0
2025-12-01,793.0,323.0
2025-12-08,993.0,336.0
2025-12-15,1151.0,297.0
2025-12-22,980.0,309.0
2025-12-29,1305.0,251.0
2026-01-05,1869.0,267.0
2026-01-12,4991.0,162.0
2026-01-19,2350.0,163.0
2026-01-26,2034.0,307.0
2026-02-02,3019.0,351.0
2026-02-09,2500.0,290.0
2026-02-16,2944.0,261.0
2026-02-23,3279.0,353.0
2026-03-02,23121.0,221.0
2026-03-09,12631.0,221.0
2026-03-16,10366.0,186.0
2026-03-23,10011.0,198.0
2026-03-30,9606.0,279.0
2026-04-06,9597.0,279.0
2026-04-13,7866.0,208.0
2026-04-20,7738.0,340.0
2026-04-27,6469.0,283.0
2026-05-04,5236.0,289.0
2026-05-11,5748.0,372.0
2026-05-18,4084.0,320.0
2026-05-25,4771.0,335.0
2026-06-01,4398.0,389.0
2026-06-08,7746.0,314.0
2026-06-15,8253.0,363.0
2026-06-22,6336.0,422.0
2026-06-29,3997.0,310.0
2026-07-06,2830.0,344.0
2026-07-13,5322.0,446.0
2026-07-20,4265.0,302.0
2026-07-27,4324.0,313.0
2026-08-03,3578.0,319.0
2026-08-10,2527.0,244.0
2026-08-17,4035.0,282.0
2026-08-24,3097.0,345.0
2026-08-31,3802.0,390.0
2026-09-07,2034.0,313.0
2026-09-14,3060.0,288.0
