date,value
2025-03-03,273.0
2025-03-10,334.0
2025-03-17,308.0
2025-03-24,219.0
2025-03-31,313.0
2025-04-07,248.0
2025-04-14,251.0
2025-04-21,354.0
2025-04-28,250.0
2025-05-05,284.0
2025-05-12,235.0
2025-05-19,430.0
2025-05-26,334.0
2025-06-02,194.0
2025-06-09,220.0
2025-06-16,196.0
2025-06-23,236.0
2025-06-30,319.0
2025-07-07,222.0
2025-07-14,282.0
2025-07-21,264.0
2025-07-28,269.0
2025-08-04,272.0
2025-08-11,331.0
2025-08-18,191.0
2025-08-25,637.0
2025-09-01,283.0
2025-09-08,249.0
2025-09-15,237.0
2025-09-22,294.0
2025-09-29,343.0
2025-10-06,254.0
2025-10-13,259.0
2025-10-20,252.0
2025-10-27,283.0
2025-11-03,297.0
2025-11-10,224.0
2025-11-17,312.0
2025-11-24,272.0
2025-12-01,323.0
2025-12-08,336.0
2025-12-15,297.0
2025-12-22,309.0
2025-12-29,251.0
2026-01-05,267.0
2026-01-12,162.0
2026-01-19,163.0
2026-01-26,307.0
2026-02-02,351.0
2026-02-09,290.0
2026-02-16,261.0
2026-02-23,353.0
2026-03-02,221.0
2026-03-09,221.0
2026-03-16,186.0
2026-03-23,198.0
2026-03-30,279.0
2026-04-06,279.0
2026-04-13,208.0
2026-04-20,340.0
2026-04-27,283.0
2026-05-04,289.0
2026-05-11,372.0
2026-05-18,320.0
2026-05-25,335.0
2026-06-01,389.0
2026-06-08,314.0
2026-06-15,363.0
2026-06-22,422.0
2026-06-29,310.0
2026-07-06,344.0
2026-07-13,446.0
2026-07-20,302.0
2026-07-27,313.0
2026-08-03,319.0
2026-08-10,244.0
2026-08-17,282.0
2026-08-24,345.0
2026-08-31,390.0
2026-09-07,313.0
2026-09-14,288.0
