date,a,b
2025-03-03,19.0,-0.04964228771809154
2025-03-10,59.0,-0.00016317130342891062
2025-03-17,20.0,0.02012230001614501
2025-03-24,31.0,0.008640995075754887
2025-03-31,21.0,0.00785105629968097
2025-04-07,50.0,-0.004320058244363878
2025-04-14,24.0,-0.0007439954957053629
2025-04-21,35.0,-0.030662754189519248
2025-04-28,19.0,0.011575012857307776
2025-05-05,26.0,-0.017463459020571115
2025-05-12,33.0,0.0365990245521175
2025-05-19,41.0,-0.010336162555954154
2025-06-02,29.0,0.01304709293429962
2025-06-09,33.0,0.008404035613441607
2025-06-16,25.0,0.002407157160094542
2025-06-23,23.0,-0.04243356903419038
2025-06-30,23.0,-0.011067258389068968
2025-07-07,21.0,-0.01105412298456887
2025-07-14,26.0,-0.010500679288582226
2025-07-21,46.0,-0.025355497705032093
2025-07-28,27.0,0.02247623821245881
2025-08-04,34.0,0.003147824547003353
2025-08-11,13.0,-0.009640600216052952
2025-08-18,23.0,-0.008387091794406665
2025-08-25,79.0,0.010364479718298902
2025-09-08,23.0,-0.007354943088503596
2025-09-15,24.0,-0.006089420606611107
2025-09-22,21.0,0.0006915082294547403
2025-09-29,20.0,-0.027629780175913332
2025-10-06,21.0,0.007181832830747581
2025-10-13,22.0,0.025880331437263315
2025-10-20,36.0,0.01366358641207377
2025-10-27,19.0,-0.0008566692230731476
2025-11-03,17.0,0.0066017526488222344
2025-11-10,19.0,0.014795838462388744
2025-11-17,54.0,-0.01936389073811906
2025-11-24,46.0,0.008366294393767681
2025-12-01,16.0,0.007878134648398927
2025-12-08,27.0,-0.01890609070787974
2025-12-15,37.0,-0.014143355978822214
2025-12-22,23.0,-0.0024719725646384916
2025-12-29,20.0,0.011932366625995172
2026-01-05,27.0,-0.01138596622146082
2026-01-12,15.0,0.001019786329475636
2026-01-26,39.0,-0.003185128749720434
2026-02-02,27.0,-0.03246669931906254
2026-02-09,143.0,0.0005462740221480189
2026-02-23,362.0,-0.015729510096807786
2026-03-02,31.0,0.037287238098613784
2026-03-09,41.0,-0.014174174852298549
2026-03-16,40.0,-0.0031020980610962923
2026-03-23,33.0,-0.012784628589465719
2026-03-30,38.0,-0.014451876168632083
2026-04-06,43.0,0.007511646635044222
2026-04-13,80.0,0.0013643527033710967
2026-04-20,60.0,0.008852914150124569
2026-04-27,44.0,0.008473328218189025
2026-05-04,32.0,0.02426867275084099
2026-05-11,37.0,0.020970152668474462
2026-05-18,33.0,0.011874328949667223
2026-06-01,172.0,0.023384357395156208
2026-06-08,26.0,0.014355135326115764
2026-06-15,43.0,-0.043133011583434744
2026-06-22,37.0,0.009991605302629658
2026-06-29,35.0,0.00445091828859745
2026-07-06,40.0,-0.004406958929744853
2026-07-13,36.0,0.04090015895577448
2026-07-20,27.0,-0.0008229933767980313
2026-07-27,52.0,-0.028970645263141748
2026-08-03,38.0,-0.017743841225114743
2026-08-10,28.0,0.05569165531219067
2026-08-17,36.0,0.015721522795327125
2026-08-24,31.0,-0.01756385458199272
2026-08-31,680.0,0.01611133382189145
2026-09-14,31.0,-0.011562604657992637
