date,a,b
2025-03-03,21.0,-0.0281708461474528
2025-03-04,21.4,-0.0664908487227116
2025-03-05,22.8,0.0373271729978919
2025-03-06,24.0,-0.032402393990086154
2025-03-07,27.6,-0.031044627934988522
2025-03-10,26.7,-0.05695964615179161
2025-03-11,27.3,-0.07528554321327885
2025-03-12,26.1,-0.030008798308910567
2025-03-13,24.5,-0.03093726013646414
2025-03-14,25.4,0.062444500224102306
2025-03-17,25.0,0.002990164350130886
2025-03-18,23.3,-0.020903707948400907
2025-03-19,23.6,0.039078354790313075
2025-03-20,24.2,-0.016895845022425693
2025-03-21,25.3,-0.0038412403789696015
2025-03-24,24.5,0.044126355189780586
2025-03-25,22.7,-0.004305550491596755
2025-03-26,23.0,-0.01240451066622894
2025-03-27,24.2,-0.04076128154497294
2025-03-28,24.3,-0.051350347892002546
2025-03-31,26.4,-0.005489530762557759
2025-04-01,26.2,-0.027437209386121264
2025-04-02,27.6,0.022148027247656188
2025-04-03,27.0,-0.11366999228066987
2025-04-04,28.0,-0.0384459961130621
2025-04-07,29.1,0.0010732739167118588
2025-04-08,29.0,-0.03854515178258744
2025-04-09,29.5,0.21012719012462489
2025-04-10,29.1,-0.11755716939336569
2025-04-11,28.6,0.03789088433256005
2025-04-14,31.4,-0.014289522002374877
2025-04-15,31.5,0.013065700156162485
2025-04-16,29.6,-0.005895415567244822
2025-04-17,27.2,0.006385049342739535
2025-04-21,27.6,-0.034365863350673376
2025-04-22,28.2,0.021802615706490336
2025-04-23,30.2,0.025937381379635305
2025-04-24,30.9,0.014864788622555025
2025-04-25,31.1,-0.01052637984402649
2025-04-28,32.8,0.009097435242270802
2025-04-29,32.5,0.0028558502340643166
2025-04-30,32.2,-0.010751525078882551
2025-05-01,31.6,-0.00312765962757533
2025-05-02,31.8,0.06303137910807344
2025-05-05,32.2,0.029207238802549718
2025-05-06,31.8,-0.015500685702247718
2025-05-07,29.7,0.010875656202030015
2025-05-08,28.5,0.06908120351269398
2025-05-09,30.1,-0.004128840727859462
2025-05-12,32.5,0.05630757949623311
2025-05-13,33.0,0.03553629025170579
2025-05-14,33.5,-0.04654697073685243
2025-05-15,33.1,-0.0059489179990377394
2025-05-16,32.2,0.012648378285823991
2025-05-19,33.7,0.005288435912396583
2025-05-20,33.7,-0.023921257394292628
2025-05-21,32.3,-0.03481265709206838
2025-05-22,33.7,0.004753538787636735
2025-05-23,33.7,-0.012030882346901528
2025-05-27,34.1,0.03041753948557746
2025-05-28,37.2,-0.016326955572350865
2025-05-29,37.0,-0.0020597015663250673
2025-05-30,35.3,-0.002270629751385922
2025-06-02,35.5,0.002270629751385922
2025-06-03,34.7,0.006781117628690936
2025-06-04,32.5,0.0030671266059627555
2025-06-05,31.8,-0.0028623898113471213
2025-06-06,32.4,0.04229512227626753
2025-06-09,33.8,0.004894772303611461
2025-06-10,35.1,0.00933131843282764
2025-06-11,36.7,-0.04978722119486889
2025-06-12,38.5,-0.005915307469457343
2025-06-13,38.7,-0.03837001366201198
2025-06-16,38.4,0.050165920529697594
2025-06-17,37.3,-0.044231210921816366
2025-06-18,34.7,0.005059068036503245
2025-06-20,35.8,-0.007598191942015831
2025-06-23,35.5,0.02200191902951376
2025-06-24,34.2,0.02678825668561169
2025-06-25,34.9,-0.025545477477650902
2025-06-26,34.1,0.013569283648840358
2025-06-27,33.9,0.012581312936235545
2025-06-30,34.0,-0.0083021605847029
2025-07-01,33.7,-0.003666744882702133
2025-07-02,33.5,0.022799354471692013
2025-07-03,33.5,0.014457119412275787
2025-07-07,33.3,-0.017053766566448303
2025-07-08,32.8,0.010346301115183199
2025-07-09,33.3,0.0035566191019236193
2025-07-10,34.1,0.11325820390075014
2025-07-11,33.8,-0.002292115136791395
2025-07-14,35.7,0.025445762181185216
2025-07-15,37.7,-0.04217812899147866
2025-07-16,37.0,-0.0026961049955147587
2025-07-17,35.6,0.013941222553163435
2025-07-18,34.0,-0.0008878494161557171
2025-07-21,34.2,-0.004451177934571504
2025-07-22,33.6,-0.006624368501651823
2025-07-23,33.8,0.005553106605847624
2025-07-24,33.9,-0.022947984568487456
2025-07-25,33.4,0.002738005293529966
2025-07-28,36.6,0.013578555539966786
2025-07-29,37.8,-0.02016235050584614
2025-07-30,37.4,-0.01665166206033275
2025-07-31,37.7,-0.007302708206514463
2025-08-01,34.1,-0.03948380917326144
2025-08-04,33.0,0.026431535921493055
2025-08-05,33.2,0.006641991894104304
2025-08-06,33.7,0.023367733521845846
2025-08-07,33.5,-0.009095150655323625
2025-08-08,32.9,0.00018641412360365095
2025-08-11,34.3,-0.0026133931328522486
2025-08-12,35.1,0.0883189094813761
