date,a,b
2025-03-03,19.0,-0.006256521852327168
2025-03-10,59.0,-0.01477861878267106
2025-03-17,20.0,0.010777913941016237
2025-03-24,31.0,0.01254959438180725
2025-03-31,21.0,0.00389258502810641
2025-04-07,50.0,-0.0012204549680068233
2025-04-14,24.0,0.005305061375131093
2025-04-21,35.0,0.014060685577275578
2025-04-28,19.0,0.008291030044422332
2025-05-05,26.0,0.007576490999171348
2025-05-12,33.0,0.03617675586235558
2025-05-19,41.0,0.002192963842855278
2025-06-02,29.0,0.004225996870881321
2025-06-09,33.0,0.005991880414171646
2025-06-16,25.0,0.00957650867183757
2025-06-23,23.0,0.0075778911085149225
2025-06-30,23.0,-0.003227549936430485
2025-07-07,21.0,-0.0077373359331271985
2025-07-14,26.0,0.000728544679000187
2025-07-21,46.0,0.004576667027411663
2025-07-28,27.0,-0.010651314401772805
2025-08-04,34.0,-0.0045627774355088135
2025-08-11,13.0,0.0028738697192465246
2025-08-18,23.0,0.014876480403985148
2025-08-25,79.0,-0.006553759705746565
2025-09-08,23.0,0.00778213762466784
2025-09-15,24.0,0.0052542581845003156
2025-09-22,21.0,-0.008190638350018986
2025-09-29,20.0,-0.0017239761519043384
2025-10-06,21.0,0.00589294664752904
2025-10-13,22.0,0.0037828825093422225
2025-10-20,36.0,0.005311870884347147
2025-10-27,19.0,0.0038451553381828596
2025-11-03,17.0,0.004990315328593731
2025-11-10,19.0,0.007414334617969587
2025-11-17,54.0,0.0005491460533066927
2025-11-24,46.0,0.0001844902006951088
2025-12-01,16.0,-0.006969897075656206
2025-12-08,27.0,-0.01662811528859187
2025-12-15,37.0,-0.0007530293339965688
2025-12-22,23.0,0.0007383626101327145
2025-12-29,20.0,-0.006895916380249112
2026-01-05,27.0,-0.004960973924490464
2026-01-12,15.0,0.004128382987242052
2026-01-26,39.0,0.003895543446919003
2026-02-02,27.0,0.029329794122746833
2026-02-09,143.0,0.002998500209540289
2026-02-23,362.0,-0.015278946061086263
2026-03-02,31.0,-0.025577826839493945
2026-03-09,41.0,-0.0002001027536606692
2026-03-16,40.0,0.010349916148701066
2026-03-23,33.0,0.022076908134204487
2026-03-30,38.0,-0.008768174001461126
2026-04-06,43.0,0.012779693937312597
2026-04-13,80.0,0.00020262076616717195
2026-04-20,60.0,-0.014733593661921951
2026-04-27,44.0,-0.00404205799080426
2026-05-04,32.0,-0.010025615714054137
2026-05-11,37.0,-0.028904963846922538
2026-05-18,33.0,-0.0031305780135757466
2026-06-01,172.0,-0.01180748418603672
2026-06-08,26.0,-0.0027498921435333834
2026-06-15,43.0,0.01905983487527063
2026-06-22,37.0,0.006834123843029172
2026-06-29,35.0,-0.0076970414772778994
2026-07-06,40.0,0.006436057754926505
2026-07-13,36.0,-0.010398672980802104
2026-07-20,27.0,-0.007387692408673097
2026-07-27,52.0,0.017955263780495834
2026-08-03,38.0,0.007202924572104141
2026-08-10,28.0,-0.004576657994974198
2026-08-17,36.0,-0.004025708879125567
2026-08-24,31.0,-0.005859213080889436
2026-08-31,680.0,0.002820863982870847
2026-09-14,31.0,-0.002886587357921133
