date,value
2025-03-01,50.0
2025-03-02,48.0
2025-03-03,76.0
2025-03-04,199.0
2025-03-05,65.0
2025-03-06,52.0
2025-03-07,46.0
2025-03-08,61.0
2025-03-09,180.0
2025-03-10,100.0
2025-03-11,144.0
2025-03-12,133.0
2025-03-13,73.0
2025-03-14,53.0
2025-03-15,46.0
2025-03-16,148.0
2025-03-17,150.0
2025-03-18,142.0
2025-03-19,87.0
2025-03-20,59.0
2025-03-21,42.0
2025-03-22,58.0
2025-03-23,61.0
2025-03-24,101.0
2025-03-25,90.0
2025-03-26,64.0
2025-03-27,103.0
2025-03-28,108.0
2025-03-29,117.0
2025-03-30,139.0
2025-03-31,50.0
2025-04-01,34.0
2025-04-02,51.0
2025-04-03,52.0
2025-04-04,32.0
2025-04-05,101.0
2025-04-06,105.0
2025-04-07,161.0
2025-04-08,423.0
2025-04-09,294.0
2025-04-10,252.0
2025-04-11,495.0
2025-04-12,1068.0
2025-04-13,832.0
2025-04-14,495.0
2025-04-15,596.0
2025-04-16,536.0
2025-04-17,331.0
2025-04-18,193.0
2025-04-19,517.0
2025-04-20,383.0
2025-04-21,319.0
2025-04-22,351.0
2025-04-23,422.0
2025-04-24,306.0
2025-04-25,454.0
2025-04-26,664.0
2025-04-27,394.0
2025-04-28,331.0
2025-04-29,244.0
2025-04-30,270.0
2025-05-01,290.0
2025-05-02,228.0
2025-05-03,115.0
2025-05-04,167.0
2025-05-05,202.0
2025-05-06,236.0
2025-05-07,513.0
2025-05-08,180.0
2025-05-09,294.0
2025-05-10,282.0
2025-05-11,440.0
2025-05-12,356.0
2025-05-13,280.0
2025-05-14,326.0
2025-05-15,157.0
2025-05-16,154.0
2025-05-17,201.0
2025-05-18,195.0
2025-05-19,197.0
2025-05-20,203.0
2025-05-21,136.0
2025-05-22,185.0
2025-05-23,286.0
2025-05-24,96.0
2025-05-25,77.0
2025-05-26,277.0
2025-05-27,372.0
2025-05-28,410.0
2025-05-29,284.0
2025-05-30,147.0
2025-05-31,161.0
2025-06-01,105.0
2025-06-02,306.0
2025-06-03,153.0
2025-06-04,198.0
2025-06-05,130.0
2025-06-06,77.0
2025-06-07,51.0
2025-06-08,108.0
2025-06-09,106.0
2025-06-10,234.0
2025-06-11,181.0
2025-06-12,403.0
2025-06-13,612.0
2025-06-14,12.0
2025-06-15,1.0
2025-06-16,1.0
2025-06-17,0.0
2025-06-18,0.0
2025-06-19,2.0
2025-06-20,0.0
2025-06-21,0.0
2025-06-22,0.0
2025-06-23,0.0
2025-06-24,0.0
2025-06-25,0.0
2025-06-26,5.0
2025-06-27,0.0
2025-06-28,15.0
2025-06-29,12.0
2025-06-30,0.0
2025-07-01,0.0
2025-07-02,198.0
2025-07-03,128.0
2025-07-04,110.0
2025-07-05,114.0
2025-07-06,93.0
2025-07-07,123.0
2025-07-08,86.0
2025-07-09,154.0
2025-07-10,83.0
2025-07-11,55.0
2025-07-12,71.0
2025-07-13,75.0
2025-07-14,110.0
2025-07-15,112.0
2025-07-16,84.0
2025-07-17,179.0
2025-07-18,60.0
2025-07-19,65.0
2025-07-20,85.0
2025-07-21,59.0
2025-07-22,61.0
2025-07-23,118.0
2025-07-24,88.0
2025-07-25,59.0
2025-07-26,60.0
2025-07-27,43.0
2025-07-28,71.0
2025-07-29,98.0
2025-07-30,104.0
2025-07-31,103.0
2025-08-01,80.0
2025-08-02,58.0
2025-08-03,146.0
2025-08-04,90.0
2025-08-05,94.0
2025-08-06,95.0
2025-08-07,65.0
2025-08-08,63.0
2025-08-09,54.0
2025-08-10,83.0
2025-08-11,104.0
2025-08-12,104.0
2025-08-13,128.0
2025-08-14,109.0
2025-08-15,44.0
2025-08-16,50.0
2025-08-17,34.0
2025-08-18,102.0
2025-08-19,76.0
2025-08-20,96.0
2025-08-21,75.0
2025-08-22,59.0
2025-08-23,73.0
2025-08-24,54.0
2025-08-25,96.0
2025-08-26,144.0
2025-08-27,66.0
2025-08-28,59.0
2025-08-29,44.0
2025-08-30,76.0
2025-08-31,73.0
2025-09-01,62.0
2025-09-02,180.0
2025-09-03,195.0
2025-09-04,139.0
2025-09-05,58.0
2025-09-06,51.0
2025-09-07,118.0
2025-09-08,143.0
2025-09-09,123.0
2025-09-10,137.0
2025-09-11,129.0
2025-09-12,112.0
2025-09-13,149.0
2025-09-14,51.0
2025-09-15,109.0
2025-09-16,122.0
2025-09-17,75.0
2025-09-18,125.0
2025-09-19,82.0
2025-09-20,81.0
2025-09-21,77.0
2025-09-22,150.0
2025-09-23,226.0
2025-09-24,142.0
2025-09-25,142.0
2025-09-26,80.0
2025-09-27,83.0
2025-09-28,160.0
2025-09-29,159.0
2025-09-30,86.0
2025-10-01,120.0
