date,a,b
2025-03-03,13.62,0.0724298617413619
2025-03-04,16.72,0.053837287958234725
2025-03-05,22.15,0.022728230139335892
2025-03-06,21.78,-0.033824011830124956
2025-03-07,13.7,0.022297239035970362
2025-03-10,22.68,0.020698152656202673
2025-03-11,23.05,-0.008497391419022948
2025-03-12,19.29,-0.08650111436927399
2025-03-13,21.34,0.006589395372399887
2025-03-14,16.25,-0.0017041925858924944
2025-03-17,23.6,-0.021177832453630918
2025-03-18,22.02,0.008426299960656136
2025-03-19,23.12,0.04700230484543
2025-03-20,24.74,-0.06618817841460634
2025-03-21,24.22,0.0012570999741912114
2025-03-24,22.56,-0.01672194634313562
2025-03-25,23.75,-0.019087533497650355
2025-03-26,11.62,0.005453888842327004
2025-03-27,6.92,0.022789357894636764
2025-03-28,12.23,0.028698166091290167
2025-03-31,13.52,0.013196648190452187
2025-04-01,13.29,-0.04164170011310708
2025-04-02,18.75,0.025981940080620936
2025-04-03,18.16,0.020261936854847118
2025-04-04,18.8,-0.07552179866139452
2025-04-07,26.29,-0.04859469805352057
2025-04-08,26.52,-0.0533834775029407
2025-04-09,26.15,0.09649014171630088
2025-04-10,25.77,-0.07028527860627021
2025-04-11,26.14,-0.00846983378763011
2025-04-14,24.86,-0.05897794874472084
2025-04-15,18.76,0.0012022689982045254
2025-04-16,24.27,-0.024940470787886193
2025-04-17,23.52,-0.0006161717698969227
2025-04-21,16.37,-0.07318385399252603
2025-04-22,17.86,-0.0029885670391334163
2025-04-23,14.76,0.004975994608023004
2025-04-24,19.63,-0.03091644265256588
2025-04-25,19.24,0.002386218742472801
2025-04-28,17.22,0.07634294740120318
2025-04-29,13.89,0.06591764753217522
2025-04-30,19.65,-0.017878886173179787
2025-05-01,18.45,0.0449745491699487
2025-05-02,13.22,0.04248775731755883
2025-05-05,16.72,-0.022285089747890785
2025-05-06,3.43,-0.02481230756084951
2025-05-07,22.16,0.044614962511213996
2025-05-08,23.13,-0.00804109244170692
2025-05-09,23.76,0.0549752783874502
2025-05-12,23.99,-0.04005377980538771
2025-05-13,26.68,0.00027428107718496797
2025-05-14,26.54,-0.04343026475075962
2025-05-15,25.55,-0.03793863588996693
2025-05-16,21.28,-0.008363214072638625
2025-05-19,25.07,-0.06858595300935222
2025-05-20,20.04,0.09609839174955503
2025-05-21,26.05,-0.01736615080891557
2025-05-22,24.22,-0.03474145150021646
2025-05-23,23.13,0.024595163568929213
2025-05-27,24.27,0.019014206301223746
2025-05-28,11.89,-0.05878699579554714
2025-05-29,23.3,0.09462900317906153
2025-05-30,13.45,-0.02152473591313986
2025-06-02,25.02,0.06920558804462917
2025-06-03,24.61,0.007551243634389859
2025-06-04,20.44,-0.0016132844510954314
2025-06-05,25.46,-0.010550627740839369
2025-06-06,25.33,0.02868441525075749
2025-06-09,20.31,-0.04017252165737717
2025-06-10,15.74,-0.02846174214435271
2025-06-11,14.95,-0.007386403761404869
2025-06-12,9.98,-0.004286294983699701
2025-06-13,21.67,0.025167448577475993
2025-06-16,15.67,0.04558022339027423
2025-06-17,24.71,0.027110533718187835
2025-06-18,23.67,0.03520772032543351
2025-06-20,25.27,-0.036246999957546766
2025-06-23,25.37,-0.039501472940011384
2025-06-24,25.04,-0.04451322707984451
2025-06-25,15.77,-0.037740340945733086
2025-06-26,22.17,-0.04350468090405579
2025-06-27,24.2,0.13678434627363356
2025-06-30,21.65,-0.07870634104938357
2025-07-01,26.98,-0.011934395028530442
2025-07-02,28.11,0.021151000133805553
2025-07-03,17.06,-0.022909512329538417
2025-07-04,11.39,-0.006474371042894722
2025-07-07,21.69,0.007354013686354133
2025-07-08,20.93,-0.021327831009265497
2025-07-09,18.08,-0.038454518129627635
2025-07-10,23.08,0.03755590459981839
2025-07-11,23.31,-0.006916281562554083
2025-07-14,24.33,0.04484532820768661
2025-07-15,24.8,0.01631168549437856
2025-07-16,26.09,0.007916387362510768
2025-07-17,17.47,-0.0025377322860191676
2025-07-18,15.02,0.00647251493988743
2025-07-21,25.25,-0.06969438146809415
2025-07-22,24.32,-0.02219946802395789
2025-07-23,25.78,-0.0553151556984357
2025-07-24,27.39,0.005509720097229387
2025-07-25,14.07,0.0051579076362759935
2025-07-28,26.31,-0.04001845327611964
2025-07-29,27.38,0.030650009526951738
2025-07-30,25.11,-0.011753322493385454
2025-07-31,12.2,0.01983478131476657
2025-08-01,8.52,-0.007432576569423199
2025-08-04,21.87,-0.050218373609937084
2025-08-05,24.33,0.026255318239681857
2025-08-06,25.29,0.022014989133959828
2025-08-07,24.55,-0.0032552082013967976
2025-08-08,23.39,-0.025426465932852915
2025-08-11,22.86,-0.01211320777431979
2025-08-12,23.43,-0.050687665408517546
2025-08-13,21.43,0.007097254905273465
2025-08-14,23.0,0.004586358754812947
2025-08-15,21.91,0.026056645139359347
2025-08-18,24.39,-0.008956237785387122
2025-08-19,21.21,-0.04385429345811831
2025-08-20,23.71,-0.005074290933361647
2025-08-21,19.34,0.02653432145637935
2025-08-22,17.2,-0.04635153466947595
2025-08-25,24.39,-0.0007415109801025555
2025-08-26,21.02,0.007759103413548796
2025-08-27,20.19,0.05373788957394798
2025-08-28,23.28,0.026502979984079245
2025-08-29,21.73,0.01784257852365445
2025-09-02,22.57,0.003996037232074867
2025-09-03,22.57,0.01811339782969479
2025-09-04,24.88,0.003258390251098753
2025-09-05,23.05,-0.008493936908084976
2025-09-08,24.11,0.013685393394034628
2025-09-09,24.69,0.008699970696043557
2025-09-10,24.26,-0.028638487300671533
2025-09-11,20.82,-0.03186586160663607
2025-09-12,22.68,0.0023829694620904895
2025-09-15,20.91,0.034094210890086796
2025-09-16,22.0,0.019525496220120564
2025-09-17,22.03,-0.0009672807663532179
2025-09-18,21.04,-0.05333273028242336
2025-09-19,20.69,-0.01750512545177374
2025-09-22,19.13,-0.028804245352164415
2025-09-23,16.8,0.016611066517196793
2025-09-24,14.46,0.0017510473642357027
2025-09-25,20.26,0.015967018546477307
2025-09-26,20.78,-0.024047161433523367
2025-09-29,21.06,0.1418301697232196
2025-09-30,17.97,0.010959017965562978
2025-10-01,20.09,0.051051089381543235
2025-10-02,19.74,-0.009829555406839274
2025-10-03,18.36,-0.03488383088202118
2025-10-06,19.04,0.009878910103058525
2025-10-07,17.48,0.04114359835830017
2025-10-08,17.02,-0.04831856714825178
2025-10-09,19.49,-0.019388638650903012
2025-10-10,20.32,-0.05114843654699719
2025-10-13,19.72,0.003856072891024187
2025-10-14,19.63,-0.029289406423801845
2025-10-15,19.62,-0.003970913102651963
2025-10-16,15.57,-0.026202395479788088
2025-10-17,15.75,0.023546306429734765
2025-10-20,16.06,0.12161733922955231
2025-10-21,14.72,0.02241395015431058
2025-10-22,18.51,-0.006932416365854399
2025-10-23,15.02,-0.03120651941207342
2025-10-24,16.27,-0.012033899812634585
2025-10-27,17.22,0.04091884665899692
2025-10-28,14.86,-0.028585970165599495
2025-10-29,18.56,0.009224853131414301
2025-10-30,18.1,0.15854188115633971
2025-10-31,17.94,0.041590147308622205
2025-11-03,17.43,0.03385298803214987
2025-11-04,17.41,0.01788876685879326
2025-11-05,17.0,-0.02589067381063126
2025-11-06,13.66,0.029109053432703202
2025-11-07,16.27,-0.009686380446499943
2025-11-10,17.08,0.005316033278182086
2025-11-11,16.29,0.051005155507136024
2025-11-12,13.48,-0.007034556305900219
2025-11-13,13.97,0.024622644366872226
2025-11-14,14.17,-0.017369069876730814
2025-11-17,10.41,-0.04593614190946682
2025-11-18,12.81,0.0022903702611605237
2025-11-19,10.38,0.04013550176513947
2025-11-20,9.98,-0.016844416930491546
2025-11-21,9.8,0.023416123515910048
2025-11-24,8.04,-0.0067915998406020694
2025-11-25,14.13,-0.027863165694699488
2025-11-26,14.4,0.0298397341400074
2025-11-28,12.09,0.062094735213271024
2025-12-01,2.88,0.014533077373024783
2025-12-02,14.12,-0.016597010404064916
2025-12-03,5.15,0.03152263693445834
2025-12-04,2.31,0.013521843730989191
2025-12-05,5.39,0.043669965654691945
2025-12-08,14.01,-0.0739479712296982
2025-12-09,14.14,-0.07129315759868882
2025-12-10,13.73,0.00458064040079198
2025-12-11,13.98,-0.08253035103206918
2025-12-12,10.54,-0.02828569027156247
2025-12-15,14.11,-0.024862777826106797
2025-12-16,9.67,-0.031909561168026235
2025-12-17,5.77,0.03489614465909541
2025-12-18,10.08,-0.0292507422805528
2025-12-19,14.05,0.019260599355279018
2025-12-22,8.1,-0.0047804981438379635
2025-12-23,10.21,0.10591523668007996
2025-12-24,10.59,-0.0383861896970652
2025-12-26,9.22,0.028812417896506126
2025-12-29,7.64,0.07094537748520868
2025-12-30,14.37,-0.16552295891364222
2025-12-31,14.33,-0.0747278281481012
2026-01-02,13.39,-0.01862049333467941
2026-01-05,12.45,-0.02660849550753408
2026-01-06,8.32,-0.05035258253141506
2026-01-07,8.8,0.05092014594973748
2026-01-08,6.6,-0.034048305605694607
2026-01-09,7.37,-0.07241610529256937
2026-01-12,14.14,0.0730029172360458
2026-01-13,3.91,0.0029291147807923856
2026-01-14,14.54,-0.09151511929578748
2026-01-15,15.22,0.0025608642488839095
2026-01-16,14.58,-0.00802446789672695
2026-01-20,9.64,0.23040047117754314
2026-01-21,5.73,0.22135027177850164
2026-01-22,5.91,0.03427756447844654
2026-01-23,3.25,0.044581028513006826
2026-01-26,13.05,0.2539439427900414
2026-01-27,15.58,0.0223943928058028
2026-01-28,16.51,0.07023838629209678
2026-01-29,16.28,-0.6439741041882081
2026-01-30,11.89,0.10551366869862888
2026-02-02,15.12,-0.296448012430919
2026-02-03,8.64,0.022603319992062554
2026-02-04,16.5,0.045462316470335606
2026-02-05,17.45,0.012618506667420926
2026-02-06,17.46,-0.02510595913414404
2026-02-09,16.83,-0.08663949744660271
2026-02-10,10.11,-0.007356502656807651
2026-02-11,12.95,0.014026341160115363
2026-02-12,16.21,0.01819375416738933
2026-02-13,13.03,0.00804958610699713
2026-02-17,17.31,-0.06760627201166436
2026-02-18,12.21,-0.006620342463000695
2026-02-19,12.8,-0.004994139416778731
2026-02-20,13.23,0.01687939462440924
2026-02-23,20.68,-0.020557765767651004
2026-02-24,20.35,-0.02372990498477212
2026-02-25,16.68,0.01835542311393179
2026-02-26,12.46,-0.04900918552768463
2026-02-27,19.71,0.011255857696559568
2026-03-02,18.31,0.03471737922463736
2026-03-03,12.3,0.03126289309684149
2026-03-04,13.06,-0.04589646447238893
2026-03-05,16.8,0.029056086139906068
2026-03-06,15.79,0.059154449623977756
2026-03-09,13.03,-0.020933280470187166
2026-03-10,16.56,-0.03257614007055443
2026-03-11,9.72,0.06070257153040148
2026-03-12,23.29,0.00745111453105185
2026-03-13,23.09,-0.03205805538623663
2026-03-16,22.9,-0.03510273931800456
2026-03-17,23.3,0.003302509762716177
2026-03-18,22.85,0.010495361866183384
2026-03-19,22.97,0.03242133845970141
2026-03-20,23.05,-0.022681011136292062
2026-03-23,20.57,-0.06818544113054958
2026-03-24,14.46,0.01782702157327476
2026-03-25,17.26,0.003053377962763504
2026-03-26,18.5,0.01579605014861296
2026-03-27,22.05,0.03150899144589836
2026-03-30,22.13,-0.06956998563038397
2026-03-31,20.81,-0.0010396885027648128
2026-04-01,19.29,-0.022796027085637105
2026-04-02,13.46,-0.006762814010530027
2026-04-06,24.69,0.0039209304493608155
2026-04-07,25.89,0.020771659296024314
2026-04-08,22.2,-0.05221061001179561
2026-04-09,22.37,-0.020022878898179886
2026-04-10,17.35,-0.008273862191609527
2026-04-13,16.66,-0.007962092514922414
2026-04-14,19.93,-0.010715799427318706
2026-04-15,20.44,0.004223434288612271
2026-04-16,20.7,0.014076770205760702
2026-04-17,16.88,0.010148536605384173
2026-04-20,15.78,0.005593848903183485
2026-04-21,9.26,0.0029707172027906292
2026-04-22,18.45,0.00922680742705484
2026-04-23,19.56,-0.040485214907908795
2026-04-24,19.23,-0.03543297616279073
2026-04-27,19.16,0.01064467005593317
2026-04-28,23.66,0.00352322266960714
2026-04-29,13.13,0.03381038820674609
