date,a,b
2025-03-10,59.0,0.026833568664706542
2025-03-17,20.0,0.012440527010013858
2025-03-24,31.0,-0.009109038878428066
2025-03-31,21.0,0.0011606738806619887
2025-04-07,50.0,-0.002537291507863193
2025-04-14,24.0,-0.010398689407400186
2025-04-21,35.0,-0.0065722130798877565
2025-04-28,19.0,0.011193782084618631
2025-05-05,26.0,-0.011712604975216756
2025-05-12,33.0,0.00408596209005041
2025-05-19,41.0,-0.011429410863955658
2025-06-02,29.0,0.007429943876068323
2025-06-09,33.0,0.007503186344056223
2025-06-16,25.0,-0.0070620932276423964
2025-06-23,23.0,-0.05226259561822588
2025-06-30,23.0,-0.015837056464395483
2025-07-07,21.0,-0.003574217632108745
2025-07-14,26.0,-0.01240707821971232
2025-07-21,46.0,-0.02724987866988582
2025-07-28,27.0,0.022727365568163238
2025-08-04,34.0,-0.011937604769185928
2025-08-11,13.0,-0.00766116387766802
2025-08-18,23.0,-0.008169464845601215
2025-08-25,79.0,0.014775219953071295
2025-09-08,23.0,-0.009808556927534351
2025-09-15,24.0,-0.011399221513582969
2025-09-22,21.0,-0.004028410578834407
2025-09-29,20.0,-0.030436248033134827
2025-10-06,21.0,0.0036019847842994057
2025-10-13,22.0,0.010652830973401528
2025-10-20,36.0,0.00331682215136353
2025-10-27,19.0,-0.012585315868732572
2025-11-03,17.0,0.004726800768089179
2025-11-10,19.0,-0.0006879883754806748
2025-11-17,54.0,-0.010003759780918164
2025-11-24,46.0,-0.006244966179334677
2025-12-01,16.0,0.012454056041019124
2025-12-08,27.0,-0.015897299334582504
2025-12-15,37.0,-0.012631374972744025
2025-12-22,23.0,-0.008682521298746027
2025-12-29,20.0,0.01550237973527091
2026-01-05,27.0,-0.018023996485391658
2026-01-12,15.0,-0.0005493794087916282
2026-01-26,39.0,-0.008250409339953357
2026-02-02,27.0,-0.037425700645673965
2026-02-09,143.0,-0.0042639175796319595
2026-02-23,362.0,-0.0054657148581553905
2026-03-02,31.0,0.03671885688899135
2026-03-09,41.0,-0.02289597825012346
2026-03-16,40.0,-0.013227550720935621
2026-03-23,33.0,-0.023229905495969705
2026-03-30,38.0,-0.011102811925202127
2026-04-06,43.0,0.002795985514320032
2026-04-13,80.0,-0.008360604026592222
2026-04-20,60.0,0.010854583707532006
2026-04-27,44.0,0.006752004058319994
2026-05-04,32.0,0.027938779028990668
2026-05-11,37.0,0.01869515683958345
2026-05-18,33.0,0.0125780120977812
2026-06-01,172.0,0.020664922820619935
2026-06-08,26.0,0.012093464695019929
2026-06-15,43.0,-0.06061333338569508
2026-06-22,37.0,0.013143547150456403
2026-06-29,35.0,-0.011889705910143267
2026-07-06,40.0,-0.013096504329858094
2026-07-13,36.0,0.04858579277130404
2026-07-20,27.0,0.0007926893831196047
2026-07-27,52.0,-0.029187197377724683
2026-08-03,38.0,-0.03188636912937315
2026-08-10,28.0,0.05598911628605174
2026-08-17,36.0,0.020460098775427316
2026-08-24,31.0,-0.014621117956842511
2026-08-31,680.0,0.019105332215390014
2026-09-14,31.0,-0.007090999702902057
