date,a,b
2025-03-03,23.0,0.03764497097920205
2025-03-04,28.1,0.03450047966258052
2025-03-05,24.4,0.013682236928783453
2025-03-06,15.6,0.003931372839154568
2025-03-07,25.8,0.006787581763785244
2025-03-10,17.3,0.0003889379017908423
2025-03-11,11.5,0.003501902054602879
2025-03-12,22.2,0.01145382314779897
2025-03-13,15.2,0.011452829753362703
2025-03-14,25.2,0.002473346031776291
2025-03-17,17.5,0.014354771537807398
2025-03-18,26.3,0.01711053355996095
2025-03-19,24.5,0.012696350802749112
2025-03-20,24.4,0.005816266791545344
2025-03-21,16.0,0.0018200649113504497
2025-03-24,13.7,0.0006512510100651347
2025-03-25,10.4,0.023428387464000444
2025-03-26,13.5,0.021458091917173405
2025-03-27,16.8,0.017484394284404736
2025-03-28,19.1,0.007566093124984352
2025-03-31,13.1,0.009820417912189905
2025-04-01,23.5,0.018426036902057907
2025-04-02,32.0,0.00301552335980948
2025-04-03,29.7,0.00037578327206300166
2025-04-04,29.2,0.08502380244969865
2025-04-07,20.2,0.01409605561240801
2025-04-08,11.4,0.049555797466053986
2025-04-09,11.7,0.029648002674243612
2025-04-10,13.7,0.00751771318151595
2025-04-11,15.5,0.02901241594799675
2025-04-14,19.1,0.005694495307074554
2025-04-15,15.4,0.009805262374875223
2025-04-16,18.3,0.013402566886321354
2025-04-17,22.4,0.010796262729171335
2025-04-21,18.4,0.0030707039099271416
2025-04-22,12.6,0.0054572564501287335
2025-04-23,18.7,0.004633286601524844
2025-04-24,17.9,0.01857957139872779
2025-04-25,12.8,0.01513581012619003
2025-04-28,20.5,0.01491013318140011
2025-04-29,21.4,0.001883494814521658
2025-04-30,28.6,0.017796693227872584
2025-05-01,19.1,0.01594998030103456
2025-05-02,16.0,0.012308411124503982
2025-05-05,22.1,0.003970219613924186
2025-05-06,19.7,0.013099421798987043
2025-05-07,15.1,0.015735555778289
2025-05-08,9.8,0.007807624666704482
2025-05-09,17.3,0.013403885530935744
2025-05-12,14.6,0.024026157499728695
2025-05-13,19.8,0.03957819636736315
2025-05-14,20.4,0.02006157607300907
2025-05-15,21.5,0.00302433561170945
2025-05-16,20.7,0.017975128864919032
2025-05-19,25.7,0.0021645300073878104
2025-05-20,20.2,0.0037675744360310404
2025-05-21,13.4,0.01626478997904357
2025-05-22,17.1,0.004924396413270915
2025-05-23,16.4,0.00022499461969383017
2025-05-27,18.8,0.029812144719032485
2025-05-28,16.3,0.00010926519696785597
2025-05-29,9.2,0.015514019314796457
2025-05-30,14.5,0.006658511486594909
2025-06-02,16.4,0.024914586694305463
2025-06-03,20.9,0.006991518956053988
2025-06-04,18.0,0.007474029935952586
2025-06-05,11.7,0.00709376345479118
2025-06-06,13.0,0.0015171152091502105
2025-06-09,20.1,0.007705655406726963
2025-06-10,15.3,0.0077544559239147715
2025-06-11,14.9,0.033756655845728734
2025-06-12,19.9,0.014804662582329042
2025-06-13,13.7,0.06501117291998382
2025-06-16,16.0,0.008105649515862234
2025-06-17,13.4,0.017272240719292675
2025-06-18,16.3,0.021174919274561388
2025-06-20,14.1,0.0004984852255489614
2025-06-23,15.6,0.03816263260025976
2025-06-24,15.2,0.019165010851713293
2025-06-25,15.5,0.034642995022440504
2025-06-26,12.1,0.007768042370017159
2025-06-27,11.0,0.0033079216483327123
2025-06-30,12.6,0.011100144630651121
2025-07-01,9.4,0.005326063736625253
2025-07-02,11.6,0.014704299294662437
2025-07-03,11.0,0.008524273465794652
2025-07-07,18.9,0.005705239374768523
2025-07-08,9.6,0.020275241681643852
2025-07-09,17.8,0.016783332035843923
2025-07-10,12.2,0.030278459379944667
2025-07-11,15.6,0.025898033335577386
2025-07-14,10.5,0.008448638229930694
2025-07-15,14.2,0.015501509901059918
2025-07-16,12.7,0.03441087590459835
2025-07-17,11.7,0.008747273995043492
2025-07-18,9.1,0.00915128368572149
2025-07-21,14.0,0.01770484117754767
2025-07-22,14.2,0.008022896736700202
2025-07-23,15.7,0.021696443930272702
2025-07-24,13.7,0.002240946393387122
