date,value
2025-03-03,399.0
2025-03-10,541.0
2025-03-17,588.0
2025-03-24,434.0
2025-03-31,564.0
2025-04-07,477.0
2025-04-14,481.0
2025-04-21,521.0
2025-04-28,463.0
2025-05-05,442.0
2025-05-12,457.0
2025-05-19,485.0
2025-05-26,476.0
2025-06-02,442.0
2025-06-09,435.0
2025-06-16,446.0
2025-06-23,403.0
2025-06-30,486.0
2025-07-07,393.0
2025-07-14,502.0
2025-07-21,730.0
2025-07-28,409.0
2025-08-04,462.0
2025-08-11,445.0
2025-08-18,516.0
2025-08-25,497.0
2025-09-01,515.0
2025-09-08,509.0
2025-09-15,449.0
2025-09-22,599.0
2025-09-29,485.0
2025-10-06,491.0
2025-10-13,490.0
2025-10-20,552.0
2025-10-27,485.0
2025-11-03,487.0
2025-11-10,429.0
2025-11-17,496.0
2025-11-24,777.0
2025-12-01,436.0
2025-12-08,420.0
2025-12-15,485.0
2025-12-22,351.0
2025-12-29,427.0
2026-01-05,493.0
2026-01-12,496.0
2026-01-19,436.0
2026-01-26,453.0
2026-02-02,476.0
2026-02-09,499.0
2026-02-16,406.0
2026-02-23,411.0
2026-03-02,532.0
2026-03-09,443.0
2026-03-16,437.0
2026-03-23,558.0
2026-03-30,635.0
2026-04-06,612.0
2026-04-13,485.0
2026-04-20,479.0
2026-04-27,390.0
2026-05-04,474.0
2026-05-11,492.0
2026-05-18,461.0
2026-05-25,506.0
2026-06-01,508.0
2026-06-08,462.0
2026-06-15,468.0
2026-06-22,518.0
2026-06-29,493.0
2026-07-06,508.0
2026-07-13,779.0
2026-07-20,542.0
2026-07-27,512.0
2026-08-03,443.0
2026-08-10,486.0
2026-08-17,509.0
2026-08-24,443.0
2026-08-31,629.0
2026-09-07,524.0
2026-09-14,501.0
