i,j
92,273
111,268
111,270
122,268
124,267
125,267
128,268
128,269
131,267
131,268
131,269
132,267
133,267
133,268
133,270
134,270
135,271
136,271
138,272
138,304
139,273
140,273
140,496
140,500
141,273
141,274
142,271
142,273
142,274
143,271
143,272
145,273
150,272
151,528
153,530
154,272
157,274
169,278
170,274
170,275
174,275
179,274
204,738
210,717
214,488
222,542
238,266
238,440
239,440
239,450
241,459
241,701
241,703
242,459
242,700
242,703
243,702
244,700
245,696
246,642
246,700
247,642
251,645
252,645
252,648
252,717
253,644
254,641
254,642
254,645
254,649
256,700
257,703
258,408
258,651
258,702
259,408
259,701
259,702
259,706
260,699
260,700
260,701
260,702
260,715
261,647
261,700
261,701
261,752
261,753
262,701
262,705
262,707
262,708
262,709
262,715
262,717
262,718
262,751
262,752
262,753
263,711
263,714
263,715
263,716
263,717
264,638
264,700
264,710
264,715
264,716
264,717
264,718
265,639
265,712
265,714
265,715
266,701
266,712
266,713
266,715
266,752
267,700
267,701
267,712
267,713
267,714
267,715
268,646
268,712
268,714
269,640
269,646
269,709
269,713
270,697
270,698
270,704
270,706
270,707
270,711
270,712
271,635
271,696
271,698
271,699
271,704
271,706
271,711
272,697
272,702
272,710
273,632
273,633
273,696
273,704
273,706
273,708
274,632
274,701
274,703
274,706
274,707
274,708
274,709
274,710
275,635
275,638
275,700
275,701
275,702
275,704
275,705
275,706
275,708
275,710
275,711
275,712
276,665
276,701
276,704
276,708
276,710
276,711
277,643
277,644
277,702
277,704
277,705
277,710
277,711
278,639
278,648
278,653
278,654
278,703
278,706
278,714
278,715
279,633
279,705
280,658
280,659
280,660
280,667
281,639
281,665
281,671
281,736
282,639
282,640
283,631
283,632
283,644
283,650
283,733
284,666
284,668
285,657
287,618
287,632
287,637
287,660
287,682
288,621
288,637
288,640
288,641
288,657
288,664
288,668
289,662
289,663
289,665
289,685
290,663
290,664
290,666
290,679
291,632
291,679
291,682
292,627
292,639
292,640
292,641
292,645
292,653
293,644
293,645
293,646
294,663
295,633
295,638
296,637
296,642
296,643
297,643
297,644
297,647
298,629
299,629
299,636
300,617
300,618
300,629
301,617
301,618
301,629
301,645
302,640
302,642
303,633
303,636
303,753
304,633
304,636
305,635
305,636
306,635
306,636
308,561
309,632
309,633
310,628
310,629
310,633
320,596
324,518
324,713
325,561
325,741
326,561
329,684
333,642
338,683
344,692
345,717
