gww_id,name,reservoir,country,iso3,lat,lon,capacity_mw,latest_month,area_km2,area_anomaly,area_anomaly_3mo,precip_12mo_anomaly,pred_gen_anomaly,pred_gen_anomaly_lo,pred_gen_anomaly_hi,pred_gen_anomaly_3mo,has_generation_truth,confidence,match_method
86927,Stillwater Reservoir Hydro,,USA,USA,43.897386,-75.04,1.8,2025-10,18.15,-0.038,0.029,-0.025,-0.144,-0.569,0.31,-0.113,True,carry-over storage (validated class),gww_polygon
88729,Rapide-Blanc,,Canada,CAN,47.7964,-72.9735,280.0,2025-12,80.5,0.314,0.137,0.117,0.048,-0.204,0.344,-0.016,False,short residence time (weak area signal),hydrolakes_pour
82159,AMBUKLAO,,Philippines,PHL,16.4588,120.7452,105.0,2026-02,5.44,0.035,0.045,0.246,0.166,-0.453,0.969,0.264,False,short residence time (weak area signal),hydrolakes_pour
84268,SAN ROQUE,,Philippines,PHL,16.1462,120.6837,411.0,2026-02,10.01,-0.082,-0.022,0.235,0.172,-0.403,0.667,0.173,False,unknown residence time,gww_polygon
90403,Kureyskaya HPP,Kureiskaya,Russia,RUS,66.9441,88.3384,600.0,2026-02,540.46,0.054,-0.004,0.039,0.123,-0.274,0.545,0.083,False,carry-over storage (validated class),hydrolakes_pour
86290,Dong Feng,,China,CHN,26.86,106.15,695.0,2026-03,15.39,0.065,0.086,0.282,0.063,-0.392,0.575,0.103,False,short residence time (weak area signal),hydrolakes_pour
84419,Hunan Taoshui Hydro,洮水水库,China,CHN,26.706,113.6749,69.0,2026-03,9.55,-0.101,-0.024,-0.053,-0.105,-0.631,0.418,-0.134,False,unknown residence time,gww_polygon
81563,Kotmale,,Sri Lanka,LKA,7.0611,80.5971,351.0,2026-03,3.12,-0.298,-0.249,0.441,0.096,-0.681,0.778,0.241,False,short residence time (weak area signal),hydrolakes_pour
74795,Nacaome,,Honduras,HND,13.6869,-87.3605,30.0,2026-03,1.03,-0.177,-0.116,0.137,0.219,-0.524,0.862,0.155,False,short residence time (weak area signal),gww_polygon
90239,Vajiralongkorn,,Thailand,THA,14.799,98.5966,300.0,2026-03,241.84,-0.093,-0.018,0.189,0.233,-0.415,0.9,0.242,False,carry-over storage (validated class),hydrolakes_pour
83779,Wuluwati Dam,,China,CHN,36.8246,79.4522,60.0,2026-03,7.86,0.088,0.065,0.258,-0.171,-0.575,0.456,-0.126,False,unknown residence time,gww_polygon
90173,Bayano Hydroelectric Power Plant Panama,,Panama,PAN,9.1771,-78.8844,260.0,2026-03,247.17,-0.015,0.016,0.012,0.073,-0.473,0.69,0.015,False,carry-over storage (validated class),hydrolakes_pour
82323,Hpp vidraru CORB12 - Vidraru Hydroelectric Power Station Romania,,Romania,ROU,45.3667,24.6307,220.0,2026-03,1.65,-0.717,-0.433,0.161,-0.278,-0.893,0.211,-0.246,False,short residence time (weak area signal),hydrolakes_pour
88746,Tangkeng,滩坑水库,China,CHN,28.1178,120.0339,600.0,2026-03,51.21,-0.079,-0.068,-0.083,-0.205,-0.555,0.103,-0.209,False,unknown residence time,gww_polygon
82751,Nam Ngum 5,ເຂື່ອນນ້ຳງື່ມ 5,Laos,LAO,19.356095,102.621196,120.0,2026-03,4.84,0.26,0.319,0.208,0.45,-0.363,0.888,0.531,False,unknown residence time,gww_polygon
84795,Nam Leuk,,Laos,LAO,18.437406,102.94675,60.0,2026-03,9.51,-0.01,0.015,0.271,0.182,-0.482,0.76,0.244,False,carry-over storage (validated class),hydrolakes_pour
79492,Copco 2,Copco Lake,USA,USA,41.975716,-122.358127,49.1,2026-03,0.34,-0.901,-0.892,-0.17,-0.615,-0.953,-0.252,-0.584,True,short residence time (weak area signal),hydrolakes_pour
76476,Dragan remeti Dragan (Remeti) Hydroelectric Power Station Romania - Dragan (Remeti) Hydroelectric Power Station Romania,,Romania,ROU,46.7889,22.7156,144.1,2026-03,2.0,-0.149,0.016,-0.077,-0.058,-0.557,0.417,-0.016,False,short residence time (weak area signal),hydrolakes_pour
83494,UMIAM I II &IV,Umiam,India,IND,25.6593,91.9003,96.0,2026-03,8.94,0.225,0.192,0.047,0.222,-0.484,1.072,0.126,False,short residence time (weak area signal),hydrolakes_pour
89219,Nam Ngum 2,ເຂື່ອນນ້ຳງື່ມ 2,Laos,LAO,18.755374,102.776476,615.0,2026-03,92.29,0.089,0.183,0.261,0.2,-0.235,0.695,0.237,False,unknown residence time,gww_polygon
65228,Nam Ngiep 3A,Nam Ngiep 2 Reservoir,Laos,LAO,19.243546,103.283913,44.0,2026-03,1.2,0.453,0.539,0.271,0.343,-0.703,1.32,0.398,False,unknown residence time,gww_polygon
87382,Hunan Guiyang County Datan,,China,CHN,26.1019,112.6917,30.0,2026-03,15.57,-0.101,-0.032,0.013,-0.118,-0.598,0.4,-0.052,False,short residence time (weak area signal),hydrolakes_pour
79700,Porce III,Porce III,Colombia,COL,6.9394,-75.1398,660.0,2026-03,3.2,0.228,0.182,0.111,0.338,-0.37,0.937,0.361,False,unknown residence time,gww_polygon
90321,Nam Ngum 1,,Laos,LAO,18.531068,102.547577,155.0,2026-04,387.61,-0.047,-0.002,0.264,0.19,-0.416,0.801,0.206,False,carry-over storage (validated class),hydrolakes_pour
88132,Nam Lik 1-2,Nam Lik Reservoir,Laos,LAO,18.7942,102.1162,100.0,2026-04,36.0,0.074,0.023,0.291,0.104,-0.516,0.737,0.16,False,unknown residence time,gww_polygon
83545,Chixoy,,Guatemala,GTM,15.28,-90.491,300.0,2026-05,5.95,0.001,0.054,0.169,0.252,-0.346,0.772,0.269,False,short residence time (weak area signal),hydrolakes_pour
86085,Yumaguzinskaya HPP,Нугушское водохранилище,Russia,RUS,53.05,56.442,45.0,2026-05,22.37,0.001,0.012,0.038,-0.029,-0.46,0.589,-0.007,False,carry-over storage (validated class),gww_polygon
