iso3,onset,end,hydro_share,ember_hit,ember_scorable,summary,n_event_years,n_news_spikes,event_years_missed,news_spikes_missed,news_scorable,news_hit,news_lead_months
AFG,2011-08-01,2012-03-01,0.815461494801532,False,True,,,,,,,,
AFG,2018-02-01,2019-03-01,0.815461494801532,False,True,,,,,,,,
AFG,2021-05-01,2021-10-01,0.815461494801532,True,True,,,,,,,,
AFG,,,,,,True,4.0,0.0,2.0,0.0,,,
AGO,,,,,,True,0.0,0.0,0.0,0.0,,,
AUT,,,,,,True,0.0,0.0,0.0,0.0,,,
BRA,2012-11-01,2013-05-01,0.6218704635256181,False,True,,,,,,,,
BRA,2014-05-01,2015-08-01,0.6218704635256181,False,True,,,,,,,,
BRA,,,,,,True,0.0,3.0,0.0,3.0,,,
BTN,2026-05-01,,1.0,False,False,,,,,,,,
BTN,,,,,,True,0.0,0.0,0.0,0.0,,,
CAN,2019-03-01,2019-05-01,0.5831259634671099,False,True,,,,,,,,
CAN,,,,,,True,0.0,0.0,0.0,0.0,,,
CHE,,,,,,True,1.0,0.0,1.0,0.0,,,
CMR,2013-06-01,2013-10-01,0.6166164985551594,False,True,,,,,,,,
CMR,,,,,,True,0.0,0.0,0.0,0.0,,,
COD,2016-12-01,2017-03-01,0.9590437136808201,False,True,,,,,,,,
COD,2024-11-01,2026-03-01,0.9590437136808201,False,True,,,,,,,,
COD,,,,,,True,0.0,0.0,0.0,0.0,,,
COL,2019-12-01,2020-02-01,0.6797725924347763,False,True,,,,,,True,False,
COL,,,,,,True,0.0,5.0,0.0,5.0,,,
ECU,,,,,,True,0.0,2.0,0.0,2.0,,,
ETH,,,,,,True,0.0,0.0,0.0,0.0,,,
GEO,2020-10-01,2021-05-01,0.7782286319352925,False,True,,,,,,,,
GEO,2022-09-01,2023-03-01,0.7782286319352925,False,True,,,,,,,,
GEO,2024-09-01,2025-02-01,0.7782286319352925,False,True,,,,,,,,
GEO,,,,,,True,0.0,0.0,0.0,0.0,,,
GHA,2016-03-01,2017-01-01,0.4002898173290858,True,True,,,,,,,,
GHA,2022-01-01,2023-05-01,0.4002898173290858,False,True,,,,,,True,True,6.0
GHA,,,,,,True,3.0,8.0,1.0,6.0,,,
GIN,2014-12-01,2015-04-01,0.6855671809569798,False,True,,,,,,,,
GIN,2016-04-01,2016-11-01,0.6855671809569798,False,True,,,,,,,,
GIN,2021-07-01,2021-11-01,0.6855671809569798,False,True,,,,,,,,
GIN,2023-05-01,2023-07-01,0.6855671809569798,False,True,,,,,,,,
GIN,2026-05-01,,0.6855671809569798,False,False,,,,,,,,
GIN,,,,,,True,1.0,0.0,1.0,0.0,,,
GTM,2017-01-01,2017-04-01,0.41150256558378906,False,True,,,,,,,,
GTM,2023-06-01,2023-08-01,0.41150256558378906,False,True,,,,,,,,
GTM,2025-09-01,2025-11-01,0.41150256558378906,False,False,,,,,,,,
GTM,,,,,,True,0.0,0.0,0.0,0.0,,,
HRV,2017-02-01,2017-05-01,0.4831679734820761,True,True,,,,,,,,
HRV,2020-06-01,2020-10-01,0.4831679734820761,False,True,,,,,,,,
HRV,,,,,,True,4.0,0.0,3.0,0.0,,,
ISL,2022-07-01,2022-09-01,0.7066279118857861,False,True,,,,,,,,
ISL,,,,,,True,0.0,0.0,0.0,0.0,,,
KGZ,,,,,,True,1.0,3.0,1.0,3.0,,,
KHM,2024-08-01,2024-11-01,0.4861633054142064,False,True,,,,,,,,
KHM,,,,,,True,1.0,0.0,1.0,0.0,,,
LAO,2019-10-01,2020-01-01,0.716162465882086,False,True,,,,,,,,
LAO,,,,,,True,0.0,0.0,0.0,0.0,,,
LSO,2013-01-01,2014-06-01,1.0,False,True,,,,,,,,
LSO,2015-11-01,2016-12-01,1.0,False,True,,,,,,,,
LSO,2018-02-01,2019-06-01,1.0,True,True,,,,,,,,
LSO,2020-06-01,2021-02-01,1.0,False,True,,,,,,,,
LSO,,,,,,True,5.0,0.0,4.0,0.0,,,
LVA,2022-08-01,2022-11-01,0.4510331285687721,False,True,,,,,,,,
LVA,,,,,,True,3.0,0.0,3.0,0.0,,,
MMR,,,,,,True,1.0,0.0,1.0,0.0,,,
MNE,,,,,,True,5.0,0.0,5.0,0.0,,,
MOZ,,,,,,True,0.0,5.0,0.0,5.0,,,
MWI,2022-03-01,2023-05-01,0.9112478818661768,False,True,,,,,,True,True,6.0
MWI,,,,,,True,1.0,7.0,1.0,5.0,,,
NAM,,,,,,True,5.0,0.0,5.0,0.0,,,
NOR,,,,,,True,0.0,0.0,0.0,0.0,,,
NPL,2022-05-01,2022-11-01,0.9873071703487768,False,True,,,,,,,,
NPL,2025-10-01,2026-01-01,0.9873071703487768,False,False,,,,,,,,
NPL,,,,,,True,0.0,0.0,0.0,0.0,,,
NZL,2015-09-01,2015-11-01,0.578910498503788,False,True,,,,,,,,
NZL,2023-08-01,2023-10-01,0.578910498503788,False,True,,,,,,,,
NZL,,,,,,True,0.0,0.0,0.0,0.0,,,
PAN,2025-03-01,2025-07-01,0.6106847559844346,False,False,,,,,,,,
PAN,,,,,,True,2.0,0.0,2.0,0.0,,,
PER,2014-02-01,2014-05-01,0.5273114651522263,False,True,,,,,,,,
PER,2016-04-01,2016-06-01,0.5273114651522263,False,True,,,,,,,,
PER,,,,,,True,0.0,0.0,0.0,0.0,,,
PRK,2013-02-01,2013-04-01,0.5482858513437242,False,True,,,,,,,,
PRK,2014-04-01,2015-09-01,0.5482858513437242,True,True,,,,,,,,
PRK,,,,,,True,1.0,0.0,0.0,0.0,,,
SDN,,,,,,True,0.0,0.0,0.0,0.0,,,
SLE,2024-06-01,2024-11-01,0.7801152774582726,False,True,,,,,,,,
SLE,,,,,,True,0.0,0.0,0.0,0.0,,,
SWE,,,,,,True,0.0,0.0,0.0,0.0,,,
TJK,2011-06-01,2011-08-01,0.9353299608211374,False,True,,,,,,,,
TJK,2020-08-01,2020-10-01,0.9353299608211374,False,True,,,,,,,,
TJK,2024-04-01,2024-07-01,0.9353299608211374,False,True,,,,,,,,
TJK,,,,,,True,0.0,0.0,0.0,0.0,,,
UGA,,,,,,True,0.0,0.0,0.0,0.0,,,
URY,2018-01-01,2018-08-01,0.4370351886246229,True,True,,,,,,,,
URY,2020-02-01,2021-04-01,0.4370351886246229,True,True,,,,,,,,
URY,2023-03-01,2023-09-01,0.4370351886246229,True,True,,,,,,,,
URY,,,,,,True,7.0,0.0,2.0,0.0,,,
VEN,2014-11-01,2015-06-01,0.6810615381795828,True,True,,,,,,,,
VEN,2022-12-01,2023-02-01,0.6810615381795828,False,True,,,,,,True,False,
VEN,,,,,,True,5.0,3.0,4.0,3.0,,,
ZMB,2014-02-01,2014-04-01,0.8819750477215405,False,True,,,,,,,,
ZMB,2017-12-01,2018-05-01,0.8819750477215405,False,True,,,,,,True,False,
ZMB,2019-08-01,2020-04-01,0.8819750477215405,False,True,,,,,,True,True,1.0
ZMB,,,,,,True,0.0,6.0,0.0,5.0,,,
ZWE,,,,,,True,2.0,3.0,2.0,3.0,,,
