case,reservoir,hydrological,event_start,area_anom_t-6,area_anom_t-3,area_anom_t0,z_t-3,z_t0,pred_gen_anom_t-3,pred_gen_anom_t0,pred_climate_only_t0,first_alert_month,alert_lead_months,valid_area_months_in_prior_year
Zambia/Zimbabwe 2015-16,Kariba,yes,2015-07,,,,,,,,,,,5
Zambia/Zimbabwe 2015-16,Itezhi-Tezhi,yes,2015-07,-0.07047155566560663,-0.030874014760898773,-0.02929800880969112,-1.2224777071581172,-1.590724282757048,-0.2562141144222183,-0.15922662451937203,-0.11416951744376233,2014-01-01,18.0,13
Zambia/Zimbabwe 2019,Kariba,yes,2019-06,0.11942592467928234,0.16982856231982343,,,,0.05013891629300894,,,,,11
Zambia/Zimbabwe 2019,Itezhi-Tezhi,yes,2019-06,0.07387096757792216,0.06661759279118032,-0.04638427934145397,0.4410372563468732,-1.7403120048625746,-0.002023042330200409,-0.02153945178848549,-0.0515998370579452,2019-07-01,-1.0,13
Zambia/Zimbabwe 2022-23,Kariba,yes,2022-12,0.035363796436268115,-0.05466911335041239,-0.05585711618202704,,-2.073039663215885,0.07046428506219769,-0.10677062847408753,-0.0637651150917159,2022-12-01,0.0,12
Zambia 2024,Kariba,yes,2024-03,-0.03493870245091716,-0.010318826363363596,0.08221567353530088,-0.8308381701621045,0.47456819100845105,-0.0774764635528806,-0.14275605129385427,-0.17339337942533944,2022-12-01,15.0,13
Zambia 2024,Itezhi-Tezhi,yes,2024-03,0.007119637646410409,-0.024349006593012232,-0.22004674935362906,-0.6731403721699583,-2.774894178564797,-0.021839972631943334,-0.17485776406041345,-0.17632487636715627,2024-04-01,-1.0,13
Venezuela 2016,Guri,yes,2016-02,-0.09599383055693061,-0.15692238371720404,-0.23063595915444352,-1.7583201872003262,-2.49341233539132,-0.3420597507761876,-0.3298109533216644,-0.19246592917027486,2014-11-01,15.0,13
Venezuela 2019,Guri,no,2019-03,0.13881685532565113,0.06477726261588207,0.07561057462915227,0.4175850380758703,0.7833775418784715,0.07227044850841946,-0.09035378978560754,-0.21222700378452242,,,13
Ghana dumsor,Volta/Akosombo,partly,2014-06,0.12595900118266176,0.11850286680642806,,0.06646619249364778,,0.2924354460526431,,,,,10
Kyrgyzstan 2021,Toktogul,yes,2021-06,-0.012391098130000831,-0.06629852906211116,-0.05180978209920086,-1.2203673069726628,-0.8208585583676705,0.045584719696348606,-0.0041673488572062534,0.11749838107910167,,,13
Kyrgyzstan 2023,Toktogul,yes,2023-08,-0.07744908375449698,-0.12452954045189407,-0.08339236887236595,-1.8101837854557399,-1.6162934203340449,-0.1944979572500939,-0.2841882201392283,-0.10157891064472716,,,13
Yunnan 2021,Nuozhadu,yes,2021-05,0.05413586661503902,0.21723014872013768,0.13595290363294968,0.7899192100342584,0.8516773652909393,-0.038282060751211974,0.0478449789832564,-0.03552028859279151,,,13
