gww_id,name,reservoir_name,country,truth,lat,lon,n_plants,capacity_mw,match_method,gww_poly_km2,res_time_days,depth_avg_m,vol_mcm,dis_avg_m3s,elevation_m,wshd_km2,head_m,dam_height_m,glo_plant_type,ons_tipo,ba,state,n_area_months,area_mean,area_sd,area_p05,area_p95,area_cv,area_range_rel,pass_size,pass_months,pass_cv,storage_dam
43152,Vinodol Hydroelectric Power System Croatia Croatia,,Croatia,none,45.2286,14.6736,1,90.0,gww_polygon,0.5008280123047938,,,,,,,648.0,,STO,,,,245,0.3449022041025318,0.022929958853680037,0.2945173537475586,0.37109484107513435,0.06648249440256829,0.22202666847791713,False,True,True,False
43466,ValentÃ­n GÃ³mez FarÃ­as (Agua Prieta),Presa Colimilla,Mexico,none,20.7008,-103.245,1,240.0,gww_polygon,0.5029080537501687,,,,,,,518.0,,,,,,252,0.15128170457484844,0.04283310306646301,0.06508723760777105,0.2088592023724132,0.28313472000357337,0.9503592332509002,False,True,True,False
43551,North Platte,,USA,eia923,41.0864,-100.7594,1,26.2,gww_polygon,0.5066786780281234,,,,,,,,,,,SWPP,NE,270,0.2609074485420596,0.02382923650863207,0.2289032700846672,0.2836135703312653,0.09133214341632978,0.20969236620999912,False,True,True,False
43624,Bypass,,USA,eia923,42.560876,-114.057461,2,18.599999999999998,gww_polygon,0.5081632394158964,,,,,,,11.763232258064516,,Canal,,IPCO,ID,247,0.1418730571013369,0.034598573019582295,0.10054741911107651,0.193456090673315,0.24386993363277756,0.6548718513612899,False,True,True,False
43941,Tiger Creek,Tiger Creek Reservoir,USA,eia923,38.449291,-120.492645,1,52.2,gww_polygon,0.5137788340489731,,,,,,,371.5512,,STO,,CISO,CA,297,0.2149737256565681,0.046469087787504824,0.16229471680927948,0.29584632869159777,0.21616170834635692,0.6212462079932226,False,True,True,False
44126,Saxon Falls,,USA,eia923,46.5392,-90.3742,1,1.6,gww_polygon,0.5186040545110743,,,,,,,,,,,MISO,,210,0.16302351199921422,0.046408032164779185,0.12702054974632263,0.28814491613059245,0.2846707913212106,0.9883504802978754,False,True,True,False
44266,ERISTE 1,,Spain,none,42.5899,0.4927,1,80.0,gww_polygon,0.5210150352429606,,,,,,,,,STO,,,,190,0.3224913298686858,0.015767591252807647,0.3011732675767899,0.3511543560539118,0.048893070270224014,0.1549842859263024,False,True,True,False
44274,BASPA,Baspa Reservoir,India,none,31.4306,78.241,1,300.0,gww_polygon,0.519981978977379,,,,,,,702.0,19.73,ROR,,,,180,0.22478369398429304,0.030905378697837767,0.1777294254589717,0.27224014661938684,0.13748941549113125,0.42045185522673706,False,True,True,False
44330,Okuniikappu,Poroshiriko,Japan,none,42.6741,142.6779,1,44.0,hydrolakes_pour,0.5224956146686647,57.3,27.7,6.7,1.353,721.0,52.4,,61.0,,,,,125,0.2839418970476643,0.043788141574010085,0.21013092501453728,0.3710273158214731,0.15421514763867175,0.5666525175744905,False,True,True,False
44362,Obervermuntwerk,Vermunt-Stausee,Austria,none,46.9271,10.0539,1,30.0,gww_polygon,0.5234785454215594,,,,,,,291.0,,STO,,,,120,0.273779026325426,0.08240595779004525,0.05382672403362662,0.35475077497310287,0.3009944147149309,1.099149394233671,False,True,True,False
44435,Tomura,Tomura,Japan,none,43.4331,142.884,1,40.0,hydrolakes_pour,0.5246333750986538,6.7,10.0,2.9,5.035,525.0,193.6,140.5,37.0,STO,,,,109,0.2769604601531738,0.06107007919132875,0.20101676942749017,0.38761672256405366,0.22050107498216084,0.6737422122759467,False,False,True,False
45046,Whiting,,USA,eia923,44.4889,-89.5756,1,5.1,gww_polygon,0.5359611253382364,,,,,,,6.7056,,ROR,,MISO,WI,214,0.22432829269415439,0.026119141980587388,0.19679832345908374,0.27963267372671663,0.11643266957948015,0.3692550291931652,False,True,True,False
45119,Pasarel Hydro Power Station,,Bulgaria,none,42.5441,23.4861,1,33.0,gww_polygon,0.5368122726819282,,,,,,,116.0,74.0,STO,,,,208,0.3232115489997538,0.03641769030080408,0.2846552625820109,0.4014879689162938,0.11267447098813854,0.3614744172844266,False,True,True,False
45494,Manduriacu,Embalse,Ecuador,none,0.2147,-78.9122,1,65.0,gww_polygon,0.5392355472778118,,,,,,,33.7,61.4,ROR,,,,94,0.31029072630389026,0.08096665863986262,0.15499494914501413,0.39263564094360665,0.26093805510824736,0.7658646284061152,False,False,True,False
46130,Lemolo 2,,USA,eia923,43.280611,-122.40248,2,69.7,gww_polygon,0.5560208157610637,,,,,,,216.81687804878047,6.824109038737446,Canal,,PACW,OR,264,0.3239703833538755,0.03982176050554048,0.2731227507701874,0.3957931371656894,0.1229179040790369,0.3786469155777989,False,True,True,False
46982,Indian Orchard,Chicopee River Reservoir,USA,eia923,42.160954,-72.507631,2,6.9,gww_polygon,0.5724864231028062,,,,,,,11.211339130434784,6.7056000000000004,STO,,ISNE,MA,238,0.2524637149744237,0.01582391512045347,0.23226767494049064,0.2767087865571594,0.06267797779200286,0.17602969845061087,False,True,True,False
47224,Taylorville,,USA,eia923,43.927002,-75.321877,1,4.0,gww_polygon,0.5771327447018464,,,,,,,14.63,,STO,,NYIS,NY,186,0.3346960597324596,0.02722628617078259,0.30849878891372684,0.3972193209183138,0.08134630025984176,0.2650779100163474,False,True,True,False
47384,McClure Dam,,USA,eia923,46.5717,-87.4764,1,8.0,gww_polygon,0.5806601193196059,,,,,,,38.1,,STO,,MISO,MI,197,0.3233040975648069,0.023793865180671097,0.30001746574707033,0.38214768654229847,0.0735959282913251,0.25403396187629507,False,True,True,False
