design,region,n_dams,n_months,monitored_share_of_regional_hydro_mwh,r_monitored [area only],r_all_regional_hydro [area only],r_monitored [climate only],r_all_regional_hydro [climate only],r_monitored [area+climate],r_all_regional_hydro [area+climate],"r_monitored [damped persistence, 3-month-old label]","r_all_regional_hydro [damped persistence, 3-month-old label]",r_monitored [area+climate+3-month-old label],r_all_regional_hydro [area+climate+3-month-old label]
leave_dams_out,California,57,272,0.3031036532212764,0.7236182184513951,0.7265179002641449,0.8750164818648678,0.8994921777796744,0.884819501046017,0.9011096287712096,0.6589692189388434,0.6628658313427884,0.8898760001537049,0.906318271902263
leave_dams_out,Pacific Northwest,70,201,0.44449916149453905,0.5061808726810146,0.49942543241209786,0.5912653014970043,0.5161989605653269,0.5945842041932998,0.5196381488358154,0.28377951510999944,0.3189148061508161,0.6006568943956739,0.5436172482278615
leave_dams_out,Colorado basin / Southwest,32,179,0.7588507728535655,0.6523242191325289,0.6228913182872734,0.35226649019123807,0.32251265221880954,0.5888882033975967,0.5504361088839653,0.6315899125148996,0.6030666839349793,0.6040620727637024,0.5552291819181667
leave_dams_out,Southeast (TVA + Carolinas + AL/GA),57,214,0.41944090868847345,0.6300985367771949,0.6215114167878006,0.777341310961833,0.8000894358007993,0.7799820770767586,0.8007903015263809,0.42714959071615266,0.41828495989863207,0.7694633932615687,0.7904818088589409
leave_dams_out,Missouri / Plains,37,251,0.4098570540037273,0.7399067424304456,0.6721859406536054,0.7473224842092633,0.6684770960865676,0.781650824226875,0.7127642455057432,0.3999339638154046,0.3617604824432707,0.7538352667673688,0.6974130704193573
leave_dams_out,Northeast,75,155,0.15980228439424324,0.3841781883114891,0.3597800313933763,0.791762877367645,0.6711272915023846,0.7990629409779052,0.6609132436091788,0.26855037490113765,0.25604842620029333,0.8197597537475317,0.6819341710081589
strict,California,57,84,0.30900331750631427,0.6486581617320878,0.6995467967658738,0.7942910553165624,0.8241595662174694,0.8039039246962382,0.8530445105709042,0.48153654156083486,0.5187803607135,0.8013633172906893,0.8526385496141937
strict,Pacific Northwest,63,81,0.42236560661094763,0.26875445265218506,0.2877240549195801,0.26020026512441646,0.12040253203309605,0.28048882757723215,0.15156561944930264,0.012119774780054363,0.07441325340655157,0.3541444475727581,0.2874193520688982
strict,Colorado basin / Southwest,31,75,0.751126309598199,0.5268550191583524,0.4988917014453281,0.22028723316027107,0.21165698328159427,0.3696908168816996,0.35015278165244906,0.2778095227036014,0.2819606506339715,0.24243963444173175,0.23048445670084633
strict,Southeast (TVA + Carolinas + AL/GA),57,84,0.44565889493851946,0.48910285965260125,0.4917834664353974,0.6281719747690095,0.6392727760317409,0.6476641945549375,0.6573552711309303,0.42088898740541486,0.41117142976541143,0.6434029928642667,0.6558184896753209
strict,Missouri / Plains,37,72,0.4302990182777888,0.6149086385798628,0.5622626758160941,0.7461383221177733,0.7444489143580515,0.7345464690143904,0.7270506929102355,0.5465279816760698,0.482086612624463,0.7418066140774244,0.7196910485026894
strict,Northeast,44,76,0.09182434282631322,0.22750454202048778,-0.005753440422613824,0.79102258585279,0.7161904287432532,0.6937912025028633,0.540538598238773,0.23719172439637878,0.2990504653825338,0.757509081999618,0.6638944898705489
