design,model,n_dams,n_dam_months,anom_skill_vs_clim,skill_ci_lo,skill_ci_hi,anom_r_pooled,anom_r_median_per_dam,share_dams_r_gt_0.3,annual_anom_r,level_r2_within_dam,subset,horizon_months
"forward (train<=2018, test 2019-2025)",climatology,327,26379,0.0,0.0,0.0,,,0.0,,-0.07437786241794231,prereg,0
"forward (train<=2018, test 2019-2025)",persistence_lag1,327,26379,0.4389831484991077,0.39803658151731863,0.4767924919511437,0.7169992801661718,0.6440821701893465,0.9602446483180428,0.9947906490018297,0.3916056834343874,prereg,0
"forward (train<=2018, test 2019-2025)",persistence_lag3,327,26379,-0.1920525278965861,-0.26448322991868367,-0.11645120103950277,0.3998406703829776,0.19830260418220758,0.3180428134556575,0.9732179891701924,-0.2716057905717595,prereg,0
"forward (train<=2018, test 2019-2025)",damped_persistence_lag1,327,26379,0.5171162695367603,0.4885173838496419,0.5445836132685078,0.7169992801661726,0.6440821701893467,0.9602446483180428,0.9947906490018297,0.4668349712485763,prereg,0
"forward (train<=2018, test 2019-2025)",damped_persistence_lag3,327,26379,0.163042458103127,0.13538830149076247,0.19532796766154795,0.3998406703829776,0.1983026041822076,0.3180428134556575,0.9732179891701929,0.0925214265319233,prereg,0
"forward (train<=2018, test 2019-2025)",area_linear_pooled,327,26379,-0.005293454884367055,-0.03962722944218155,0.024693008404644966,0.1965405411379689,0.155162472073325,0.26299694189602446,0.3074479816847744,-0.07849071494821658,prereg,0
"forward (train<=2018, test 2019-2025)",area_linear_per_dam,327,26379,0.02574245736619507,-0.012321465016912751,0.06229221602869169,0.2634926563845678,0.15050381841891566,0.26605504587155965,0.39611167860566815,-0.04580571359323571,prereg,0
"forward (train<=2018, test 2019-2025)",ridge_area+climate,327,26379,0.09635750970617318,0.05440447004924876,0.1344093119567452,0.34344465057915047,0.36352825893943996,0.617737003058104,0.4648025769297536,0.027713206090593356,prereg,0
"forward (train<=2018, test 2019-2025)",gbm_area,327,26379,0.008068922608262308,-0.03948016502795632,0.04953618085825995,0.26374658223531533,0.18144298001795725,0.3333333333333333,0.37383059531058116,-0.06341472986031582,prereg,0
"forward (train<=2018, test 2019-2025)",gbm_climate,327,26379,0.147624822214251,0.12478116018755049,0.1741727044137403,0.3816401524197115,0.3598499504600025,0.6055045871559633,0.5304911219890003,0.08009683460196015,prereg,0
"forward (train<=2018, test 2019-2025)",gbm_area+climate,327,26379,0.12195461021592102,0.08013741447177467,0.1564581999654843,0.38523321277354666,0.35732167396968983,0.6085626911314985,0.5224981861206879,0.05433939830396661,prereg,0
"forward (train<=2018, test 2019-2025)",gbm_persist3+area+climate,327,26379,0.2477129667322503,0.2084383676527566,0.2815527219928331,0.5026315065141194,0.3754155499391899,0.6422018348623854,0.86105017005529,0.18107403832616553,prereg,0
leave-dams-out (5-fold),climatology,399,95155,0.0,0.0,0.0,,,0.0,,0.18409275868031516,prereg,0
leave-dams-out (5-fold),persistence_lag1,399,95155,0.4199843462056825,0.3801150813612073,0.45283894755241033,0.7116815183595154,0.6762732208688614,0.9949874686716792,0.988796845450825,0.5255631065938573,prereg,0
leave-dams-out (5-fold),persistence_lag3,399,95155,-0.16547718178510373,-0.22858714418836426,-0.10639932911494236,0.4259445496082698,0.3437743258676885,0.5939849624060151,0.9509166329836544,0.0890295560410177,prereg,0
leave-dams-out (5-fold),damped_persistence_lag1,399,95155,0.5064292540515015,0.4799661470724053,0.5362028218093718,0.7116004322306452,0.6762732208688614,0.9949874686716792,0.9887740884016859,0.5765733183014217,prereg,0
leave-dams-out (5-fold),damped_persistence_lag3,399,95155,0.18116840441882653,0.15668109641475736,0.2050517431269124,0.42553331957539614,0.34377432586768847,0.5939849624060151,0.9507626877707789,0.3248460525403556,prereg,0
leave-dams-out (5-fold),area_linear_pooled,399,95155,0.06238137426313839,0.046285986773887365,0.07845165240594426,0.24958021355771984,0.12122793131330127,0.2832080200501253,0.3985851276220268,0.229907977841728,prereg,0
leave-dams-out (5-fold),ridge_area+climate,399,95155,0.1656527302172358,0.14381255796243197,0.18880601533375135,0.4069040463489298,0.3876892385523314,0.6666666666666666,0.5428601200845716,0.30633642740267064,prereg,0
leave-dams-out (5-fold),gbm_area,399,95155,0.10299531885251711,0.08226904720539495,0.1241217396410436,0.32105506621469987,0.19313864101903702,0.3383458646616541,0.457336218454145,0.2607602447982109,prereg,0
leave-dams-out (5-fold),gbm_climate,399,95155,0.19013284440967415,0.1686778925660604,0.2104324994491936,0.43620243481252846,0.44335133812463506,0.7343358395989975,0.5416904333667971,0.32486163459302864,prereg,0
leave-dams-out (5-fold),gbm_area+climate,399,95155,0.2168523321045287,0.19522376849177275,0.23929184523945127,0.4656791980581114,0.4553124715188466,0.7919799498746867,0.5926075811836755,0.34462935516994364,prereg,0
leave-dams-out (5-fold),gbm_persist3+area+climate,399,95155,0.3289769144756035,0.3050400857421983,0.34773392284056415,0.5741127686302647,0.534688767700758,0.8671679197994987,0.8596739680873366,0.43044041406079236,prereg,0
strict (unseen dams AND test 2019-2025),climatology,327,26379,0.0,0.0,0.0,,,0.0,,-0.07437786241794231,prereg,0
strict (unseen dams AND test 2019-2025),persistence_lag1,327,26379,0.4389831484991078,0.3970941747119811,0.47479687829976236,0.7169992801661723,0.6440821701893465,0.9602446483180428,0.9947906490018297,0.3916056834343874,prereg,0
