design,model,n_dams,n_dam_months,anom_skill_vs_clim,skill_ci_lo,skill_ci_hi,anom_r_pooled,anom_r_median_per_dam,share_dams_r_gt_0.3,annual_anom_r,level_r2_within_dam
Brazil zero-shot: all filtered storage reservoirs,climatology,68,14554,0.0,0.0,0.0,,,0.0,,0.18738537673213684
Brazil zero-shot: all filtered storage reservoirs,persistence_lag1 (needs labels),68,14554,0.44430184739999024,0.34339433140809106,0.5517277911427306,0.7219798570982922,0.6994580226961067,1.0,0.9866526048068761,0.5489401195472519
Brazil zero-shot: all filtered storage reservoirs,area_linear_pooled (US slope),68,14554,0.07793609436336724,0.011296168068569609,0.1359231301879866,0.3159770945410661,0.35947070226285616,0.6029411764705882,0.39419691706249327,0.25057167645599
Brazil zero-shot: all filtered storage reservoirs,gbm_area,68,14554,0.1383266016139002,0.071893682799552,0.19581852712873882,0.3881931256272127,0.3672943053767156,0.5588235294117647,0.497960851512076,0.2998004099023527
Brazil zero-shot: all filtered storage reservoirs,gbm_climate,68,14554,0.16291629567353805,0.1275044432571346,0.1938450648538658,0.41035630140585827,0.44681383975077704,0.7941176470588235,0.5219213531132147,0.3196762050194366
Brazil zero-shot: all filtered storage reservoirs,gbm_area+climate,68,14554,0.23448448880758577,0.18636297782568734,0.28708629592769,0.48884959446618315,0.5431721980673505,0.9117647058823529,0.5893083493633676,0.3777091100958989
Brazil zero-shot: ONS label = FIO DAGUA,climatology,27,5412,0.0,0.0,0.0,,,0.0,,0.22568544251147715
Brazil zero-shot: ONS label = FIO DAGUA,persistence_lag1 (needs labels),27,5412,0.5194940946055879,0.3103435210112514,0.6666800615666164,0.7596120419405737,0.6907585256415224,1.0,0.987554784248053,0.628104553475981
Brazil zero-shot: ONS label = FIO DAGUA,area_linear_pooled (US slope),27,5412,-0.07431294779344189,-0.27654175141242016,0.04330633018855906,0.15522212153821655,0.1254289662710584,0.2222222222222222,0.20426950972043195,0.1682754013862413
Brazil zero-shot: ONS label = FIO DAGUA,gbm_area,27,5412,-0.019442969573647995,-0.19580127083773766,0.06844379224301665,0.13843665118327927,0.13761180961089609,0.18518518518518517,0.16420260128126277,0.2106431160135498
Brazil zero-shot: ONS label = FIO DAGUA,gbm_climate,27,5412,0.18065000824305955,0.12405379450125202,0.2646913106998312,0.431815220635344,0.5266825414517342,0.8888888888888888,0.47911543033825976,0.36560094948814803
Brazil zero-shot: ONS label = FIO DAGUA,gbm_area+climate,27,5412,0.13608322839113174,0.003193936301476271,0.21583111368199204,0.3931119179096667,0.5237016786208027,0.8888888888888888,0.39619234452466123,0.3310936970445052
Brazil zero-shot: ONS label = RESERVATÓRIO COM USINA,climatology,41,9142,0.0,0.0,0.0,,,0.0,,0.16456210333649424
Brazil zero-shot: ONS label = RESERVATÓRIO COM USINA,persistence_lag1 (needs labels),41,9142,0.4025384678341696,0.31439172242130387,0.4932458491266148,0.7010350848239206,0.7082667046336415,1.0,0.9860253038373571,0.5017654872848364
Brazil zero-shot: ONS label = RESERVATÓRIO COM USINA,area_linear_pooled (US slope),41,9142,0.16249846312382799,0.11345685243132066,0.22122816619415467,0.4098620481334531,0.47194640794344195,0.8536585365853658,0.5417646166078768,0.29961259445809685
Brazil zero-shot: ONS label = RESERVATÓRIO COM USINA,gbm_area,41,9142,0.2259551900696507,0.17182184371716042,0.28733319166388666,0.4829827053460715,0.4854324602128397,0.8048780487804879,0.64467914397164,0.3529298563467367
Brazil zero-shot: ONS label = RESERVATÓRIO COM USINA,gbm_climate,41,9142,0.15306661307092873,0.11432186524563723,0.18961335449114666,0.39806272541268944,0.42062591635232727,0.7317073170731707,0.5497836626369215,0.29230933299699136
Brazil zero-shot: ONS label = RESERVATÓRIO COM USINA,gbm_area+climate,41,9142,0.28913864985813653,0.23588855940600875,0.34349790360239973,0.539859732194133,0.5559213759493435,0.926829268292683,0.7078202418214686,0.4054875562910666
"Brazil zero-shot: carry-over subset (res time >= 100 d, >= 10 km2)",climatology,18,4278,0.0,0.0,0.0,,,0.0,,0.11850245960529315
"Brazil zero-shot: carry-over subset (res time >= 100 d, >= 10 km2)",persistence_lag1 (needs labels),18,4278,0.4131452155288561,0.3019199847966205,0.554287992516375,0.706726100830013,0.7430965215610781,1.0,0.9856732185744953,0.4842300885932018
"Brazil zero-shot: carry-over subset (res time >= 100 d, >= 10 km2)",area_linear_pooled (US slope),18,4278,0.19761651559252258,0.13792832729210672,0.27539167910331186,0.45015317128754034,0.48878826955663224,0.9444444444444444,0.6124057706247266,0.29125992318575245
"Brazil zero-shot: carry-over subset (res time >= 100 d, >= 10 km2)",gbm_area,18,4278,0.2725947316830889,0.1979668975591029,0.37817646124318893,0.5297552182582975,0.5580603665374759,0.9444444444444444,0.7106988724532606,0.3578063020200909
"Brazil zero-shot: carry-over subset (res time >= 100 d, >= 10 km2)",gbm_climate,18,4278,0.15257373079951242,0.09853166429052689,0.20169282701499294,0.39413681201656264,0.4277632482968675,0.7777777777777778,0.5668315664395072,0.2527495949934464
"Brazil zero-shot: carry-over subset (res time >= 100 d, >= 10 km2)",gbm_area+climate,18,4278,0.31361786843335415,0.23807213693435422,0.4007416754400274,0.5638994214767161,0.6223967257796936,1.0,0.7457067598116586,0.3937333260767977
