id,placebo_signal,target,tier,n,best_lag,r,maxstat_p
Y1_z,placebo_argyle,SHFE_AL,market,232,1,-0.08081336089455148,0.44655534446555345
Y1_z,placebo_guri,SHFE_AL,market,212,3,-0.024619894594964584,0.9675032496750325
Y1_z,placebo_volta,SHFE_AL,market,141,3,0.07492025929484938,0.6928307169283072
Y1_z,placebo_toktogul,SHFE_AL,market,228,2,0.10298182598948748,0.278972102789721
Y1_dz3,placebo_argyle,SHFE_AL,market,218,2,0.11476441643582959,0.23357664233576642
Y1_dz3,placebo_guri,SHFE_AL,market,186,2,-0.12831991301657056,0.24707529247075294
Y1_dz3,placebo_volta,SHFE_AL,market,93,2,-0.11629794916873758,0.5843415658434157
Y1_dz3,placebo_toktogul,SHFE_AL,market,211,3,-0.10295161052489096,0.3467653234676532
Y2_z,placebo_argyle,ALI=F,market,137,2,-0.02444393845168523,0.976002399760024
Y2_z,placebo_guri,ALI=F,market,137,1,0.09405742773538282,0.5365463453654634
Y2_z,placebo_volta,ALI=F,market,104,3,0.0963941303182289,0.6362363763623637
Y2_z,placebo_toktogul,ALI=F,market,143,3,-0.036031578629648314,0.9443055694430557
Y2_dz3,placebo_argyle,ALI=F,market,128,3,0.060238169719593594,0.8496150384961504
Y2_dz3,placebo_guri,ALI=F,market,126,2,-0.08627124293046874,0.6401359864013598
Y2_dz3,placebo_volta,ALI=F,market,77,2,-0.09520114538614075,0.7782221777822218
Y2_dz3,placebo_toktogul,ALI=F,market,144,1,0.07846031673303591,0.696030396960304
Y3_z,placebo_argyle,000807.SZ-000001.SS,market,232,2,-0.04600255596113135,0.7572242775722428
Y3_z,placebo_guri,000807.SZ-000001.SS,market,213,2,-0.06068769938901356,0.6611338866113389
Y3_z,placebo_volta,000807.SZ-000001.SS,market,141,3,0.03459132760627782,0.9464053594640536
Y3_z,placebo_toktogul,000807.SZ-000001.SS,market,227,3,-0.039995844271160604,0.827917208279172
Y3_dz3,placebo_argyle,000807.SZ-000001.SS,market,218,1,0.0757725965304344,0.5435456454354565
Y3_dz3,placebo_guri,000807.SZ-000001.SS,market,187,1,-0.14013023004908004,0.23367663233676633
Y3_dz3,placebo_volta,000807.SZ-000001.SS,market,93,2,-0.1378791240821769,0.43045695430456954
Y3_dz3,placebo_toktogul,000807.SZ-000001.SS,market,211,3,-0.11435409123665016,0.26217378262173785
Y4_z,placebo_argyle,AA-^GSPC,market,232,1,-0.14772489687660695,0.07219278072192781
Y4_z,placebo_guri,AA-^GSPC,market,212,3,0.016221241936433862,0.9884011598840116
Y4_z,placebo_volta,AA-^GSPC,market,142,2,0.08463065891127387,0.6104389561043896
Y4_z,placebo_toktogul,AA-^GSPC,market,229,1,0.04040974128612955,0.8560143985601439
Y4_dz3,placebo_argyle,AA-^GSPC,market,217,3,0.03748839982671402,0.9071092890710929
Y4_dz3,placebo_guri,AA-^GSPC,market,187,1,0.06783817177868139,0.6957304269573042
Y4_dz3,placebo_volta,AA-^GSPC,market,93,2,-0.15671117095344947,0.31996800319968005
Y4_dz3,placebo_toktogul,AA-^GSPC,market,213,1,0.08276814792619724,0.49205079492050796
