id,crit_r_p05,crit_r_p001
Y1_z,0.220066780596976,0.30587529862249707
Y1_dz3,0.24588727063674737,0.35567296191303144
Y2_z,0.2576887018132329,0.3911587284772984
Y2_dz3,0.26226105079620793,0.38432178480654233
Y3_z,0.214497095120697,0.30939642527240874
Y3_dz3,0.23242014794002472,0.33016674144529523
Y4_z,0.2566844550362755,0.36560295982168595
Y4_dz3,0.2537171193603085,0.3541831998752952
Y5_z,0.2470370790890031,0.36021418119384446
Y5_dz3,0.24743129656630752,0.34398460514403684
B1_z,0.14701359124914856,0.21422016957393303
B1_dz3,0.1520810416679343,0.23388920120710205
B2_z,0.16082725443696433,0.23892971848057445
B2_dz3,0.1652254969608155,0.23710130051846467
B3_z,0.14596747359883688,0.22284563615496336
B3_dz3,0.1493370110778567,0.23378600993669071
B4_z,0.1727869662522127,0.2605920997015293
B4_dz3,0.16106921363984208,0.26507572856825945
B5_z,0.14220921604554893,0.20924045421024565
B5_dz3,0.16089685725479624,0.2283232652308649
Z1_z,0.1672578631927423,0.24906226116831923
Z1_dz3,0.17585299426764003,0.2747899480396898
Z2_z,0.15589736254561312,0.22140656228032676
Z2_dz3,0.16902508629363583,0.2601335241064178
Z3_z,0.18395911011677468,0.2516195494365216
Z3_dz3,0.19888620844641922,0.2939959468858022
U1_z,0.13258857184845202,0.19659723420032582
U1_dz3,0.14114150272788556,0.20126127589734202
U2_z,0.14357025530553819,0.205687980580058
U2_dz3,0.1571870863231329,0.21976687079978607
U3_z,0.13147033149889228,0.18821008418046078
U3_dz3,0.1377743583801612,0.2196268008486103
G1_z,0.14250868055564955,0.2225310847059528
G1_dz3,0.1506682885675654,0.24498826294591697
G2_z,0.1688066500314751,0.2561153753179554
G2_dz3,0.16053319320174272,0.2735971995878502
G3_z,0.15732245401183,0.23864552462978403
G3_dz3,0.15919250918734557,0.25193344691918496
P1,0.22066177377111593,0.31414948562430434
P2,0.20007101022749468,0.3058097049631712
P3,0.21353120929527997,0.3265250687745363
P4,0.19917609499521283,0.29632998901554297
P5,0.29892244529101675,0.4318081651371164
P6,0.2965911345726942,0.4395210392508884
P7,0.29553502096164624,0.41460935165899515
P8,0.11058613087858474,0.16400159690039068
N1,0.09330997503661657,0.12841103043231283
F1,0.10224607204921517,0.15138350044972348
F2,0.11290035146769083,0.1752252683239579
F3,0.09845928422911648,0.14386625812393616
F4,0.102507034670757,0.15738908662637302
F5,0.09894669502462723,0.15236689758127367
R1,0.07841362441327608,0.11042077540679321
