id,tier,signal,transform,target,expected_sign,freq,latency,lags,n,best_lag,r,beta,spearman,perm_p,maxstat_p,bh_q,sign_ok,survives_bh05,circ_p,yearshuffle_p,r_partial,p_partial,r_train,r_test,p_test,oos_same_sign,r_by_lag,sample_start,sample_end,circ_n_shifts,train_n,test_n,train_lag,split,lag_partial
Y1_z,market,yunnan_area,z,SHFE_AL,-1,M,1,"[1, 2, 3]",89,2,-0.017434251582972432,-0.0008606757465483743,-0.025706503234593128,0.8578142185781422,0.9956004399560044,0.9961003899610039,True,False,1.0,0.9941005899410059,-0.016450814262549275,0.9962003799620038,-0.0319206145959534,0.04973054327508513,0.6336366363363664,False,"[-0.0032, -0.0174, 0.0174]",2019-01-01,2026-08-01,82,54,35,2,2023-07-01,2.0
Y1_dz3,market,yunnan_area,dz3,SHFE_AL,-1,M,1,"[1, 2, 3]",85,3,0.08870107500842367,0.004697006698693152,0.04868086769591557,0.38946105389461055,0.7592240775922408,0.9961003899610039,False,False,0.725,0.7726227377262274,0.09527959115123454,0.7073292670732927,0.10258242913978287,0.05225595370584313,0.38166183381661833,True,"[-0.0408, -0.0808, 0.0887]",2019-04-01,2026-08-01,79,52,33,3,2023-08-01,3.0
Y2_z,market,yunnan_area,z,ALI=F,-1,M,1,"[1, 2, 3]",89,2,0.07890228755080839,0.0055406581136533024,0.11377304125503647,0.48095190480951905,0.8045195480451954,0.9961003899610039,False,False,0.7710843373493976,0.7224277572242775,0.08379241846863017,0.7492250774922508,0.03666502639215113,-0.05276104419522544,0.6257374262573743,False,"[0.0484, 0.0789, 0.0255]",2019-01-01,2026-08-01,82,54,34,3,2023-07-01,2.0
Y2_dz3,market,yunnan_area,dz3,ALI=F,-1,M,1,"[1, 2, 3]",87,1,0.028705674399949307,0.00208041403529147,0.052252679157250126,0.8073192680731927,0.9908009199080092,0.9961003899610039,False,False,1.0,0.9604039596040396,0.06700333236924391,0.9019098090190981,-0.10657126312465832,0.25446030281299753,0.922107789221078,False,"[0.0287, 0.0158, 0.0269]",2019-04-01,2026-08-01,79,52,35,1,2023-08-01,2.0
Y3_z,market,yunnan_area,z,000807.SZ-000001.SS,1,M,1,"[1, 2, 3]",88,3,0.05533191226453803,0.007318004892291742,0.017294212954809627,0.5544445555444456,0.895010498950105,0.9961003899610039,True,False,0.9397590361445783,0.9125087491250875,0.05718074852304196,0.8824117588241176,-0.05957513124556456,0.07718016659057686,0.6783321667833216,False,"[-0.0252, 0.0292, 0.0553]",2019-01-01,2026-08-01,82,54,36,1,2023-07-01,3.0
Y3_dz3,market,yunnan_area,dz3,000807.SZ-000001.SS,1,M,1,"[1, 2, 3]",85,3,0.09201816750637402,0.013047716874022671,0.04840726988469807,0.36626337366263373,0.7267273272672733,0.9961003899610039,True,False,0.6125,0.7477252274772522,0.10171719001990286,0.6597340265973403,0.09597585610785389,0.0904663696112947,0.2906709329067093,True,"[-0.0484, 0.0371, 0.092]",2019-04-01,2026-08-01,79,52,33,3,2023-08-01,3.0
Y4_z,market,yunnan_area,z,AA-^GSPC,-1,M,1,"[1, 2, 3]",88,3,0.18289161137980078,0.03201408843229296,0.1198619280757987,0.0964903509649035,0.22447755224477553,0.9961003899610039,False,False,0.3614457831325301,0.2233776622337766,0.18390284090086173,0.1735826417358264,0.2604537071594007,-0.04451957241154038,0.5798420157984202,False,"[0.1148, 0.1271, 0.1829]",2019-01-01,2026-08-01,82,54,34,3,2023-07-01,3.0
Y4_dz3,market,yunnan_area,dz3,AA-^GSPC,-1,M,1,"[1, 2, 3]",85,3,0.10087042928142799,0.01884873770497821,0.09687316787179988,0.3648635136486351,0.7070292970702929,0.9961003899610039,False,False,0.7,0.6157384261573843,0.10849174903688104,0.6472352764723528,0.12439230564122468,0.04050867781856983,0.4363563643635636,True,"[0.0366, 0.0405, 0.1009]",2019-04-01,2026-08-01,79,52,33,3,2023-08-01,3.0
Y5_z,market,yunnan_area,z,NHY.OL-OSEBX.OL,-1,M,1,"[1, 2, 3]",90,1,0.0893494898459505,0.007244071909749814,0.07896448121167222,0.39886011398860116,0.718028197180282,0.9961003899610039,False,False,0.7349397590361446,0.6627337266273373,0.0877202864972262,0.7350264973502649,0.14589298621797017,0.0014592033674788998,0.5022497750224978,True,"[0.0893, 0.077, 0.0793]",2019-01-01,2026-08-01,82,54,34,3,2023-07-01,1.0
Y5_dz3,market,yunnan_area,dz3,NHY.OL-OSEBX.OL,-1,M,1,"[1, 2, 3]",85,3,0.07724030433508663,0.00681621154175931,0.06497948016415868,0.47555244475552444,0.8349165083491651,0.9961003899610039,False,False,0.875,0.8101189881011899,0.07917229772337214,0.8331166883311669,0.11010589155168408,0.0406245346366434,0.42355764423557646,True,"[0.0455, 0.0072, 0.0772]",2019-04-01,2026-08-01,79,52,33,3,2023-08-01,3.0
