plant,mean,std,size,t,detectable,plant_name_eia,fuel,nox_lbs_h
10,1.0279960204424528,4.015019640522954,318,4.565804579243854,False,Greene County,gas,266.7408961748635
1001,5.028623626245454,8.621754328175625,330,10.595231682399382,True,Cayuga,coal,1117.351357126595
10745,5.919716543000001,5.914129458636141,259,16.108680464142083,True,Midland Cogeneration Venture,gas,891.6339626593781
126,9.768984709226967,8.117887722668351,445,25.38553934717324,True,H Wilson Sundt Generating Station,gas,237.57621288706716
136,1.5948368813472324,5.322651265614216,271,4.932565979395649,False,Seminole (FL),gas,254.00794125683083
1364,15.844113229031251,14.184354941267774,320,19.98174150041456,True,Mill Creek (KY),coal,1243.6420162795987
1379,7.485981584272237,7.853546579850694,371,18.359881985793347,True,Shawnee,coal,1481.9577617258628
1403,20.212400017478508,14.56008160354362,349,25.933837729003656,True,Nine Mile Point,gas,2091.342546789627
160,2.029043361954654,3.1583065036073803,419,13.150554490445042,True,Apache Station,gas,253.55373474499055
1710,1.4391501941993008,11.603639288295042,286,2.0974659407783225,False,J H Campbell,coal,735.9899945355185
1893,2.44167593876494,4.155813257096133,251,9.308267598597002,True,Clay Boswell,coal,470.0618678278687
2103,10.66198614,7.9307950528717495,379,26.172245873863176,True,Labadie,coal,1527.9548455145748
2107,10.719371827505077,12.118347386188512,394,17.55795973640867,True,Sioux,coal,833.1249149590182
2168,6.6938945293315655,8.187772286420923,396,16.268994126882433,True,Thomas Hill,coal,1336.7266203324236
2277,4.074531376574755,4.895603838507056,408,16.811307089659092,True,Sheldon,coal,441.81652151639287
2442,6.93332960811111,5.735640107588685,423,24.861660842904666,True,Four Corners,coal,624.263776525501
26,4.151122671192811,8.273910693971425,306,8.7763806622774,True,E C Gaston,gas,485.854571152094
2721,1.7590696179692982,8.045446230045762,342,4.043392898971205,False,James E. Rogers Energy Complex,coal,409.8210027322403
2727,8.150422439812317,11.12054011526923,341,13.534163771690316,True,Marshall (NC),gas,1354.163666666667
2956,0.27518688569742494,5.630880036321074,466,1.0549804620734946,False,Seminole,gas,346.4790963114755
2964,1.4824149237420952,4.627378301892803,525,7.340310383313145,False,Southwestern,gas,304.5243425546449
3399,3.9052202472173914,6.025600872234056,345,12.038010523527003,True,Cumberland (TN),coal,948.6169764344168
3407,2.1814399770974076,5.804361906251974,270,6.1754792478369,False,Kingston,coal,409.75824965847033
3482,4.317806616621747,4.887144091509681,607,21.767191055748498,True,Jones,gas,249.5841140710378
3490,1.4903471581710037,5.86939365425115,538,5.8895938071590335,False,Graham,gas,590.5034233834242
3954,-0.8528046419036697,5.614385514026853,218,-2.242722665053023,False,Mt Storm,coal,374.00058299180336
4158,6.840531307351191,4.809635859472271,336,26.070374910329768,True,Dave Johnston,coal,1087.6412609289637
58215,2.2650002349336606,4.612947711131204,407,9.905739988878477,True,Lee Combined Cycle Plant,gas,214.21776741803265
6002,9.813163104500001,7.802130548197399,320,22.49939258555427,True,James H Miller Jr,coal,1374.1645292577418
6017,1.1292966475477528,5.0294397543475515,356,4.236560645249182,False,Newton,coal,458.3750466757739
6021,6.407338964734899,4.994283773205747,298,22.146883278425204,True,Craig (CO),coal,986.3128132969056
6034,17.04117695730909,12.643691271334829,275,22.350747396680802,True,Belle River,coal,1321.524218693077
6041,0.7311676657072369,8.037454903392373,304,1.586117000423704,False,H L Spurlock,coal,714.6588274134788
6076,8.412406759895832,6.404886949078314,384,25.737976934565566,True,Colstrip,coal,1776.0347254098333
6077,7.369600117667387,5.654939882764301,463,28.04183479537139,True,Gerald Gentleman,coal,1346.540220856102
6090,6.71430943814679,8.287159163853573,327,14.651076929470712,True,Sherburne County,coal,961.9049487704914
6096,6.102515415818224,6.200459721372502,428,20.361364524623692,True,Nebraska City,coal,827.1234496812405
612,5.288227270216166,4.30933365891964,266,20.014318568709182,True,Fort Myers,gas,239.0643156876138
