plant_id_eia,ba
70402,ISNE
70379,MISO
70368,CISO
70366,SWPP
70364,PJM
70334,PJM
70301,MISO
70287,PJM
70271,SWPP
70240,PJM
70189,ISNE
70157,PJM
70134,NYIS
70126,PJM
70082,PJM
70037,LDWP
70027,NYIS
70026,MISO
70017,PJM
70002,NYIS
69988,CPLE
69973,PNM
69963,PJM
69956,CISO
69955,ISNE
69937,MISO
69874,MISO
69865,ERCO
69858,CISO
69843,MISO
69834,NYIS
69818,PJM
69771,CPLW
69754,NYIS
69739,MISO
69736,ISNE
69726,PJM
69718,NYIS
69707,ISNE
69700,NYIS
69682,PACW
69647,MISO
69603,ISNE
69597,NYIS
69580,ERCO
69576,ERCO
69538,SWPP
69511,ERCO
69495,MISO
69482,BPAT
69472,NYIS
69413,ERCO
69378,ERCO
69363,CISO
69298,ERCO
69272,ERCO
69256,AZPS
69253,ERCO
69213,PJM
69196,DUK
69183,MISO
69169,MISO
69154,NYIS
69132,CISO
69130,NYIS
69050,PJM
69045,ERCO
69042,PNM
69041,PACE
69022,MISO
69013,ISNE
69007,PJM
69005,PJM
69004,ERCO
68951,MISO
68947,NYIS
68945,WACM
68934,MISO
68932,CISO
68928,MISO
68927,MISO
68920,MISO
68884,NYIS
68856,ERCO
68839,ERCO
68829,FPL
68827,FPL
68826,FPL
68798,CISO
68795,CISO
68787,CISO
68766,ERCO
68750,MISO
68724,SWPP
68710,SWPP
68660,NYIS
68611,CEA
68564,TVA
68529,SRP
68525,CISO
68486,CISO
68474,ERCO
68472,TEC
68462,PACW
68452,AZPS
68430,ISNE
68393,PJM
68390,ISNE
68371,PACE
68360,ERCO
68358,ERCO
68353,ERCO
68343,PSCO
68338,IPCO
68305,ERCO
68285,HECO
68277,SWPP
68243,SOCO
68242,MISO
68232,MISO
68221,CISO
68198,ERCO
68195,PJM
68182,SWPP
68156,MISO
68114,TVA
68112,TVA
68075,PJM
68065,ERCO
68020,NYIS
68004,NYIS
67980,PGE
67979,NYIS
67974,NYIS
67969,DUK
67962,PJM
67883,NYIS
67882,NYIS
67848,CISO
67843,ERCO
67792,MISO
67791,SWPP
67772,ERCO
67761,ERCO
67749,CISO
67723,CPLE
67702,MISO
67679,NYIS
67671,PJM
67660,ERCO
67618,NYIS
67612,NYIS
67611,NYIS
67594,NYIS
67574,NYIS
67560,ERCO
67559,ERCO
67548,MISO
67539,MISO
67519,MISO
67508,PJM
67474,AZPS
67468,ISNE
67430,MISO
67424,ERCO
67409,ISNE
67377,ISNE
67325,NYIS
67311,ERCO
67303,WACM
67268,NYIS
67255,MISO
67250,ERCO
67249,ERCO
67243,PJM
67239,PJM
67233,TVA
67222,ERCO
67209,FPC
67194,ISNE
67127,SEPA
67121,PJM
67105,CISO
67064,PJM
67044,CPLE
67031,NYIS
66983,NEVP
66965,PJM
66958,MISO
66945,PSCO
66944,PJM
66943,PJM
66942,PACW
66897,ERCO
66881,MISO
66867,PJM
66825,SOCO
66807,CISO
66803,PJM
