plant_id_eia,plant_name_eia,state,latitude,longitude
1353,Big Sandy,KY,38.1707,-82.6176
703,Bowen,GA,34.1256,-84.9222
1378,Paradise,KY,37.2608,-86.9783
2828,Cardinal,OH,40.2522,-80.6486
3943,FirstEnergy Fort Martin Power Station,WV,39.710833,-79.9275
564,Stanton Energy Center,FL,28.4822,-81.1678
6166,Rockport,IN,37.9256,-87.0372
3148,TalenEnergy Martins Creek,PA,40.797762,-75.105416
6257,Scherer,GA,33.0606,-83.8075
6641,Independence Steam Electric Station,AR,35.678442,-91.408761
1571,Chalk Point LLC,MD,38.5444,-76.6861
6004,FirstEnergy Pleasants Power Station,WV,39.366667,-81.294444
6002,James H Miller Jr,AL,33.6319,-87.0597
3118,Conemaugh,PA,40.3842,-79.0611
3944,FirstEnergy Harrison Power Station,WV,39.384167,-80.3325
3948,Mitchell (WV),WV,39.8297,-80.8153
3136,Keystone,PA,40.6604,-79.3411
628,Crystal River,FL,28.9656,-82.6977
136,Seminole (FL),FL,29.733056,-81.632778
3935,John E Amos,WV,38.4731,-81.8233
3149,TalenEnergy Montour,PA,41.0714,-76.6672
8102,"Gavin Power, LLC",OH,38.9347,-82.1158
2832,Miami Fort,OH,39.1128,-84.8036
6264,Mountaineer,WV,38.9794,-81.9344
6009,White Bluff,AR,34.4228,-92.1406
997,Michigan City,IN,41.7208,-86.9086
6068,Jeffrey Energy Center,KS,39.286453,-96.117231
298,Limestone,TX,31.4219,-96.2525
55856,Prairie State Generating Station,IL,38.279167,-89.666944
6065,Iatan,MO,39.4472,-94.98
6076,Colstrip,MT,45.8831,-106.614
1082,Walter Scott Jr Energy Center,IA,41.18,-95.8408
2721,James E. Rogers Energy Complex,NC,35.22,-81.7594
6055,Big Cajun 2,LA,30.7261,-91.3692
602,Brandon Shores,MD,39.2,-76.5389
470,Comanche (CO),CO,38.2081,-104.5747
994,AES Petersburg,IN,38.5281,-87.2525
3470,W A Parish,TX,29.4828,-95.6311
130,Cross,SC,33.371506,-80.113235
6071,Trimble County,KY,38.5847,-85.4117
1356,Ghent,KY,38.7497,-85.035
1733,Monroe (MI),MI,41.8906,-83.3464
2103,Labadie,MO,38.562244,-90.837686
3399,Cumberland (TN),TN,36.3903,-87.6539
3954,Mt Storm,WV,39.2008,-79.2636
1241,La Cygne,KS,38.3481,-94.6456
AU_LOYYANG,Loy Yang,VIC,-38.2545,146.579
AU_YALLOURN,Yallourn,VIC,-38.1775,146.343
AU_BAYSWATER,Bayswater,NSW,-32.3955,150.949
AU_MTPIPER,Mt Piper,NSW,-33.3585,150.032
AU_STANWELL,Stanwell,QLD,-23.5095,150.318
AU_TARONG,Tarong,QLD,-26.781,151.915
AU_CALLIDE,Callide,QLD,-24.345,150.62
AU_MILLMERRAN,Millmerran,QLD,-27.9615,151.279
AU_KOGAN,Kogan Creek,QLD,-26.9165,150.749
AU_ERARING,Eraring,NSW,-33.062,151.521
