plant,group,n,cf_mean,cf_sd,rho_clf_onoff_img+wx,rho_clf_onoff_img,rho_mono_gbt_img+wx,rho_mono_gbt_img,rho_weather_normalised_area,rho_raw_area_per_GW,rho_units_on(mono),mae_cf(mono),bias_cf(mono)
Bayswater,natural_draft,91,0.4159139534256384,0.13505514742624952,0.4765249243510113,0.49755844580914826,0.4497531454053193,0.5191409475565999,0.49977703455964334,0.4793510894461421,0.30030721558752904,0.1535365642773284,-0.049707066555190735
Callide,mixed,94,0.39518028643341035,0.14722137049775183,0.25078929306794784,0.37136481552145795,0.30558104251706825,0.4121635779828377,0.4283423039410469,0.4215135374873596,0.23045873490336471,0.18405999767918108,-0.1144579291959735
Eraring,once_through_control,146,0.4196886720199111,0.18790146033158248,-0.4029363847570205,-0.3122385910503942,-0.37322549236983416,-0.3176234227445088,-0.45396739706747136,-0.2476988110003935,-0.175977898429194,0.26693071552607534,-0.18950289627078096
Kogan Creek,air_cooled_control,241,0.5862030014510617,0.20687151671119303,0.04448856041750964,-0.015564053224044996,0.03143667900089443,0.007939938510878545,0.10165855366111659,0.01188862618924168,-0.15713841932020994,0.363179559115325,-0.3034756451549864
Loy Yang,natural_draft,43,0.6076201255026668,0.1850454282529673,0.5411711409452105,0.5170679485025356,0.6072183630323165,0.5329104071992851,0.4912413168227122,0.5452142757272416,0.16127779712816379,0.2402951757484797,-0.21965512898646986
Millmerran,air_cooled_control,105,0.5732062184961761,0.15506832644459762,-0.025575566885234664,-0.06504658889090775,-0.03154675513166079,-0.06971861029201223,-0.05768742321984622,0.03227187080710445,0.1224300398551188,0.34039180857100143,-0.332171324076879
Mt Piper,natural_draft,76,0.3373691473467402,0.1563535238949719,0.6596035543403964,0.6297319102456844,0.6132877648667123,0.6499473677622747,0.38162679425837326,0.6643830726176189,0.4167495446027961,0.12103862486270982,0.03626221796646358
Stanwell,natural_draft,75,0.4749028896318333,0.10840198950347864,0.21815078236130866,0.23841959225141066,0.26532005689900423,0.33399724278273546,0.2520910384068279,0.367094317494037,0.3203313621229585,0.16404505958574997,-0.13137460641916837
Tarong,natural_draft,76,0.5384773653875254,0.11695049074452583,0.09998632946001368,0.060154899034636625,0.16948735475051263,0.13332239650263186,0.18250170881749828,-0.01201977361443393,0.12411041265687009,0.17316926903676252,-0.15270906434299666
Yallourn,natural_draft,48,0.5433588671626818,0.1503343926989907,0.5184541901867129,0.4813507968221567,0.5057533651758576,0.5284155682755899,0.5608988276161528,0.5349474866521201,0.16958464293326098,0.16774805402435103,-0.13370399968745503
