plant,n_valid,plume_rate_all,plume_rate_cold_lt12C,median_area_cold,n_war,n_ref2025,rate_war,rate_ref2025,area_war,area_ref2025,T_war,T_ref2025,rate_pre6wk,n_pre,rate_post6wk,n_post,p_mannwhitney_area_war_vs_2025
IRN_ALIABAD,16,0.0,,,1,1,0.0,0.0,0.0,0.0,14.7,22.9,0.0,2,0.0,1,
IRN_BANDARABBAS,114,0.5263157894736842,,,4,7,0.0,0.42857142857142855,0.0025,0.009142857142857144,26.425,27.3,1.0,5,0.4,5,0.7695621894041116
IRN_DAMAVAND,125,0.04,0.15384615384615385,0.0012,3,5,0.3333333333333333,0.0,0.015866666666666668,8e-05,14.266666666666666,16.54,0.3333333333333333,6,0.0,8,
IRN_FARS,112,0.0,0.0,0.0,2,2,0.0,0.0,0.0015999999999999999,0.0,13.2,16.05,0.0,4,0.0,5,
IRN_KAZEROON,38,0.02631578947368421,,,0,0,,,,,,,0.0,2,0.0,3,
IRN_KERMAN,122,0.01639344262295082,0.0,0.0028,5,4,0.0,0.0,0.0007199999999999999,0.00039999999999999996,14.540000000000001,15.6,0.0,5,0.0,5,0.6072355437741112
IRN_MONTAZERI,233,0.5708154506437768,0.8108108108108109,0.0628,7,7,0.8571428571428571,0.42857142857142855,0.017714285714285714,0.017714285714285714,12.542857142857144,14.142857142857142,0.6666666666666666,15,0.6666666666666666,12,0.6543654987424038
IRN_NEKA,38,0.8947368421052632,,,1,6,1.0,1.0,0.418,0.2048,11.6,19.166666666666668,1.0,1,1.0,2,
IRN_RAJAEE,187,0.8609625668449198,0.9230769230769231,0.19740000000000002,5,7,1.0,0.7142857142857143,0.19208,0.3191428571428571,9.879999999999999,14.285714285714286,1.0,6,1.0,9,0.8762626262626263
IRN_RAMIN,115,0.26956521739130435,0.75,0.1104,7,5,0.2857142857142857,0.0,0.05622857142857142,0.0012000000000000001,20.1,18.5,0.5454545454545454,11,0.25,4,0.08649016622437304
IRN_SHAZAND,177,0.7005649717514124,0.7333333333333333,0.0424,5,6,0.8,0.5,0.32568,0.03266666666666667,9.04,13.816666666666668,0.6,5,0.9,10,0.11984615709682368
IRN_SHIRVAN,164,0.11585365853658537,0.16666666666666666,0.002,1,4,0.0,0.0,0.0,0.0,15.3,16.725,1.0,1,0.4,5,
IRQ_ANBAR,94,0.5638297872340425,0.5555555555555556,0.0128,6,3,0.5,0.0,0.02366666666666667,0.0076,16.066666666666666,19.366666666666667,0.8,5,0.375,8,
IRQ_ERBIL,71,0.29577464788732394,,,3,3,0.6666666666666666,0.0,0.06493333333333333,0.002266666666666667,15.166666666666666,19.266666666666666,0.0,1,1.0,3,
IRQ_MUSSAIB,183,0.6885245901639344,1.0,0.046,9,7,0.7777777777777778,0.8571428571428571,0.05533333333333333,0.09382857142857144,18.544444444444444,21.971428571428568,1.0,8,0.6666666666666666,9,0.4269226997859221
IRQ_SHATTBASRA,95,0.29473684210526313,,,1,4,0.0,0.0,0.0096,0.0055000000000000005,18.9,22.475,1.0,3,0.4,5,
IRQ_SHEMAL,35,0.22857142857142856,,,2,1,0.0,0.0,0.0,0.0,12.649999999999999,26.5,0.0,2,,0,
