model,n,n_off,auc_onoff,ap_off,spearman_cf,spearman_cf_on_only,within_plant_spearman_median,n_plants,tercile_acc,tercile_majority_baseline,subset
raw_plume_area,2620,540,0.8306690705128206,0.5438142346385728,0.48572254781683116,0.28076788771482003,0.5804145840373374,41,0.5244274809160305,0.333587786259542,US towers+FGD (natural+mech draft)
raw_area_per_GW,2620,540,0.812307247150997,0.5277543689786495,0.5084422318072046,0.35145692133820056,0.5804145840373374,41,0.5358778625954198,0.333587786259542,US towers+FGD (natural+mech draft)
weather_only(control),2620,540,0.5615896545584046,0.23258674252331565,0.13848216772755573,0.12176678609812985,0.3020830381020416,41,0.37786259541984735,0.333587786259542,US towers+FGD (natural+mech draft)
image_only_GBT,2620,540,0.7560661502849002,0.3879046761531013,0.43567720978975616,0.3092117640295927,0.49111689384293333,41,0.4965648854961832,0.333587786259542,US towers+FGD (natural+mech draft)
image+weather_GBT,2620,540,0.7920129985754986,0.4313757894821085,0.5083121501951501,0.374810240014239,0.6042856254212454,41,0.5286259541984732,0.333587786259542,US towers+FGD (natural+mech draft)
raw_plume_area,1633,414,0.8787366297709773,0.7112258673534695,0.5767083163670879,0.30267913473310987,0.6325751604179218,26,0.5529699938763013,0.35884874464176364,US natural-draft only
raw_area_per_GW,1633,414,0.8671557029797927,0.7043265118628169,0.625430229413277,0.432686682325122,0.6325751604179218,26,0.5719534598897734,0.35884874464176364,US natural-draft only
weather_only(control),1633,414,0.5618329746802836,0.2808853296567868,0.1852218828390367,0.19934697776783977,0.33130715764678703,26,0.3759951010410288,0.35884874464176364,US natural-draft only
image_only_GBT,1633,414,0.859598229323949,0.6470801324421396,0.634529749627228,0.4517170599607506,0.6413696633940594,26,0.5701163502755664,0.35884874464176364,US natural-draft only
image+weather_GBT,1633,414,0.8551259644992926,0.6568145243714402,0.6495541758206397,0.49420563948362123,0.642849273227442,26,0.578689528475199,0.35884874464176364,US natural-draft only
raw_plume_area,987,126,0.7208902531202183,0.27811584005288015,0.3350661679916896,0.25675825488593,0.40477213686120295,15,0.47315096251266464,0.3637284701114488,US mech-draft only
raw_area_per_GW,987,126,0.7051186328189814,0.27293381983125364,0.32637111884399483,0.25907625813393703,0.40477213686120295,15,0.46808510638297873,0.3637284701114488,US mech-draft only
weather_only(control),987,126,0.5833102888852018,0.15194689100342965,0.16093787310598606,0.13672205693014342,0.25051129654294435,15,0.41033434650455924,0.3637284701114488,US mech-draft only
image_only_GBT,987,126,0.6737228766845492,0.2127122440612477,0.2639607608037851,0.19802283893544817,0.2576491266025568,15,0.4072948328267477,0.3637284701114488,US mech-draft only
image+weather_GBT,987,126,0.6752945080471212,0.1859068336630692,0.30825863802904613,0.2547589724101799,0.371644522531907,15,0.44782168186423504,0.3637284701114488,US mech-draft only
raw_plume_area,279,39,0.814903846153846,0.4169321238707891,0.21933612573789774,-0.001193965718455015,0.4363716040516869,5,0.45878136200716846,0.44802867383512546,US once-through controls
raw_area_per_GW,279,39,0.8127136752136752,0.40998190062185463,0.2215029640655945,0.006868286939389152,0.4363716040516869,5,0.46236559139784944,0.44802867383512546,US once-through controls
weather_only(control),279,39,0.603525641025641,0.23631317732524523,0.14917358754203386,0.09921452527108794,0.2865192521130368,5,0.4014336917562724,0.44802867383512546,US once-through controls
image_only_GBT,279,39,0.670940170940171,0.2332209317109995,0.039943744011596255,-0.1082085462911128,0.18782546092727934,5,0.3906810035842294,0.44802867383512546,US once-through controls
image+weather_GBT,279,39,0.6871794871794872,0.2984554834794433,0.14133359975441895,0.0167437911750616,0.24289251259284556,5,0.4050179211469534,0.44802867383512546,US once-through controls
raw_plume_area,518,1,0.8404255319148937,0.011764705882352941,0.43998636780075095,0.43782924715777344,0.49567050755514486,7,0.611969111969112,0.6158301158301158,AU zero-shot: tower plants
image_only_GBT,518,1,0.8413926499032882,0.012048192771084338,0.4027433973320089,0.4004391238433791,0.4978345637532173,7,0.5888030888030888,0.6158301158301158,AU zero-shot: tower plants
image+weather_GBT,518,1,0.8529980657640233,0.012987012987012988,0.4296609930603289,0.42747179535897994,0.4025399565371514,7,0.5984555984555985,0.6158301158301158,AU zero-shot: tower plants
raw_plume_area,494,19,0.5694736842105262,0.04350698455869325,-0.21914851354936338,-0.25200236423873673,0.01188862618924168,3,0.44534412955465585,0.5951417004048583,AU zero-shot: no-tower controls
image_only_GBT,494,19,0.3801662049861496,0.03056845302247533,0.10797101873819494,0.14381289243278333,-0.05132192442979198,3,0.4979757085020243,0.5951417004048583,AU zero-shot: no-tower controls
image+weather_GBT,494,19,0.3040443213296399,0.027271293247364235,0.0589962717324482,0.1092778636760187,-0.032790794111548824,3,0.4979757085020243,0.5951417004048583,AU zero-shot: no-tower controls
