model,n,n_off,auc_onoff,ap_off,spearman_cf,spearman_cf_on_only,within_plant_spearman_median,n_plants,tercile_acc,tercile_majority_baseline,subset
clf_onoff_img+wx,2590,537,0.8804592634115855,0.5903317515961852,0.5148355858820625,0.24161576524645048,0.4910759207082973,41,0.5115830115830116,0.3335907335907336,US towers+FGD (natural+mech draft)
clf_onoff_img,2590,537,0.8620640548735965,0.5291226115442715,0.4760710696079495,0.206943910240129,0.4601697078884096,41,0.5015444015444015,0.3335907335907336,US towers+FGD (natural+mech draft)
mono_gbt_img+wx,2590,537,0.857564122449683,0.592881700953233,0.565497594437279,0.37725189980375734,0.6490454361964832,41,0.5521235521235521,0.3335907335907336,US towers+FGD (natural+mech draft)
mono_gbt_img,2590,537,0.8391793451196913,0.5107253568876201,0.4952442745550755,0.2814177761428908,0.5539651512772192,41,0.5166023166023166,0.3335907335907336,US towers+FGD (natural+mech draft)
weather_normalised_area,2590,537,0.8174574882921029,0.5619595947840484,0.5220169141963915,0.36691991624586456,0.5325597598272642,41,0.5293436293436293,0.3335907335907336,US towers+FGD (natural+mech draft)
raw_area_per_GW,2590,537,0.8144356126883401,0.5295528524859601,0.5105053625845685,0.3500974918829624,0.5672978205099608,41,0.5362934362934363,0.3335907335907336,US towers+FGD (natural+mech draft)
clf_onoff_img+wx,1613,411,0.8876851638186154,0.6168037981582708,0.5866802576304521,0.2854042001881713,0.5943229232421767,26,0.5623062616243025,0.3595784252944823,US natural-draft only
clf_onoff_img,1613,411,0.8888784305152403,0.6312105406883716,0.5887023820301522,0.29352730501298163,0.6223877006350285,26,0.5616862988220707,0.3595784252944823,US natural-draft only
mono_gbt_img+wx,1613,411,0.8931555679706572,0.6685627859893272,0.6525492646705178,0.42895742294748035,0.6821645239038051,26,0.5902045877247365,0.3595784252944823,US natural-draft only
mono_gbt_img,1613,411,0.8878207853091564,0.6534606656901069,0.6331822042947433,0.3988493638200579,0.655053784652631,26,0.5871047737135772,0.3595784252944823,US natural-draft only
weather_normalised_area,1613,411,0.8631316014266571,0.7183655169793888,0.6185378654911948,0.42065692523229054,0.5985628807760159,26,0.5672659640421575,0.3595784252944823,US natural-draft only
raw_area_per_GW,1613,411,0.8716939731428965,0.7076200750117545,0.6296228650057163,0.42884361399739285,0.6161836165676438,26,0.5728456292622442,0.3595784252944823,US natural-draft only
clf_onoff_img+wx,503,1,0.6613545816733067,0.005847953216374269,0.35035782511691144,0.3497991486345672,0.4765249243510113,7,0.5944333996023857,0.6381709741550696,AU zero-shot: tower plants
clf_onoff_img+wx,492,19,0.3423834427506398,0.028516102980590433,-0.07058259023461158,-0.03947901198372,-0.025575566885234664,3,0.46747967479674796,0.5975609756097561,AU zero-shot: no-tower controls
clf_onoff_img,503,1,0.6254980079681275,0.005291005291005291,0.3506522978138261,0.35047820839982585,0.4813507968221567,7,0.6063618290258449,0.6381709741550696,AU zero-shot: tower plants
clf_onoff_img,492,19,0.4504283965728274,0.036300802016201075,-0.10970112446167284,-0.10641094958371008,-0.06504658889090775,3,0.44715447154471544,0.5975609756097561,AU zero-shot: no-tower controls
mono_gbt_img+wx,503,1,0.8446215139442231,0.012658227848101266,0.37314375870426664,0.37056702584708917,0.4497531454053193,7,0.5805168986083499,0.6381709741550696,AU zero-shot: tower plants
mono_gbt_img+wx,492,19,0.3090018916212307,0.027431073289006524,-0.05051113700685547,-0.010127786004382501,-0.03154675513166079,3,0.46747967479674796,0.5975609756097561,AU zero-shot: no-tower controls
mono_gbt_img,503,1,0.9063745019920318,0.020833333333333332,0.3857355659949647,0.3826034741245872,0.5191409475565999,7,0.6163021868787276,0.6381709741550696,AU zero-shot: tower plants
mono_gbt_img,492,19,0.49465895181929453,0.04021639807476487,-0.11323133369065363,-0.12129933937473238,-0.06971861029201223,3,0.44715447154471544,0.5975609756097561,AU zero-shot: no-tower controls
weather_normalised_area,503,1,0.701195219123506,0.006622516556291391,0.4198030372121285,0.4188463227837688,0.4283423039410469,7,0.5924453280318092,0.6381709741550696,AU zero-shot: tower plants
weather_normalised_area,492,19,0.5102926449315679,0.046511822013477803,-0.0548551742624232,-0.06178331784194703,-0.05768742321984622,3,0.46747967479674796,0.5975609756097561,AU zero-shot: no-tower controls
raw_area_per_GW,503,1,0.8087649402390438,0.010309278350515464,0.37982271683763985,0.37761327948160484,0.4793510894461421,7,0.588469184890656,0.6381709741550696,AU zero-shot: tower plants
raw_area_per_GW,492,19,0.4763547346166685,0.037001560906757096,-0.037285183386150764,-0.03495486893944767,0.01188862618924168,3,0.5060975609756098,0.5975609756097561,AU zero-shot: no-tower controls
