model,n,n_off,auc_onoff,ap_off,spearman_cf,spearman_cf_on_only,within_plant_spearman_median,n_plants,tercile_acc,tercile_majority_baseline,subset
clf_onoff_img+wx,2620,540,0.8650329415954416,0.5245898012945143,0.5100315851547181,0.2583275524040311,0.4787699967695925,41,0.5156488549618321,0.333587786259542,US towers+FGD (natural+mech draft)
clf_onoff_img,2620,540,0.8575053418803418,0.4984050727212111,0.4692338918576292,0.19979316976509226,0.45317864980431866,41,0.49732824427480915,0.333587786259542,US towers+FGD (natural+mech draft)
mono_gbt_img+wx,2620,540,0.8452849002849004,0.541222233408945,0.5729334760201579,0.40920707502110504,0.6205858847294843,41,0.5606870229007633,0.333587786259542,US towers+FGD (natural+mech draft)
mono_gbt_img,2620,540,0.8336271367521367,0.49019700256171994,0.5073908788136392,0.3139741978786801,0.5808021931034796,41,0.5267175572519084,0.333587786259542,US towers+FGD (natural+mech draft)
weather_normalised_area,2620,540,0.804309561965812,0.5266415083708875,0.5074089255610266,0.3615366565937994,0.5373249642942024,41,0.5282442748091603,0.333587786259542,US towers+FGD (natural+mech draft)
raw_area_per_GW,2620,540,0.812307247150997,0.5277543689786495,0.5084422318072046,0.35145692133820056,0.5804145840373374,41,0.5358778625954198,0.333587786259542,US towers+FGD (natural+mech draft)
clf_onoff_img+wx,1633,414,0.8847574435369137,0.6227026135652137,0.576068203515886,0.27173655150995146,0.5820379145331206,26,0.5548071034905082,0.35884874464176364,US natural-draft only
clf_onoff_img,1633,414,0.88824787086905,0.6482013386256111,0.5706504757100909,0.25610333570749555,0.5921289663614275,26,0.5505205143906919,0.35884874464176364,US natural-draft only
mono_gbt_img+wx,1633,414,0.8893624694352305,0.6745883309405855,0.6464557053970249,0.4234811200919994,0.6711278794722847,26,0.5884874464176363,0.35884874464176364,US natural-draft only
mono_gbt_img,1633,414,0.8858601530517214,0.6663020818608427,0.6294050993657873,0.39857050254353343,0.6540117475037974,26,0.5903245560318432,0.35884874464176364,US natural-draft only
weather_normalised_area,1633,414,0.8602828405321539,0.7149158590109447,0.6125654424664713,0.41814839409086846,0.5890366057845945,26,0.5756276791181874,0.35884874464176364,US natural-draft only
raw_area_per_GW,1633,414,0.8671557029797927,0.7043265118628169,0.625430229413277,0.432686682325122,0.6325751604179218,26,0.5719534598897734,0.35884874464176364,US natural-draft only
clf_onoff_img+wx,518,1,0.6769825918762089,0.005952380952380952,0.4001887139549321,0.39968528936178227,0.5132160966663071,7,0.5888030888030888,0.6158301158301158,AU zero-shot: tower plants
clf_onoff_img+wx,494,19,0.3556786703601108,0.028855735671051538,-0.06938378871180917,-0.04121069247221761,-0.036860315941255134,3,0.46963562753036436,0.5951417004048583,AU zero-shot: no-tower controls
clf_onoff_img,518,1,0.6402321083172147,0.0053475935828877,0.39623716947310395,0.39607885993627245,0.5191717807121918,7,0.6254826254826255,0.6158301158301158,AU zero-shot: tower plants
clf_onoff_img,494,19,0.4546260387811634,0.038204220517611354,-0.10606412900394431,-0.10358740615355928,-0.07749404236509884,3,0.4473684210526316,0.5951417004048583,AU zero-shot: no-tower controls
mono_gbt_img+wx,518,1,0.8916827852998066,0.017543859649122806,0.4103206046566753,0.40757122385943245,0.470770463757841,7,0.5926640926640927,0.6158301158301158,AU zero-shot: tower plants
mono_gbt_img+wx,494,19,0.31722991689750696,0.027784417941344692,-0.04605716149904576,-0.006992258437051831,-0.03916649388347501,3,0.46356275303643724,0.5951417004048583,AU zero-shot: no-tower controls
mono_gbt_img,518,1,0.9052224371373307,0.02,0.4257750908394271,0.4229497195576022,0.5336277669512937,7,0.5926640926640927,0.6158301158301158,AU zero-shot: tower plants
mono_gbt_img,494,19,0.4881994459833795,0.03847263674364054,-0.12073076201198034,-0.12762690047127073,-0.08561752629395124,3,0.451417004048583,0.5951417004048583,AU zero-shot: no-tower controls
weather_normalised_area,518,1,0.6924564796905223,0.00625,0.45509835240495683,0.4544626108208493,0.43598598417801543,7,0.5888030888030888,0.6158301158301158,AU zero-shot: tower plants
weather_normalised_area,494,19,0.525207756232687,0.04871575779757741,-0.0631712430728339,-0.07440727040358638,-0.05348344775947819,3,0.46963562753036436,0.5951417004048583,AU zero-shot: no-tower controls
raw_area_per_GW,518,1,0.8143133462282398,0.010309278350515464,0.41976326429253347,0.41777430195197235,0.49567050755514486,7,0.5984555984555985,0.6158301158301158,AU zero-shot: tower plants
raw_area_per_GW,494,19,0.4785595567867036,0.037001560906757096,-0.041788188743826185,-0.04035046709633485,0.01188862618924168,3,0.5040485829959515,0.5951417004048583,AU zero-shot: no-tower controls
