split,bin,n,n_off,median_area_when_on_km2,auc_raw_area_per_GW,rho_raw_area_per_GW,auc_weather_normalised_area,rho_weather_normalised_area,auc_mono_gbt_img+wx,rho_mono_gbt_img+wx,auc_clf_onoff_img+wx,rho_clf_onoff_img+wx
season,Apr-Oct,1529,321,0.0188,0.7625306884528894,0.40255662406555215,0.7735527428771842,0.4368718090336039,0.8344035608920799,0.5254531682082937,0.8519372408244105,0.46898138578406506
season,Nov-Mar,1061,216,0.0248,0.8870342976112207,0.6511298225570366,0.8992439184746877,0.6397330714521551,0.8999616480385709,0.6174007201829341,0.9114781941705019,0.612033698966181
Tbin,"(-40, 5]",207,49,0.0812,0.9661586153448722,0.7415182053222198,0.9744252131232239,0.755356774501036,0.9706794110049083,0.700682653639379,0.9616378196848359,0.6900671497994436
Tbin,"(15, 25]",980,242,0.0148,0.7451930614347466,0.43847073088616206,0.7513158189433135,0.4458944243279816,0.7959696745727787,0.4727832407637463,0.8327790096082779,0.4852815754814704
Tbin,"(25, 50]",654,71,0.0184,0.6744618655328196,0.2641653304349682,0.7009397724252894,0.3188859269899815,0.7605875389558622,0.3896584712739992,0.7633174691372938,0.3458392849199786
Tbin,"(5, 15]",749,175,0.0278,0.8858885017421603,0.6587554526704282,0.8885913389746142,0.6425739187770112,0.9085116973618715,0.6209846130128159,0.9151020408163266,0.5978520449637152
DDbin,"(-1, 5]",67,12,0.0412,0.8954545454545454,0.4135935278211181,0.9500000000000001,0.39287375947663733,0.9212121212121213,0.3860900685245372,0.9424242424242424,0.19110397814913085
DDbin,"(10, 15]",1117,263,0.0192,0.8208898406959867,0.5263595514894271,0.8240843803706112,0.5279600010881249,0.8688569113364975,0.5833749240322482,0.8972983321608892,0.5640850096289671
DDbin,"(15, 60]",361,62,0.016,0.7204121264429819,0.2725145369079834,0.7292048764699537,0.3441460611008885,0.7339518826194843,0.39881811217100666,0.711026000647319,0.3144854622805193
DDbin,"(5, 10]",1045,200,0.024,0.8300502958579882,0.5692687806808409,0.8327869822485208,0.5867399672651513,0.8698579881656805,0.5944856705248404,0.8941065088757396,0.5129082047266478
