name,n,nox_mean,nox_cv,mw_mean,enh_mean,simple_mean,snr_daily,r_simple,r_enh,r_flux,r_flux_mw,r_flux_windfilt,n_wf
Comanche (CO),65,528.5448384615385,0.354972788787604,516.9961538461539,4.656725,8.544297,0.9284146,0.14970105992976268,0.09355461332848444,-0.009638699754651738,0.08141851709035561,0.10772730978705691,49
Labadie,56,1805.4572321428573,0.1975684333586685,2068.4910714285716,8.044345,10.5563,0.8860726,0.02480040564078028,0.050422860333872686,0.18412706048258173,0.09374528376993777,0.19655327016985202,38
Four Corners,102,688.421126633987,0.3069126087937645,1124.1078431372548,5.662252,4.644584,1.564634,0.3253771110942316,0.21591702837464313,0.2160867615082213,0.13712482875963902,0.3161794015112671,61
James H Miller Jr,28,1468.5142857142857,0.22096634217721606,2347.1428571428573,5.268489,8.113055,1.160929,0.032187916813627954,0.33041172088356074,0.3002304025641793,0.30553721089781616,0.35177946199908683,20
Craig (CO),42,810.7371309523809,0.3204516486377698,482.6547619047619,5.9726386,7.258713,1.503643,-0.14006890915155068,0.2977615478712945,0.45958391769705975,0.37075842967004236,0.40399537109249145,33
Colstrip,91,1669.0514752747251,0.39272392408814677,1145.5357142857142,8.494879,10.364062,1.4778986,0.5009268016969648,0.5479643197582904,0.42907760806932427,0.41714999370899897,0.5657914208769355,63
Martin Lake,57,1282.7860350877193,0.3666524158056648,937.7456140350877,6.6809335,7.3817186,1.6833291,0.2867781260256458,0.4629188458039949,-0.017303984274660983,-0.0238249624685984,0.21238214336129058,39
Hunter,67,1234.3652238805973,0.3123576640375917,619.8731343283582,10.34786,10.1117115,1.1339754,0.39274473156739,0.4597697154218354,0.4591758015530347,0.39795936049495717,0.5489769037032042,51
Coronado,55,270.2983045454545,0.853050849815325,392.6818181818182,1.8346448,1.914754,0.9499648,0.06541066663105413,0.05294369953241719,0.04081806603828867,0.33401058378570303,0.01189441031256716,43
Oak Grove (TX),64,917.6159765625,0.3312894145656298,1383.2109375,3.8004472,3.7754118,0.8184783,0.10932867214291687,0.09555985822976609,0.14343696707465864,0.19548740803668857,0.06297491074658891,53
Tolk,91,737.0056978021977,0.7065707488284563,414.99175824175825,4.2951574,3.5340798,1.114381,0.48942533172502717,0.2998631803216632,-0.06293451858940419,-0.07744447196223495,0.0080461534891983,76
Laramie River Station,58,1412.089021551724,0.36252263682377756,1155.2068965517242,5.6946673,6.7916074,1.1297565,0.4759932794697163,0.32673535277197907,0.19082753606920633,0.28154001892707514,0.12633300874799352,45
Intermountain Power Project,97,820.9129845360825,0.40826885437247457,370.6958762886598,7.3936243,6.1406345,1.7144837,0.15088961085521385,0.17068594749379232,0.28130778038582965,0.1486449699704201,0.12378169702668837,75
Jim Bridger,67,493.93550746268664,0.6685124608636204,687.0895522388059,1.9973589,4.1137853,0.6312987,0.515052185527412,0.5573807449916066,0.4215534424513062,0.3008747085716673,0.46234445718974215,49
Huntington,57,956.3111359649122,0.5525958609832362,475.469298245614,5.3249617,9.522566,0.82097507,0.30924587786447866,0.35215751461911093,0.2868242389877996,0.24025653150107246,0.25008958459150005,52
Springerville,58,569.3085948275861,0.5964047838069088,464.99568965517244,1.919795,3.1770492,0.669195,0.39464602707516744,0.4966379533142064,0.22498226692719697,0.1911144795065765,0.32778000730623047,43
