plant_id_eia,max_mw,mean_mw,frac_off,ctypes,ttypes,n_cool,plant_name_eia,state,latitude,longitude,fuel
55250,290.0,8.645947176684881,0.9426229508196722,,,,University Park South,IL,41.440893,-87.753189,gas
55542,94.0,3.4642531876138434,0.9355646630236795,,,,Larkspur Energy Facility,CA,32.567041,-116.944197,gas
55625,49.0,0.8981102003642987,0.9707422586520947,,,,Creed Energy Center,CA,38.242158,-121.854722,gas
56143,198.0,10.123861566484518,0.9048269581056466,,,,Riverside Energy Resource Center,CA,33.9636,-117.4528,gas
60698,89.0,0.42349726775956287,0.985655737704918,,,,Stanton Energy Reliability Center Hybrid,CA,33.806801,-117.985758,gas
61966,97.0,24.87682149362477,0.6608606557377049,,,,Victoria Port Power II LLC,TX,28.698477,-96.946125,gas
62565,646.0,593.4295309653917,0.04815573770491803,RF,MW,1.0,"Hill Top Energy Center, LLC",PA,39.894212,-79.938201,gas
2880,372.0,38.58105646630237,0.7901867030965392,,,,Richland,OH,41.305203,-84.334622,gas
6095,1108.0,216.9005009107468,0.5630692167577414,RC,,1.0,Sooner,OK,36.45307,-97.05279,coal
55151,1025.0,250.06124772313296,0.27743624772313297,RI,MW,2.0,La Paloma Generating LLC,CA,35.2956,-119.5919,gas
55667,668.0,464.15744535519127,0.1305783242258652,RI,MW,1.0,Lower Mount Bethel Energy,PA,40.801924,-75.107563,gas
57978,203.0,59.5233378870674,0.63683970856102,RI,MW,1.0,Lodi Energy Center,CA,38.088056,-121.3875,gas
59004,811.0,557.3763661202186,0.15551001821493624,HRI,WD,1.0,Stonewall,VA,39.058056,-77.545,gas
2038,190.0,4.554075591985428,0.9510473588342441,,,,Cambridge CT,MN,45.601,-93.2081,gas
2042,22.0,0.020150273224043717,0.9981785063752276,,,,Maple Lake,MN,45.229073,-94.009673,oil
3441,671.0,212.10576047358833,0.3638433515482696,ON,,1.0,Nueces Bay,TX,27.819412,-97.419203,gas
52019,1244.0,648.2775500910747,0.007399817850637523,DC,MD,2.0,Doswell Energy Center,VA,37.820805,-77.446246,gas
54099,,0.0,,,,,Ticonderoga Mill,NY,43.891437,-73.396998,gas
55229,132.0,10.83879781420765,0.844148451730419,,,,Montpelier Electric Generating Station,IN,40.6206,-85.3057,gas
55402,699.0,126.19148451730419,0.6624544626593807,,,,Renaissance Power Plant,MI,43.1864,-84.8429,gas
55401,837.0,201.48622495446267,0.6375227686703097,,,,Rolling Hills Generating,OH,39.0839,-82.3328,gas
56471,50.0,1.1295537340619308,0.9711976320582878,,,,McGrath Peaker,CA,34.205556,-119.246944,gas
