site,flagged_days,any_novel_days
Ras Laffan LNG/Industrial City,0,0
Mesaieed Industrial City,0,0
Dukhan field,2,2
Abqaiq processing,1,1
Khurais CPF,0,0
Ras Tanura refinery/terminal,0,0
Jubail refinery (SASREF/Aramco),0,1
SATORP Jubail,0,0
Riyadh refinery,0,0
Shaybah,1,1
Prince Sultan Air Base,0,0
Ruwais refinery,0,0
Habshan gas complex,0,0
Das Island LNG,0,0
Fujairah oil terminal,0,0
Jebel Ali port/EGA,0,0
EGA Al Taweelah smelter,1,1
Mina Al Ahmadi refinery,1,2
Al Zour refinery,1,1
Burgan field,1,1
BAPCO Sitra refinery,0,0
Basra refinery (Shuaiba),0,1
Rumaila field,0,0
Al Basrah Oil Terminal,0,0
Kirkuk refinery,0,0
Baghdad Dora refinery,0,2
Sohar refinery/port,0,0
Mina Al Fahal,0,0
Kharg Island terminal,0,0
South Pars / Asaluyeh gas refineries,0,3
Kangan / Parsian gas,1,1
Abadan refinery,0,0
Bandar Imam / Mahshahr PSEZ,1,1
Bandar Abbas refinery,0,0
Persian Gulf Star refinery,0,0
Lavan refinery,0,0
Sirri Island,0,0
Larak Island,0,0
Bushehr NPP,0,0
Isfahan refinery,0,2
Tehran refinery (Rey),0,0
Shahran oil depot Tehran,0,0
Tabriz refinery,0,0
Shiraz refinery,0,0
Arak Shazand refinery,0,0
Kermanshah refinery,0,1
Natanz enrichment,0,0
Ahvaz / Marun fields,0,0
Gachsaran field,1,2
Tehran-Karaj B1 bridge area,0,1
